                               Injury Log -- All players in database                                
                                           Regular season                                           

      Date  #  Team    Player              Cause                Dur 
 5/26/1988     ES?     Mack                General                3 
  6/2/1988     CEN     Magadan             General               20 
 6/12/1988     MAR     Manrique            Hit by pitch          22 
 5/14/1988     FER     Marshall            General                1 
 7/21/1988     BMB     Martinez            General                2 
  9/8/1988     BMB     Martinez            Hit by pitch          20 
 5/10/1988     NEE     Martinez,De         General                5 
  4/7/1988     BBG     Mattingly           General               15 
                               Injury Log -- All players in database                                
                                           Regular season                                           

      Date  #  Team    Player              Cause                Dur 
 7/24/1988     BBG     Mattingly           Collision on bases     7 
  5/2/1988     CCC     McGee               General                6 
 7/13/1988     CCC     McGee               General                5 
 6/12/1988     TEW     McLemore            General                8 
  4/9/1988     SUN     McReynolds          General               14 
 6/10/1988     SUN     McReynolds          General                4 
  7/2/1988     SUN     McReynolds          General               14 
 6/16/1988     BAR     Medvin              General               17 
 5/18/1988     TEW     Molitor             General                4 
  6/4/1988     TEW     Molitor             General                1 
 4/26/1988     CEN     Moore               General                5 
 7/15/1988     BAR     Moreland            General                7 
 9/20/1988     BAR     Moreland            General               12 
 8/17/1988     ES?     Morgan              General               10 
 6/18/1988     BMB     Moseby              Hit by pitch          12 
 9/22/1988     BMB     Moseby              General                4 
 6/28/1988     EVN     Mulliniks           General                4 
 9/10/1988     CTW     Mulliniks           General                1 
 5/22/1988     CTW     Nokes               General                2 
  5/8/1988     TEW     Ojeda               General               30 
  7/5/1988     TEW     Ojeda               General               20 
  5/2/1988     BMB     Ontiveros           General               25 
 4/12/1988     NEE     Oquendo             General                1 
 5/12/1988     NFG     Orsulak             General                2 
  8/2/1988     NFG     Orsulak             General                3 
  7/5/1988     BMB     Palacios            General               12 
 6/10/1988     CIN     Palmeiro            General                9 
 6/25/1988     BMB     Polonia             General                3 
 8/11/1988     SUN     Quirk               Collision in field     2 
  6/4/1988     TEW     Raines              Brawl                 22 
 6/17/1988     MAR     Rasmussen           General               10 
  5/3/1988     CEN     Ray                 General                3 
  6/9/1988     CEN     Ray                 General                4 
 8/10/1988     CEN     Ray                 General                8 
 6/16/1988     FER     Reynolds            General               13 
 9/17/1988     GBP     Rice                General                1 
 4/20/1988     GBP     Rijo                General               15 
 6/20/1988     GBP     Rijo                General               30 
  6/4/1988     FER     Ripken,B            General                5 
 6/28/1988     TEW     Robinson            General               15 
  8/9/1988     TEW     Robinson            General                5 
  7/1/1988     ES?     Russell             General               10 
 7/24/1988     ES?     Ryan                General                5 
