                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Keith Comstock*         BAR    mr  32   6.52   0   0   0   2   2   0   0    9.2  12   8   7   3  14   4   0 
David Cone              SUN    sp  25   3.64  11  10   0  27  27   2   1  175.1 174  87  71  68 157  19  13 
Dennis Cook*            FHK    sp  25   2.28   2   1   1   7   3   1   0   23.2  20   8   6   6  15   0   0 
Sherman Corbett*        BMB    mr  25   5.53   2   3   0  31   0   0   0   40.2  53  30  25  20  26   2   0 
Jim Corsi               ES?    mr  26   2.41   1   3   1  15   0   0   0   18.2  28   7   5   3   9   0   2 
John Costello           EVN    mr  27   3.66   3   3   0  23   5   0   0   51.2  46  24  21  28  47   6   4 
Danny Cox               NEE    sp  28   4.43   4   2   1  61   1   0   0   89.1 107  48  44  22  59   8  13 
Tim Crews               GBP    mr  27   3.92   2   8   3  48   0   0   0   78.0  79  36  34  10  53   3   7 
Chuck Crim              MAR    mr  26   3.29   5   3   4  53   2   0   0   82.0  78  34  30  24  54   7  11 
Ron Darling             FHK    sp  27   3.03  14   8   0  31  31   4   2  205.0 185  77  69  58 155  23  13 
Danny Darwin            NEE    mr  32   4.53   6  13   0  26  25   1   0  157.0 175  97  79  33 107  23   6 
Mark Davis*             CEN    cl  27   3.11   6   2   4  43   5   0   0   84.0  68  33  29  29  83   5   7 
Ron Davis               CIN    mr  32   0.00   0   0   0   1   0   0   0    1.0   0   0   0   0   1   0   0 
Storm Davis             RYK    sp  26   4.99   5  19   0  32  32   0   0  155.0 180  99  86  62 112  13  11 
Ken Dayley*             EVN    mr  29   1.26   2   0   0  41   0   0   0   57.0  50   8   8   8  37   1   2 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Jose DeJesus            CEN    sp  23   4.76   0   0   0   1   1   0   0    5.2   5   3   3   4   4   0   0 
Jose DeLeon             ES?    sp  27   3.64   9  13   0  35  35   0   0  197.2 194  87  80  91 185   9   5 
Jim Deshaies*           FHK    sp  28   3.53  13  12   0  32  32   3   2  211.2 182 100  83  50 106  32  10 
Rob Dibble              ES?    mr  24   2.91   5   3  13  46   0   0   0   58.2  52  24  19  23  60   5   2 
Frank DiPino*           NFG    mr  31   3.82   0   3   3  44   0   0   0   66.0  84  32  28  20  45   2   5 
John Dopson             FER    sp  24   3.98   5   7   0  24  19   1   1  126.2 120  62  56  46  64  10  14 
Rich Dotson             GBP    sp  29   5.25   0   4   0   6   6   1   0   36.0  36  21  21  20  23   1   2 
Kelly Downs             FHK    sp  27   2.92  12   7   0  33  26   2   0  182.0 168  68  59  39 114  11  18 
Doug Drabek             TEW    sp  25   3.51  13   9   0  33  33   6   2  220.1 209  93  86  60 109  18  19 
Dave Dravecky*          FHK    sp  32   1.93   5   2   3  29   0   0   0   42.0  36  13   9   7  19   3   2 
Mike Dunne              BMB    sp  25   6.10   0   1   1  35   0   0   0   48.2  58  35  33  35  14   5   7 
Gary Eave               BBG    mr  24  18.00   1   0   0   3   0   0   0    4.0   7   8   8   4   0   3   1 
Dennis Eckersley        NFG    cl  33   2.67   3   1   3  39   0   0   0   54.0  49  19  16   8  49   4   4 
Juan Eichelberger       RYK    mr  34   4.54   1   0   0  19   0   0   0   39.2  47  26  20   8   6   7   1 
Mark Eichhorn           CCC    mr  27   2.69   3   3   8  48   0   0   0   73.2  69  24  22  14  36   3   6 
Steve Farr              GBP    cl  31   2.87   5   2   1  16   8   0   0   69.0  53  25  22  10  51   8   3 
John Farrell            NFG    sp  25   3.95  13   8   0  40  19   3   2  161.2 151  76  71  50  72  14  20 
Sid Fernandez*          CIN    sp  25   3.67  16   6   0  30  29   2   1  184.0 144  79  75  71 178  24  10 
Chuck Finley*           NEE    sp  25   3.76  11  13   0  33  32   1   0  203.1 203 100  85  75 109  21  14 
Mike Flanagan*          CCC    sp  36   5.17   3  21   0  30  30   2   0  170.2 208 110  98  51  74  21  15 
Tony Fossas*            BAR    mr  30   7.59   1   1   0   2   2   0   0   10.2  15  10   9   2   1   2   0 
John Franco*            SUN    cl  27   1.48   5   2  30  59   0   0   0   79.0  66  15  13  23  33   2   9 
Willie Fraser           BMB    sp  24   3.66   9  13   0  31  29   0   0  189.1 182  90  77  65  81  22  17 
Marvin Freeman          BMB    sp  25   5.43   0   5   0  11  11   0   0   56.1  66  36  34  45  37   3   1 
Todd Frohwirth          BAR    mr  25   9.00   1   1   0   4   4   0   0   12.0  13  12  12  12   9   3   0 
Gene Garber             TEW    cl  40   3.98   1   0   1  22   0   0   0   31.2  26  14  14  11  22   5   3 
Wes Gardner             CEN    sp  27   3.00   5   5   0  16  14   0   0   84.0  70  37  28  30  60   9   4 
Scott Garrelts          BBG    mr  26   2.24   6   4   0  47   4   0   0   76.1  67  25  19  23  66   1   4 
Paul Gibson*            BAR    mr  28   2.94   3   5   4  46   0   0   0   79.2  73  32  26  20  43   4   5 
Tom Glavine*            CCC    sp  22   3.24   6   8   0  35  26   2   1  186.1 179  82  67  54  75  18  12 
Jerry Gleaton*          FER    mr  30   3.41   2   2   2  28   0   0   0   31.2  32  13  12  16  28   1   1 
German Gonzalez         TEW    mr  26   0.00   0   0   0   1   0   0   0    1.0   0   0   0   0   2   0   0 
Dwight Gooden           FHK    sp  23   2.11  15   8   0  33  33   5   1  234.1 213  64  55  47 153  10  27 
Don Gordon              NEE    mr  28   4.85   1   1   2  17   0   0   0   26.0  28  14  14   5   8   3   4 
Tom Gordon              FER    mr  20   3.86   1   0   0   2   2   0   0   11.2  16   6   5   3  12   1   1 
Goose Gossage           BMB    cl  36   3.86   1   0   2  35   0   0   0   46.2  50  22  20  13  41   1   1 
Jim Gott                BMB    cl  28   4.99   8   9  16  55   0   0   0   66.2  77  38  37  21  68   9   6 
Jeff Gray               BMB    mr  25   1.38   1   0   0   5   0   0   0   13.0  10   2   2   1   8   1   1 
Kevin Gross             TEW    sp  27   4.36   5   6   0  16  16   0   0   99.0 121  58  48  46  67   7   2 
Cecilio Guante          CIN    mr  28   2.83   7   2   1  45   1   0   0   63.2  51  22  20  11  59   8   0 
Mark Gubicza            BBG    sp  25   2.45  16   9   0  34  34   7   3  242.2 179  76  66  76 147  12  18 
Lee Guetterman*         BMB    mr  29   4.36   0   6   0  11   5   0   0   43.1  66  25  21  15  15   2  11 
Ron Guidry*             CIN    sp  37   1.45   2   1   4  18   1   0   0   37.1  22   7   6   6  15   0   0 
Jose Guzman             FER    sp  25   3.82   5  11   1  46  18   2   0  155.1 140  79  66  61 116  12   8 
John Habyan             CCC    mr  24   3.86   1   0   1  11   0   0   0   18.2  21   8   8   7   2   1   2 
Drew Hall*              FER    mr  25   3.20   2   0   2  21   0   0   0   25.1  28  11   9   6  21   4   0 
Atlee Hammaker*         BAR    mr  30   3.78   3   8   0  19  19   0   0  109.2 104  52  46  32  50   6  10 
Erik Hanson             NEE    sp  23   2.76   2   2   0   6   6   1   0   45.2  40  15  14  13  37   0   0 
Mike Harkey             GBP    sp  21   6.23   1   3   0   5   5   0   0   30.1  37  22  21  13  18   5   1 
Pete Harnisch           CCC    sp  21   4.91   0   0   1  10   0   0   0   11.0  15   6   6   2   3   1   0 
Greg Harris             MAR    mr  32   4.55   7   6   2  70   2   0   0   95.0  83  50  48  41  66  12  11 
Greg W. Harris          FHK    mr  24   2.66   1   0   2  14   0   0   0   20.1  12   7   6   5  20   2   4 
Bryan Harvey            TEW    cl  25   2.25   8   6  40  66   0   0   0   80.0  62  20  20  17  80   4   5 
Andy Hawkins            SUN    sp  28   3.01   4   3   0  10  10   1   0   71.2  69  28  24  26  33   5   4 
Neal Heaton*            FER    mr  28   4.19   4  11   1  24  15   1   1   96.2 102  59  45  40  49  13  13 
Don Heinkel             BAR    mr  28   2.61   1   3   3  29   0   0   0   38.0  31  15  11   9  34   3   2 
Tom Henke               SUN    cl  30   2.37   6   0   3  46   0   0   0   68.1  62  23  18  14  67   6   5 
Mike Henneman           CTW    cl  26   2.86   4   5   3  71   0   0   0   97.2  83  35  31  17  69   8   6 
Dwayne Henry            CCC    mr  26  10.80   1   2   2  12   0   0   0   11.2  15  14  14   6   9   5   0 
Willie Hernandez*       FHK    mr  33   3.80   0   1   0  28   0   0   0   45.0  36  20  19  13  37   6   6 
Orel Hershiser          BBG    sp  29   2.59  22   7   0  34  34  12   2  264.0 215  90  76  70 192  16  14 
Joe Hesketh*            CIN    mr  29   0.00   0   1   1  10   0   0   0   11.1  10   1   0   4  11   0   0 
Teddy Higuera*          CIN    sp  29   2.26  14   6   0  32  32   6   4  223.1 185  62  56  42 183  13  14 
Ken Hill                BMB    mr  22  12.08   0   3   0   4   4   0   0   12.2  14  17  17  14   9   2   0 
Shawn Hillegas          RYK    sp  23   4.00   3   5   0  17  17   0   0   96.2  95  49  43  40  46   9   6 
Brian Holman            FHK    sp  23   3.00   1   5   0  37   6   0   0   87.0  83  42  29  29  42   7   6 
Brian Holton            BBG    mr  28   2.81   6   8  22  70   0   0   0   89.2  83  33  28  23  49   5  17 
Rick Honeycutt*         EVN    mr  34   3.39   5   4   2  44   4   0   0   66.1  76  27  25  25  41   4   7 
Ricky Horton*           GBP    mr  28   6.16   0   2   0  14   0   0   0   19.0  30  19  13   9   9   2   0 
Charlie Hough           CTW    sp  40   4.28   7   9   1  31  21   3   1  153.1 141  78  73  74 103  14   6 
Jay Howell              MAR    cl  32   1.44   4   1  14  34   0   0   0   43.2  36   9   7  10  47   1   2 
Jay Howell              FER    cl  32   0.73   3   1   5  19   0   0   0   24.2  18   4   2  11  23   1   1 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Jay Howell                     cl  32   1.19   7   2  19  53   0   0   0   68.1  54  13   9  21  70   2   3 
Ken Howell              ES?    mr  27   2.84   3   1   0  11   0   0   0   12.2  18   4   4   5  15   0   2 
Mark Huismann           BAR    mr  30   3.86   1   0   1   2   1   0   0    7.0   6   3   3   4   4   0   1 
Bruce Hurst*            MAR    sp  30   2.66  17   6   0  35  35   5   2  243.2 221  77  72  59 180  21  10 
Jeff Innis              SUN    mr  25   4.66   1   0   0  13   0   0   0   19.1  27  11  10   3  14   1   1 
Danny Jackson*          CEN    sp  26   3.07  23   9   0  35  35   8   4  261.0 218 105  89  74 161  16  25 
Mike Jackson            CIN    mr  23   2.65   5   3   0  68   0   0   0   95.0  76  32  28  31  76   4   4 
Mike Jeffcoat*          NEE    mr  28   4.26   1   1   0   2   2   0   0   12.2  21   6   6   1   5   0   1 
German Jimenez*         NEE    sp  25   6.75   0   2   0   2   2   0   0   12.0  19  10   9   1   4   2   0 
Tommy John*             FER    sp  45   2.21   3   4   6  35   0   0   0   57.0  50  22  14  13  17   0  11 
Randy Johnson*          BMB    sp  24   3.42   1   3   0   4   4   0   0   26.1  34  10  10   5  24   2   0 
Barry Jones             GBP    mr  25   3.61   6   4   4  58   0   0   0   72.1  83  35  29  22  55   9   8 
Doug Jones              FHK    cl  31   1.70   3   5  31  62   0   0   0   84.2  65  16  16  13  50   2   3 
Jimmy Jones             RYK    sp  24   5.05   9  14   0  31  31   2   0  165.2 204 103  93  58  81  10  14 
Odell Jones             BBG    mr  35   4.63   0   1   0   7   1   0   0   11.2  12   6   6   7   7   0   1 
Jimmy Key*              NEE    sp  27   3.62   4   9   0  20  20   1   0  134.1 129  63  54  23  65  16   7 
Paul Kilgus*            FER    sp  26   3.33   6   2   0  13  13   1   0   81.0  73  31  30  16  28   9   8 
Eric King               BAR    mr  24   3.28   2   4   0  31   7   0   0   74.0  67  34  27  41  54   4   5 
Bob Kipper*             ES?    mr  23   4.64   4   4   0  47   0   0   0   54.1  58  30  28  20  41   5   0 
Bob Knepper*            MAR    sp  34   4.50   3   8   1  16  14   0   0   84.0  83  43  42  28  56   5   7 
Mark Knudson            FER    mr  27   4.22   0   0   0   7   0   0   0   10.2  15   7   5   2   5   2   0 
Bill Krueger*           CCC    sp  30  15.43   0   3   1   5   0   0   0    2.1   7   4   4   3   0   1   0 
Mike Krukow             EVN    sp  36   2.78   5   4   0  10  10   3   0   71.1  54  25  22  14  34   4   5 
