                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Eric Plunk              FER    mr  24   2.47   2   5   1  42   0   0   0   62.0  48  19  17  24  75   3   3 
Mark Portugal           NFG    mr  25   8.81   0   7   0  12   8   0   0   48.0  67  47  47  35  24  17   3 
Ted Power               BMB    sp  33   5.66   4  12   0  20  17   0   0   98.2 129  65  62  31  53   7   1 
Joe Price*              RYK    mr  31   3.50   6   3   1  51   0   0   0   69.1  65  34  27  20  57   7   8 
Charlie Puleo           FER    mr  33   3.57   1   3   4  28   6   0   0   63.0  61  34  25  34  45   3   1 
Dan Quisenberry         NFG    mr  35   5.48   1   9  13  48   0   0   0   64.0  99  43  39  13  31   3   7 
Dennis Rasmussen*       MAR    sp  29   2.70  14   6   0  32  32   5   4  213.1 181  71  64  45 121  19  11 
Shane Rawley*           GBP    sp  32   4.91   0   0   1   4   0   0   0    3.2   2   2   2   2   0   1   0 
Jeff Reardon            CTW    cl  32   2.79   7   5  24  53   1   0   0   77.1  74  24  24   8  48   8   4 
Jerry Reed              CTW    mr  32   1.74   0   0   0  13   0   0   0   20.2  17   4   4   4  17   2   2 
Jerry Reed              EVN    mr  32   3.03   3   2   0  11  11   0   0   65.1  63  28  22  28  51   0   6 
Jerry Reed                     mr  32   2.72   3   2   0  24  11   0   0   86.0  80  32  26  32  68   2   8 
Rick Reed               TEW    sp  22   1.80   1   0   0   5   0   0   0   10.0  11   3   2   4   4   0   0 
Rick Reuschel           RYK    sp  39   2.68  10  14   0  34  34   4   1  235.1 228  81  70  32  68  13  30 
Jerry Reuss*            FHK    sp  39   2.41   9   8   0  23  23   4   2  156.2 131  58  42  27  57   8  12 
Dave Righetti*          BAR    cl  29   4.27   3   1   0  27   0   0   0   46.1  43  27  22  21  35   3   4 
Jose Rijo               GBP    mr  23   2.78  12   4   0  24  24   1   0  155.1 121  50  48  59 147  10   7 
Wally Ritchie*          CTW    mr  22   2.96   4   0   0   6   4   0   0   24.1  17   8   8  18   9   2   3 
Don Robinson            TEW    mr  31   2.77  15   6   0  30  29   1   0  188.1 164  61  58  62 128  16  14 
Jeff Robinson           EVN    mr  27   3.36   5   2   2  52   0   0   0   72.1  74  31  27  23  48   6   7 
Jeff M. Robinson        CEN    sp  26   2.57  16   1   0  27  27   2   0  189.1 153  60  54  51 129  16  14 
Ron Robinson            SUN    sp  26   3.54   7   5   0  16  11   1   0   84.0  86  40  33  26  32   6   6 
Bruce Ruffin*           BMB    mr  24   5.02   7  13   0  25  24   2   1  141.2 150  86  79  62  72  10  17 
Jeff Russell            ES?    sp  26   5.33   4  12   1  31  18   0   0  135.0 162  92  80  46  56  11   9 
Nolan Ryan              ES?    sp  41   4.16   7  17   0  33  33   4   2  196.2 189 108  91  67 208  29   4 
Bret Saberhagen         BBG    sp  24   4.35   9  11   0  31  31   7   0  204.2 221 117  99  33 121  16  18 
Roger Samuels*          CIN    mr  27   9.39   1   3   1   8   0   0   0    7.2   9  12   8   3   8   6   1 
Israel Sanchez*         MAR    mr  24   3.50   2   7   5  29   0   0   0   36.0  34  17  14  15  17   2   0 
Scott Sanderson         CCC    mr  31   0.00   3   0   4  12   0   0   0   17.2   8   0   0   3   3   0   0 
Rich Sauveur*           NFG    mr  24   3.52   1   0   0   1   1   0   0    7.2   9   4   3   1   4   1   1 
Dan Schatzeder*         BMB    mr  33   7.57   1   0   0  24   0   0   0   27.1  44  26  23   4  16   8   4 
Curt Schilling          BAR    sp  21   4.96   1   0   0  12   1   0   0   16.1  18  10   9   9   3   1   2 
Calvin Schiraldi        TEW    sp  26   4.26   5   1   0  43   0   0   0   63.1  60  31  30  40  59   3   3 
Dave Schmidt            FHK    mr  31  18.00   1   1   0   3   0   0   0    2.0   5   4   4   0   1   0   0 
Mike Schooler           NEE    cl  25   1.26   6   3  12  53   0   0   0   57.1  32  14   8  24  57   6   5 
Mike Scott              BBG    sp  33   2.48  16   9   0  34  34   4   3  225.0 182  74  62  58 201  20  13 
Scott Service           NEE    mr  21  10.57   0   1   0   2   2   0   0    7.2  13   9   9   6   7   0   0 
Jeff Shaver             CTW    mr  24   2.57   1   0   0   1   1   0   0    7.0   7   2   2   2   0   1   1 
Steve Shields           BMB    mr  29   3.81   1   1   2  49   0   0   0   75.2  84  36  32  34  47   5  13 
Eric Show               SUN    sp  32   3.91  10   8   0  28  28   4   0  191.0 191  90  83  56 125  19  15 
John Smiley*            EVN    sp  23   3.75   8   8   0  29  29   1   1  175.1 158  78  73  52 108  19   6 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Bryn Smith              EVN    sp  32   3.28   6   7   0  24  24   2   0  161.2 145  63  59  30 100  16  16 
Dave Smith              BMB    cl  33   5.90   1   2   1  50   0   0   0   58.0  76  41  38  24  40   4   3 
Lee Smith               BAR    cl  30   1.84   6   4  16  66   0   0   0   97.2  63  24  20  30 116   5   5 
Mike Smith              BAR    mr  27   3.72   0   0   0   6   0   0   0    9.2   7   5   4   6   3   0   1 
Pete Smith              MAR    sp  22   2.40  12   3   0  22  22   0   0  131.0 105  37  35  56  82   9   9 
Roy Smith               CEN    sp  26   0.95   3   0   3  26   0   0   0   38.0  26   9   4  18  12   0   3 
Zane Smith*             FER    sp  27   3.35   6   5   2  31  15   0   0  113.0 124  50  42  35  49   5  18 
Zane Smith*             NFG    sp  27   0.00   0   0   0   1   0   0   0    0.1   0   0   0   0   0   0   0 
Zane Smith*                    sp  27   3.34   6   5   2  32  15   0   0  113.1 124  50  42  35  49   5  18 
Mike Smithson           GBP    sp  33   5.76   0   4   0   5   5   0   0   25.0  29  17  16   4  12   2   1 
John Smoltz             BMB    sp  21   5.50   4   5   0  13  13   0   0   68.2  90  52  42  37  31   8   7 
Julio Solano            CTW    mr  28   1.93   0   0   1   3   0   0   0    4.2   4   1   1   0   4   1   0 
Mario Soto              CIN    sp  31   2.81   4   2   0   7   7   1   1   48.0  37  17  15  11  15   5   0 
Bob Stanley             CTW    mr  33   3.13   3   2   3  19   0   0   0   31.2  25  11  11  10  18   1   4 
Bob Stanley             EVN    mr  33   3.05   5   6   0  48   0   0   0   65.0  55  25  22  13  30   6   5 
Bob Stanley                    mr  33   3.07   8   8   3  67   0   0   0   96.2  80  36  33  23  48   7   9 
Dave Stewart            MAR    sp  31   3.39  10  10   0  35  34   6   1  230.2 199 112  87  85 155  17  14 
Dave Stieb              EVN    sp  30   2.02  13   5   0  30  30   5   3  213.1 139  50  48  73 153  10  21 
Todd Stottlemyre        CCC    sp  23   4.35   3   7   0  24  17   0   0  101.1 120  57  49  50  74  13   6 
Rick Sutcliffe          NFG    sp  32   4.49   8  14   0  26  26   3   1  166.1 178  94  83  49 102  13   7 
Bruce Sutter            TEW    cl  35   0.00   1   0   0   3   0   0   0    3.0   1   0   0   0   1   0   0 
Billy Swift             NFG    sp  26   3.48   6   6   3  56  10   0   0  137.0 130  59  53  55  39   2  23 
Greg Swindell*          CCC    sp  23   3.11   4   2   0   7   7   2   1   46.1  41  16  16   6  27   6   5 
Greg Swindell*          CEN    sp  23   2.51  16   5   0  24  24  10   4  186.1 181  58  52  26 124  11  12 
Greg Swindell*                 sp  23   2.63  20   7   0  31  31  12   5  232.2 222  74  68  32 151  17  17 
Frank Tanana*           CCC    sp  34   4.10  11  12   4  32  27   4   1  182.0 177  91  83  50 105  22  11 
Kent Tekulve            NEE    mr  41   2.75   1   5   7  64   0   0   0   75.1  68  24  23  13  35   1   7 
Walt Terrell            FER    sp  30   1.13   1   0   1   7   0   0   0    8.0   5   1   1   6   2   1   2 
Scott Terry             SUN    mr  28   2.25   5   1   2  60   0   0   0   80.0  73  23  20  19  37   3  12 
Bob Tewksbury           FHK    sp  27   5.40   0   1   0   1   1   0   0    5.0   6   6   3   2   3   2   1 
Bobby Thigpen           GBP    cl  24   3.86   3   9  26  69   0   0   0   74.2  79  37  32  34  47   5  12 
Mark Thurmond*          CCC    mr  31   5.06   1   2   0  15   0   0   0   16.0  22   9   9   4   8   2   3 
Jay Tibbs               BMB    sp  26   4.65   1   5   0  14  14   1   1   81.1  96  43  42  25  38  10   9 
Fred Toliver            MAR    sp  27   5.40   0   0   0   2   0   0   0    1.2   6   5   1   1   1   0   0 
Steve Trout*            FER    sp  30   6.32   1   8   0  14  11   0   0   57.0  69  48  40  27  19   7   4 
John Tudor*             BAR    sp  34   2.72   8  14   0  30  30   5   1  188.2 181  69  57  34  82  15  24 
Fernando Valenzuela*    NFG    sp  27   6.64   3   8   0  20  13   2   1   84.0 102  62  62  49  35  15   9 
Ed Vande Berg*          NEE    mr  29   4.08   3   2   0   7   6   0   0   39.2  51  20  18  11  23   5   4 
Frank Viola*            CTW    sp  28   2.59  16   8   0  34  34   3   1  253.2 222  80  73  52 172  15  21 
Bob Walk                CTW    sp  31   3.11  13  12   0  32  32   2   0  220.0 214  90  76  63  78   4  11 
Duane Ward              FER    mr  24   3.40   4   6   5  60   0   0   0   90.0  76  36  34  40  70   5   7 
Bill Wegman             CCC    sp  25   3.14  11   8   0  29  29   4   0  203.1 212  84  71  41  70  15  15 
Bob Welch               CIN    sp  31   4.85   8  10   0  27  27   1   0  167.0 184  92  90  50 120  17   9 
David Wells*            BAR    mr  25   6.26   3   9   0  17  17   0   0   69.0  77  55  48  30  60  18   4 
David West*             BMB    sp  23  10.57   0   0   0   6   0   0   0    7.2  12  10   9   7   3   0   2 
Ed Whitson              GBP    sp  33   4.11   6   9   0  28  28   2   1  164.1 192  85  75  43 100   9  12 
Bill Wilkinson*         NEE    mr  23   2.43   1   1   4  24   0   0   0   33.1  27   9   9  14  17   2   2 
Frank Williams          FHK    mr  30   4.61   1   3   0  28   0   0   0   27.1  38  20  14  22  20   3   7 
Mitch Williams*         NFG    cl  23   5.10   3   7   4  31   4   0   0   54.2  43  34  31  41  44   5   2 
Mark Williamson         BAR    mr  28   3.68   7   6   0  23  23   0   0  127.1 120  58  52  38  69  17   4 
Carl Willis             BAR    mr  27  13.50   1   1   0   3   3   0   0    9.1  16  14  14   7   7   5   0 
Steve Wilson*           BMB    mr  23   3.52   0   0   0   3   0   0   0    7.2   9   3   3   4   2   0   1 
Trevor Wilson*          NEE    sp  22   5.14   0   2   0   4   4   0   0   21.0  26  13  12  10  21   2   1 
Bobby Witt              FER    sp  24   4.71   5   9   0  24  20   4   0  130.0 114  69  68  60 105  13   5 
Mike Witt               TEW    sp  27   2.74  13   7   0  27  27   8   3  197.0 174  66  60  67 100   3  17 
Todd Worrell            RYK    cl  28   2.77   4   6  28  53   0   0   0   65.0  53  21  20  16  59   6   6 
Floyd Youmans           EVN    sp  24   4.50   7  13  18  55   0   0   0   64.0  51  37  32  36  47   9   8 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  SB  CS  IW HBP WP BK SH SF   H/9  BB/9   R/9   K/9  HR/9 
Jim Acker               ES?    mr  29   5   2   1   2  1  1  1  0  14.0   2.5  16.9   6.9   1.2 
Juan Agosto*            EVN    mr  30   3   3   3   1  4  2  1  1   8.0   2.7  10.8   3.2   0.7 
Rick Aguilera           GBP    mr  26   1   0   0   0  2  3  1  0  13.3   3.8  17.1   5.2   1.9 
Gibson Alba*            CTW    mr  28   0   0   0   0  0  0  0  0   1.7   1.7   3.4   6.8   0.0 
Neil Allen              CCC    mr  30   0   2   1   0  0  0  4  1  10.2   3.4  13.6   5.5   1.8 
Jose Alvarez            MAR    mr  32   0   3   0   1  1  0  1  0   8.7   3.6  12.5   6.9   0.6 
Larry Andersen          GBP    mr  35  11   1   1   0  0  3  5  2  11.6   1.4  13.1   7.5   1.0 
Allan Anderson*         CTW    sp  24   4   2   0   3  0  3  4  3   8.4   1.0   9.7   4.2   0.5 
Allan Anderson*         EVN    sp  24   6   2   0   2  1  3  0  1  11.1   1.6  13.0   3.6   0.6 
Allan Anderson*                sp  24  10   4   0   5  1  6  4  4   9.4   1.2  10.9   4.0   0.5 
Rick Anderson           NFG    sp  31   8   2   0   1  0  1  1  1  14.6   2.0  16.9   3.1   0.6 
Joaquin Andujar         GBP    mr  35   4   1   1   0  0  1  1  1  12.9   1.5  14.4   4.6   0.5 
Luis Aquino             CCC    sp  24   4   2   3   3  0  0  3  1   7.5   5.6  13.9   3.2   0.7 
Jack Armstrong          NFG    sp  23  14   2   2   1  1  5  3  3  10.7   6.8  17.8   5.0   1.1 
Paul Assenmacher*       GBP    mr  27   6   3   2   0  9  0  0  3   7.1   2.3   9.4   8.7   0.5 
Keith Atherton          CIN    mr  29   0   0   0   0  0  0  0  0   9.0   2.3  11.3  15.8   2.3 
Don August              BBG    sp  24  11   8   0   1  2  0  3  4   6.4   2.1   8.6   3.7   0.2 
Scott Bailes*           TEW    sp  26   2   8   1   0  1  2  1  1   6.9   2.9   9.7   2.2   1.2 
Doug Bair               EVN    mr  38   0   0   3   0  2  0  1  0   6.4   3.2   9.6   5.1   1.3 
Jeff Ballard*           BAR    sp  24   0   1   1   2  0  0  2  1   6.4   3.2  10.5   1.8   1.4 
Scott Bankhead          BBG    sp  24  11   6   3   2  2  0  8  4   6.8   2.0   9.0   5.3   0.2 
Floyd Bannister*        RYK    sp  33  13   8   2   4  1  2  3  2   8.8   2.4  11.6   5.2   1.7 
Jose Bautista           CTW    sp  23   2   0   0   0  0  0  0  0  13.5   1.5  15.0   3.0   2.3 
Steve Bedrosian         FHK    cl  30  10   3   4   0  0  0  4  3   9.3   3.3  12.5   6.3   0.5 
Tim Belcher             NEE    sp  26  14   6   0   0  1  0  9 10   7.6   2.5  10.1   7.0   0.4 
Juan Berenguer          CCC    mr  33  10   5   2   2  3  3  2  3   5.9   4.2  10.2   9.8   0.6 
Mike Bielecki           NFG    mr  28   6   0   0   2  4  1  1  3  10.4   3.2  14.1   5.9   1.1 
Tim Birtsas*            NFG    mr  27   6   3   0   1  0  1  1  3   9.2   3.2  12.8   3.7   0.0 
Jeff Bittiger           RYK    mr  26   2   3   0   0  4  1  3  3   8.8   4.0  12.8   4.9   1.3 
Bud Black*              BAR    mr  31   5   2   4   4  7  3  3  3   6.8   3.0  10.2   7.8   0.4 
Bert Blyleven           NFG    sp  37  33   7   0   8  3  5  5  4  11.3   1.9  13.7   6.2   1.0 
Mike Boddicker          CIN    sp  30  18  10   1  11  4  2  8  2   9.4   2.5  12.4   6.3   0.9 
Joe Boever              CEN    mr  27   0   2   0   4  0  0  0  1   6.1   0.0   7.8   3.0   0.4 
Tom Bolton*             BMB    mr  26   1   0   0   0  0  1  2  2   9.7   2.7  12.4   2.5   0.7 
Greg Booker             RYK    mr  28  15   4   3   3  3  0  5  2  10.1   3.0  13.4   6.0   1.2 
Rich Bordi              BAR    sp  29   2   1   0   0  0  0  2  0   6.3   5.4  11.7   6.3   0.9 
Chris Bosio             SUN    sp  25  22   8   0   2  0  1  9  9   9.7   1.2  11.1   4.5   0.4 
Oil Can Boyd            GBP    sp  28  10   6   1   0  0  2  3  6   9.4   1.6  11.1   5.5   1.7 
Jeff Brantley           CCC    mr  24   1   0   1   3  0  0  0  1   9.2   4.1  14.6   3.7   0.5 
Keith Brown             EVN    sp  24   3   0   0   0  0  0  0  0   5.7   1.6   7.4   2.5   0.8 
Kevin Brown             FHK    sp  23   6   1   0   3  0  0  2  0   7.8   1.4  10.1   3.4   0.6 
Tom Browning*           EVN    sp  28   6   2   0   2  1  2  3  7   7.5   2.3   9.8   3.9   1.3 
Tim Burke               RYK    cl  29   3   0   2   0  5  0  2  0  10.0   2.5  12.5   3.0   0.8 
Todd Burns              CTW    sp  24   9   5   0   1  3  5  5  6   8.3   2.4  10.8   5.3   1.0 
Greg Cadaret*           FHK    mr  26   7   1   1   2  8  1  2  1   6.4   4.4  11.1   8.5   0.4 
John Candelaria*        SUN    sp  34   4   3   1   0  3  2  5  2  10.3   1.2  11.5   6.0   1.2 
Tom Candiotti           CIN    sp  30   9   8   2   8  4  5 10  4  10.4   1.9  12.6   5.6   1.1 
Don Carman*             CCC    sp  28   0   1   1   2  1  0  0  1  13.4   3.2  17.1   4.1   1.7 
Cris Carpenter          NEE    sp  23   0   2   0   2  2  1  1  1  15.0   0.9  16.2   5.5   0.7 
Chuck Cary*             NEE    mr  28   0   1   0   1  0  0  0  0   4.1   4.9   9.8   9.0   1.6 
Tony Castillo*          CTW    mr  25   0   0   0   0  1  0  1  0   8.6   0.0   8.6   8.0   0.6 
John Cerutti*           MAR    mr  28  14   7   6   4  4  3  3  3   8.8   2.2  11.3   5.0   1.2 
Norm Charlton*          CIN    sp  25   3   6   4   2  0  2  4  0   9.0   2.7  11.9   4.3   0.9 
Jim Clancy              NEE    sp  32   0   1   0   1  0  0  1  1  10.2   2.4  13.2   6.6   0.6 
Mark Clear              TEW    mr  32   1   0   0   0  1  3  2  1   6.0   3.6   9.6   8.3   0.8 
Roger Clemens           NFG    sp  25  15   8   0   7  1  3  4  7   7.6   2.0  10.0   9.8   1.0 
Stew Cliburn            BAR    mr  31   0   0   0   0  0  0  0  0   1.5   1.5   3.0   6.0   0.0 
Keith Comstock*         BAR    mr  32   2   1   0   0  0  0  0  1  11.2   2.8  14.0  13.0   3.7 
David Cone              SUN    sp  25  21   8   3   6 10  6 10  2   8.9   3.5  12.7   8.1   1.0 
Dennis Cook*            FHK    sp  25   4   2   0   1  1  1  0  2   7.6   2.3  10.3   5.7   0.0 
Sherman Corbett*        BMB    mr  25   3   0   1   0  5  1  4  4  11.7   4.4  16.2   5.8   0.4 
Jim Corsi               ES?    mr  26   4   1   1   0  1  1  0  0  13.5   1.4  14.9   4.3   0.0 
John Costello           EVN    mr  27   5   1   0   1  0  0  1  7   8.0   4.9  13.1   8.2   1.0 
Danny Cox               NEE    sp  28   7   2   5   1  2  4  2  7  10.8   2.2  13.1   5.9   0.8 
Tim Crews               GBP    mr  27   3   3   3   4  0  0  6  5   9.1   1.2  10.7   6.1   0.3 
Chuck Crim              MAR    mr  26   3   2   1   2  7  1  3  2   8.6   2.6  11.4   5.9   0.8 
Ron Darling             FHK    sp  27  16  10   0   2  6  3  8  3   8.1   2.5  10.8   6.8   1.0 
Danny Darwin            NEE    mr  32  13  10   1   4  0  1  3  3  10.0   1.9  12.2   6.1   1.3 
Mark Davis*             CEN    cl  27   8   3   0   0  7  2  2  5   7.3   3.1  10.4   8.9   0.5 
Ron Davis               CIN    mr  32   0   0   0   0  0  0  0  0   0.0   0.0   0.0   9.0   0.0 
Storm Davis             RYK    sp  26  20   6   1   1 16  4 11  4  10.5   3.6  14.1   6.5   0.8 
Ken Dayley*             EVN    mr  29   3   1   3   0  4  0  2  1   7.9   1.3   9.2   5.8   0.2 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  SB  CS  IW HBP WP BK SH SF   H/9  BB/9   R/9   K/9  HR/9 
Jose DeJesus            CEN    sp  23   1   0   0   0  0  0  2  0   7.9   6.4  14.3   6.4   0.0 
Jose DeLeon             ES?    sp  27  24   7   1   1  5  0 11  6   8.8   4.1  13.0   8.4   0.4 
Jim Deshaies*           FHK    sp  28  14   3   0   4  0 12  6  7   7.7   2.1  10.0   4.5   1.4 
Rob Dibble              ES?    mr  24  13   0   1   1  4  2  2  2   8.0   3.5  11.7   9.2   0.8 
Frank DiPino*           NFG    mr  31   3   1   5   0  3  2  4  1  11.5   2.7  14.2   6.1   0.3 
John Dopson             FER    sp  24  29   4   5   3  2  0 10  3   8.5   3.3  12.0   4.5   0.7 
Rich Dotson             GBP    sp  29   2   2   1   1  1  1  4  2   9.0   5.0  14.3   5.8   0.3 
Kelly Downs             FHK    sp  27   6   9   0   7  4  1 14  3   8.3   1.9  10.6   5.6   0.5 
Doug Drabek             TEW    sp  25  12   7   3   9  1  0  7  8   8.5   2.5  11.4   4.5   0.7 
Dave Dravecky*          FHK    sp  32   1   3   4   0  0  1  3  3   7.7   1.5   9.2   4.1   0.6 
Mike Dunne              BMB    sp  25   3   4   0   0  6  1  2  1  10.7   6.5  17.2   2.6   0.9 
Gary Eave               BBG    mr  24   0   1   0   0  0  0  0  0  15.8   9.0  24.8   0.0   6.8 
Dennis Eckersley        NFG    cl  33   5   1   0   1  0  2  2  3   8.2   1.3   9.7   8.2   0.7 
Juan Eichelberger       RYK    mr  34   1   3   0   1  2  1  2  1  10.7   1.8  12.7   1.4   1.6 
Mark Eichhorn           CCC    mr  27   3   4   3   7  0  3  4  5   8.4   1.7  11.0   4.4   0.4 
Steve Farr              GBP    cl  31   5   3   1   0  2  0  1  0   6.9   1.3   8.2   6.7   1.0 
John Farrell            NFG    sp  25  15   4   1   5  0  2  4  3   8.4   2.8  11.5   4.0   0.8 
Sid Fernandez*          CIN    sp  25  20   2   0   5  3  7  9  7   7.0   3.5  10.8   8.7   1.2 
Chuck Finley*           NEE    sp  25  20   6   1   7  3  7 16  7   9.0   3.3  12.6   4.8   0.9 
Mike Flanagan*          CCC    sp  36  16  11   3   9  2  2 10  6  11.0   2.7  14.1   3.9   1.1 
Tony Fossas*            BAR    mr  30   0   0   0   0  0  0  0  0  12.7   1.7  14.3   0.8   1.7 
John Franco*            SUN    cl  27   5   6   1   0  1  4  2  2   7.5   2.6  10.1   3.8   0.2 
Willie Fraser           BMB    sp  24  19  14   2   4 10  2 10  2   8.7   3.1  11.9   3.9   1.0 
Marvin Freeman          BMB    sp  25  16   3   2   0  2  1  4  2  10.5   7.2  17.7   5.9   0.5 
Todd Frohwirth          BAR    mr  25   3   1   1   0  0  0  0  0   9.8   9.0  18.8   6.8   2.3 
Gene Garber             TEW    cl  40   0   1   0   0  1  0  1  2   7.4   3.1  10.5   6.3   1.4 
Wes Gardner             CEN    sp  27   8   2   0   3  3  0  4  2   7.5   3.2  11.0   6.4   1.0 
Scott Garrelts          BBG    mr  26  15   2   1   2  6  5  4  1   7.9   2.7  10.8   7.8   0.1 
Paul Gibson*            BAR    mr  28  10   2   4   3  4  1  2  3   8.2   2.3  10.8   4.9   0.5 
Tom Glavine*            CCC    sp  22   8  11   3   9  2  1  5  3   8.6   2.6  11.7   3.6   0.9 
Jerry Gleaton*          FER    mr  30   2   1   5   1  2  0  1  0   9.1   4.5  13.9   8.0   0.3 
German Gonzalez         TEW    mr  26   0   0   0   0  0  0  0  0   0.0   0.0   0.0  18.0   0.0 
Dwight Gooden           FHK    sp  23  23   6   0   5  1  2  8  4   8.2   1.8  10.2   5.9   0.4 
Don Gordon              NEE    mr  28   1   1   0   3  0  2  2  2   9.7   1.7  12.5   2.8   1.0 
Tom Gordon              FER    mr  20   0   2   1   0  0  1  3  0  12.3   2.3  14.7   9.3   0.8 
Goose Gossage           BMB    cl  36   9   0   3   8  2  1  3  3   9.6   2.5  13.7   7.9   0.2 
Jim Gott                BMB    cl  28   3   0   2   2  0  4  1  2  10.4   2.8  13.5   9.2   1.2 
Jeff Gray               BMB    mr  25   0   0   0   0  0  0  1  2   6.9   0.7   7.6   5.5   0.7 
Kevin Gross             TEW    sp  27  25   2   5   7  5  2 10  5  11.0   4.2  15.8   6.1   0.6 
Cecilio Guante          CIN    mr  28   3   1   1   4  0  1  3  1   7.2   1.6   9.3   8.3   1.1 
Mark Gubicza            BBG    sp  25  17   9   0   2  6  1  5  2   6.6   2.8   9.5   5.5   0.4 
Lee Guetterman*         BMB    mr  29   4   1   3   3  3  0  2  1  13.7   3.1  17.4   3.1   0.4 
Ron Guidry*             CIN    sp  37   1   2   2   2  3  0  1  0   5.3   1.4   7.2   3.6   0.0 
Jose Guzman             FER    sp  25  17   7   2   5  8  8  2  1   8.1   3.5  11.9   6.7   0.7 
John Habyan             CCC    mr  24   3   0   1   0  2  0  2  0  10.1   3.4  13.5   1.0   0.5 
Drew Hall*              FER    mr  25   4   0   2   0  0  0  1  2   9.9   2.1  12.1   7.5   1.4 
Atlee Hammaker*         BAR    mr  30  13   4   3   4  1  1  6  3   8.5   2.6  11.5   4.1   0.5 
Erik Hanson             NEE    sp  23   3   2   0   1  2  4  3  6   7.9   2.6  10.6   7.3   0.0 
Mike Harkey             GBP    sp  21   2   0   0   0  2  1  2  2  11.0   3.9  14.8   5.3   1.5 
Pete Harnisch           CCC    sp  21   0   0   0   0  0  0  0  0  12.3   1.6  13.9   2.5   0.8 
Greg Harris             MAR    mr  32   8   4   1   5  5  2  2  3   7.9   3.9  12.2   6.3   1.1 
Greg W. Harris          FHK    mr  24   1   0   0   0  1  0  0  1   5.3   2.2   7.5   8.9   0.9 
Bryan Harvey            TEW    cl  25  11   0   0   2  2  0  0  1   7.0   1.9   9.1   9.0   0.4 
Andy Hawkins            SUN    sp  28  11   1   2   0  0  0  0  1   8.7   3.3  11.9   4.1   0.6 
Neal Heaton*            FER    mr  28   9   1   6   2  0  4  3  2   9.5   3.7  13.4   4.6   1.2 
Don Heinkel             BAR    mr  28   0   1   2   2  1  0  2  1   7.3   2.1   9.9   8.1   0.7 
Tom Henke               SUN    cl  30   4   3   0   2  0  1  1  3   8.2   1.8  10.3   8.8   0.8 
Mike Henneman           CTW    cl  26   0   1   0   2  8  3  3  2   7.6   1.6   9.4   6.4   0.7 
Dwayne Henry            CCC    mr  26   0   1   0   2  0  0  2  0  11.6   4.6  17.7   6.9   3.9 
Willie Hernandez*       FHK    mr  33   4   1   0   2  1  4  4  0   7.2   2.6  10.2   7.4   1.2 
Orel Hershiser          BBG    sp  29  16   2   0   5  3  2 10  4   7.3   2.4   9.9   6.5   0.5 
Joe Hesketh*            CIN    mr  29   0   0   0   0  1  0  0  0   7.9   3.2  11.1   8.7   0.0 
Teddy Higuera*          CIN    sp  29  11   7   0   9  0  3  3  4   7.5   1.7   9.5   7.4   0.5 
Ken Hill                BMB    mr  22   1   0   0   0  1  0  1  0   9.9   9.9  19.9   6.4   1.4 
Shawn Hillegas          RYK    sp  23  12   3   0   9  4  0  4  2   8.8   3.7  13.4   4.3   0.8 
Brian Holman            FHK    sp  23   4   4   0   1  4  0  8  0   8.6   3.0  11.7   4.3   0.7 
Brian Holton            BBG    mr  28   6   2   1   0  5  5  2  1   8.3   2.3  10.6   4.9   0.5 
Rick Honeycutt*         EVN    mr  34   3   3   3   4  3  8  2  1  10.3   3.4  14.2   5.6   0.5 
Ricky Horton*           GBP    mr  28   4   1   2   0  0  0  0  0  14.2   4.3  18.5   4.3   0.9 
Charlie Hough           CTW    sp  40  12   4   0   4  7  2  4  3   8.3   4.3  12.9   6.0   0.8 
Jay Howell              MAR    cl  32   3   0   0   0  1  0  0  1   7.4   2.1   9.5   9.7   0.2 
Jay Howell              FER    cl  32   4   2   1   1  0  0  0  1   6.6   4.0  10.9   8.4   0.4 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  SB  CS  IW HBP WP BK SH SF   H/9  BB/9   R/9   K/9  HR/9 
Jay Howell                     cl  32   7   2   1   1  1  0  0  2   7.1   2.8  10.0   9.2   0.3 
Ken Howell              ES?    mr  27   2   0   2   0  1  1  1  0  12.8   3.6  16.3  10.7   0.0 
Mark Huismann           BAR    mr  30   0   1   0   0  0  0  0  0   7.7   5.1  12.9   5.1   0.0 
Bruce Hurst*            MAR    sp  30  23   9   4   3  5  1 15  4   8.2   2.2  10.5   6.6   0.8 
Jeff Innis              SUN    mr  25   3   0   1   2  0  0  0  0  12.6   1.4  14.9   6.5   0.5 
Danny Jackson*          CEN    sp  26  16   9   6   8  6  1  6  2   7.5   2.6  10.3   5.6   0.6 
Mike Jackson            CIN    mr  23  14   4   1   5  9  3  1  3   7.2   2.9  10.6   7.2   0.4 
Mike Jeffcoat*          NEE    mr  28   0   0   0   1  0  0  1  2  14.9   0.7  16.3   3.6   0.0 
