                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Curt Wilkerson#        CEN     2b  27  .288  .328  .362 326  94  16   4   0  32  40   1  20  35   8   1 
Ken Williams           CCC     3b  24  .208  .208  .458  24   5   0   0   2   3   4   0   0   5   1   0 
Matt Williams          CEN     3b  22  .220  .277  .423 123  27   1   0   8  15  23   1  10  35   2   0 
Glenn Wilson           EVN     rf  29  .750  .750 1.250   4   3   2   0   0   0   0   0   0   1   0   0 
Mookie Wilson#         FER     cf  32  .345  .374  .461 165  57  10   3   1  24  15   1   7  30   8   4 
Mookie Wilson#         CEN     cf  32  .252  .295  .388 147  37   9   4   1  25  12   0   9  29   4   4 
Mookie Wilson#                 cf  32  .301  .336  .426 312  94  19   7   2  49  27   1  16  59  12   8 
Dave Winfield          CEN     rf  36  .350  .408  .573 586 205  57   7  20 105 108   6  56 102  14   9 
Herm Winningham*       BBG     cf  26  .294  .314  .441  34  10   1   2   0   5   3   0   1   6   1   1 
Tracy Woodson          NEE     3b  25  .067  .063  .067  15   1   0   0   0   0   2   0   0   4   0   0 
Craig Worthington      BAR     3b  23  .202  .292  .393  84  17   4   0   4  14  10   0  11  18   1   0 
Rick Wrona             BAR     c   24  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Butch Wynegar#         CEN     c   32  .207  .314  .276  29   6   2   0   0   1   8   0   5   2   0   0 
Marvell Wynne*         SUN     cf  28  .311  .373  .415 106  33   5   0   2  11   8   0  11  22   1   0 
Gerald Young#          CIN     cf  23  .250  .323  .339  56  14   2   0   1   7   3   0   6   6   5   2 
Mike Young#            FER     rf  28  .202  .333  .309  94  19  10   0   0  11   3   0  19  40   2   0 
Joel Youngblood        NFG     lf  36  .400  .462  .422  45  18   1   0   0   8   7   1   5   4   2   1 
Robin Yount            ES?     cf  32  .309  .348  .458 657 203  33  10  15  79  67   1  41  65  16   1 
Paul Zuvella           SUN     ss  29  .333  .500  .333   3   1   0   0   0   1   0   0   1   1   0   0 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Shawn Abner            NFG     rf  22  19  69   0   0   0  .478     3.9  1.9  .072  .345  .072   5  19 
Luis Aguayo            EVN     3b  29  54 208   2   4   9  .597    14.9  2.5  .098  .494  .185   8  58 
Mike Aldrete*          TEW     lf  27   0  95   0   0   1  .700    11.0  5.0  .024  .633  .155   2  27 
Luis Alicea#           RYK     2b  22  94 346   0   2   9  .615    28.9  3.1  .081  .540  .195  18  95 
Andy Allanson          FHK     c   26 108 404   5   4   7  .569    30.5  2.7  .059  .461  .118  14 109 
Roberto Alomar#        MAR     2b  20 154 635  15   5  14  .676    63.2  3.6  .117  .628  .216  40 214 
Sandy Alomar           TEW     c   22   1   6   0   0   0 1.417     2.3 31.7  .250 2.500  .750   1   3 
Brady Anderson*        BAR     cf  24  83 356  12   2   0  .578    29.5  3.0  .066  .524  .154  15  94 
Dave Anderson          RYK     ss  27  16  81   0   0   2  .495     4.3  1.8  .110  .431  .219   4  19 
Tony Armas             CTW     lf  34  63 297   0   1   9  .728    32.9  4.1  .180  .638  .245  26 120 
Alan Ashby#            CTW     c   36  32 129   0   1   3  .732    15.5  4.6  .136  .652  .220   8  48 
Alan Ashby#            FER     c   36  15  67   0   0   0  .888    12.5  8.3  .161  .878  .242   8  31 
Alan Ashby#                    c   36  47 196   0   1   3  .786    27.7  5.7  .144  .723  .228  16  79 
Wally Backman#         CTW     2b  28  22  99   1   1   5  .709    10.5  4.3  .024  .625  .179   2  27 
Wally Backman#         EVN     2b  28  54 265   2   1   2  .634    26.3  3.9  .030  .615  .189   7  68 
Wally Backman#                 2b  28  76 364   3   2   7  .654    36.7  4.0  .028  .617  .186   9  95 
Harold Baines*         ES?     dh  29 142 631   0   0  18  .657    60.0  3.5  .113  .557  .191  46 209 
Doug Baker#            ES?     ss  27   1   8   1   1   0  .310     0.3  1.0  .000  .200  .000   0   1 
Steve Balboni          CIN     dh  31   0   7   0   0   0  .571     0.6  3.1  .000  .400  .000   0   2 
Chris Bando#           CIN     c   32   6  20   0   0   1  .583     1.3  2.2  .167  .500  .278   1   6 
Jesse Barfield         BAR     rf  28  96 477   1   4   6  .734    56.5  4.4  .200  .661  .249  43 202 
Marty Barrett          BAR     2b  30 110 497   5   7   7  .697    57.2  4.6  .055  .613  .126  21 161 
Kevin Bass#            EVN     rf  29  86 420   1   4   6  .740    51.5  4.6  .166  .722  .269  34 160 
Buddy Bell             CIN     3b  36  18  72   0   0   1  .598     6.0  3.1  .129  .558  .274   4  19 
George Bell            FHK     lf  28 127 560   0   4  15  .632    47.6  3.0  .142  .523  .174  35 196 
Jay Bell               SUN     ss  22  50 179   0   1   2  .598    15.1  3.2  .070  .532  .190   8  46 
Rafael Belliard        CCC     ss  26   0   6   0   0   0  .667     0.8  5.7  .000  .750  .167   0   2 
Bruce Benedict         RYK     c   32  22  87   0   1   3  .651     8.1  3.6  .053  .576  .173   2  23 
Todd Benzinger#        NFG     1b  25 106 426   0   8   7  .620    37.2  3.1  .136  .535  .193  29 144 
Dave Bergman*          CTW     1b  35  61 280   1   2   7  .628    25.0  3.4  .076  .538  .180  15  79 
Damon Berryhill#       EVN     c   24  66 277   1   2   8  .709    30.3  4.2  .095  .607  .170  20  95 
Dante Bichette         RYK     cf  24  12  47   0   1   1  .461     2.3  1.7  .023  .333  .045   1  10 
Craig Biggio           RYK     c   22  36 138   1   0   0  .725    16.2  4.3  .224  .733  .336  13  55 
Lance Blankenship      CEN     2b  24   1   4   0   0   1  .500     0.0  0.0  .000  .250  .000   0   1 
Jeff Blauser           GBP     2b  22  17  71   1   1   2  .648     6.3  3.1  .130  .509  .130   6  27 
Terry Blocker*         CCC     cf  28   2  23   0   0   0  .820     3.7  7.2  .095  .786  .190   2   9 
Wade Boggs*            BBG     3b  30 157 754   0   3  17  .841   119.3  7.1  .093  .844  .262  48 269 
Barry Bonds*           FER     lf  23 107 471   0   4   8  .768    62.7  5.3  .150  .744  .274  35 178 
Bobby Bonilla#         GBP     3b  25 123 547   0   6   5  .769    72.3  5.1  .182  .715  .263  49 224 
Rod Booker*            ES?     3b  29   3  22   0   0   0  .725     3.0  6.2 -0.00  .769  .211   0   6 
Bob Boone              CEN     c   40  76 293   9   1   7  .764    36.5  5.0  .102  .701  .209  22 101 
Pat Borders            GBP     c   25  36 143   0   1   2  .616    12.3  3.0  .121  .491  .136  10  51 
Thad Bosley*           BBG     lf  31   9  28   0   0   1  .450     1.0  1.2  .040  .348  .120   1   5 
Daryl Boston*          BAR     cf  25  51 223   0   0   6  .512    11.9  1.7  .146  .446  .216  16  66 
Phil Bradley           BAR     lf  29 112 498   2   2  11  .674    50.4  3.9  .092  .602  .173  25 155 
Scott Bradley*         TEW     c   28   8  38   0   0   2  .652     3.1  2.8  .167  .533  .222   4  14 
Glenn Braggs           NEE     rf  25   1 109   0   0   3  .587     8.3  2.7  .091  .512  .202   3  30 
Mickey Brantley        CIN     lf  27   0   3   0   0   0 1.000     0.7  9.0  .333 1.000  .333   1   2 
Sid Bream*             NFG     1b  27  96 420   1   4   5  .687    46.2  4.3  .110  .648  .231  34 135 
Bob Brenly             BBG     c   34   8  25   0   0   0  .541     1.8  2.7  .043  .444  .130   1   6 
George Brett*          SUN     1b  35 119 561   2   3  11  .788    77.2  5.4  .172  .738  .266  50 231 
Greg Briley*           ES?     lf  23   6  33   0   0   1  .619     3.0  3.5  .071  .609  .286   2   8 
Greg Brock*            CCC     1b  31 101 397   1   2  14  .607    31.4  2.9  .096  .522  .195  20 111 
Tom Brookens           SUN     3b  34 104 410  11   5   8  .681    42.2  3.8  .120  .597  .185  32 139 
Hubie Brooks           TEW     rf  31  61 327   0   0  11  .832    47.9  5.6  .210  .759  .260  35 160 
Chris Brown            BBG     3b  26   0   1   0   0   0 2.000     1.0  0.0  .000  .000  .000   0   1 
Jerry Browne#          FHK     2b  22  50 190   0   0   2  .523    10.9  2.0  .041  .429  .116   5  42 
Tom Brunansky          CCC     rf  27  13  93   0   1   1  .699    10.5  4.4  .182  .734  .390   6  29 
Steve Buechele         NFG     3b  26  35 157   0   1   4  .685    15.5  3.6  .199  .632  .305  12  57 
Jay Buhner             SUN     rf  23  61 264   0   4   3  .809    37.9  5.7  .227  .795  .341  29 109 
Eric Bullock*          BAR     lf  28   0   6   0   0   0 1.000     1.8 15.8  .000 1.333  .167   0   3 
Ellis Burks            FHK     cf  23 144 645   4   4  12  .792    89.2  5.4  .165  .783  .288  55 257 
Randy Bush*            GBP     rf  29  74 353   0   2   4  .759    44.8  5.0  .180  .739  .307  34 129 
Sal Butera             FHK     c   35   1   6   0   0   0  .333     0.2  0.9  .000  .200  .000   0   1 
Brett Butler*          MAR     cf  31 154 697   9   3   9  .808   103.2  6.1  .150  .856  .342  54 252 
Ivan Calderon          FHK     rf  26   1  21   0   0   0  .143     0.1  0.2  .000  .167  .167   0   0 
Ken Caminiti#          CIN     3b  25  24  83   0   1   1  .949    17.5  9.6  .162 1.021  .297   6  39 
Sil Campusano          RYK     cf  22  40 166   0   1   1  .700    17.9  4.0  .199  .645  .232  16  63 
Casey Candaele#        BMB     2b  27  31 135   2   0   1  .398     4.9  1.2  .093  .319  .132   8  30 
John Cangelosi#        CTW     cf  25   6  35   0   0   0  .676     4.3  5.3 -0.00  .818  .310   0   8 
John Cangelosi#        FER     cf  25  16  76   0   1   0  .678     8.3  4.5  .016  .694  .203   1  19 
John Cangelosi#                cf  25  22 111   0   1   0  .678    12.6  4.7  .011  .732  .237   1  27 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Jose Canseco           TEW     rf  23 162 703   0   5  11  .891   120.9  7.0  .215  .961  .371  67 315 
Mark Carreon           FER     lf  24   1   3   0   0   1 1.167     0.4  5.7  .000 1.000  .500   0   1 
Mark Carreon           CEN     lf  24   0   7   0   0   0  .452     0.4  1.9  .000  .400  .167   0   1 
Mark Carreon                   lf  24   1  10   0   0   1  .650     0.8  2.9  .000  .571  .250   0   2 
Gary Carter            NFG     c   34 132 528   0   3  10  .819    79.8  6.1  .176  .791  .270  42 223 
Joe Carter             CCC     cf  28 147 622   4  10   5  .744    77.6  4.6  .180  .707  .249  60 258 
Carmen Castillo        NEE     lf  30  27 163   0   0   5  .814    24.1  5.9  .127  .739  .172  13  72 
Juan Castillo#         CCC     2b  26   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Rick Cerone            FHK     c   34  55 248   0   1   7  .590    19.4  2.9  .034  .456  .082   6  68 
Dave Clark*            GBP     dh  25   0   9   0   0   0  .583     0.8  3.4  .000  .500  .125   0   2 
Jack Clark             NEE     dh  32 138 596   0   2  13  .691    64.1  4.2  .141  .659  .299  36 185 
Will Clark*            CTW     1b  24 128 589   0   2   9  .853    95.0  6.6  .219  .857  .358  60 255 
Vince Coleman#         GBP     lf  26  35 167   1   0   2  .553    12.9  2.6  .100  .546  .219  10  50 
Darnell Coles          CEN     rf  26  41 203   0   2   7  .957    38.3  7.9  .261  .984  .415  20 100 
Dave Concepcion        GBP     2b  40  12  39   0   0   1  .308     0.7  0.6  .051  .200  .051   2   7 
Henry Cotto            CCC     cf  27  49 239   0   0   5  .648    22.5  3.4  .107  .584  .191  16  80 
Jose Cruz*             CTW     dh  40   3  10   0   0   0  .633     1.0  3.8  .111  .571  .222   1   3 
Kal Daniels*           CIN     lf  24  97 471   0   2   5  .828    75.4  6.8  .154  .868  .333  41 182 
Doug Dascenzo#         NFG     cf  24  16  85   2   0   5  .516     3.9  1.5  .079  .420  .158   6  20 
Darren Daulton*        BAR     c   26  53 178   0   2   1  .595    15.4  3.3  .063  .520  .171   8  46 
Alvin Davis*           CEN     1b  27 122 521   0   4   8  .824    79.5  6.6  .141  .835  .298  33 189 
Chili Davis#           BAR     rf  28 161 700   1   5  11  .717    80.4  4.4  .124  .644  .200  47 256 
Eric Davis             TEW     cf  26 123 537   0   2  14  .766    68.1  4.8  .201  .766  .357  38 208 
Glenn Davis            FHK     1b  27 141 598   0   7   9  .806    83.2  5.3  .219  .752  .281  52 268 
Jody Davis             BAR     c   31  84 304   2   0   5  .685    33.0  4.2  .109  .614  .196  19 100 
Andre Dawson           CTW     rf  33 103 443   0   3  14  .766    54.7  4.6  .182  .676  .234  41 191 
Andre Dawson           EVN     rf  33   4  53   0   0   0  .690     5.7  4.0  .143  .605  .204   6  19 
Andre Dawson                   rf  33 107 496   0   3  14  .758    60.4  4.5  .178  .669  .231  47 210 
Rob Deer               FHK     rf  27  90 419   0   2   5  .721    49.7  4.6  .156  .677  .255  35 152 
Rick Dempsey           CEN     c   38  24 111   0   2   2  .933    21.4  8.4  .221 1.000  .389  15  51 
Bob Dernier            MAR     cf  31  32 142   1   2   1  .799    19.7  5.5  .085  .731  .115   6  55 
Orestes Destrade*      FHK     1b  26  11  40   0   0   0  .572     3.1  3.5  .000  .667  .379   0   5 
Mike Devereaux         CCC     cf  25   5  34   0   1   0  .464     1.9  1.9  .097  .385  .161   3   8 
Bo Diaz                NEE     c   35   8  30   0   0   0  .543     2.2  2.7  .034  .409  .034   1   8 
Mario Diaz             CEN     ss  26   5  22   0   0   0  .955     4.9 10.2  .136  .923  .136   3  12 
Benny Distefano*       CEN     1b  26   6  31   0   0   1  .939     5.9  7.9  .207  .900  .276   4  16 
Bill Doran#            CIN     2b  30 135 577   9   3   7  .675    62.8  4.2  .099  .663  .254  30 175 
Brian Dorsett          ES?     c   27   5  16   0   0   0  .466     0.9  2.1  .000  .455  .154   0   2 
Brian Downing          CTW     dh  37   2  32   0   0   0  .429     1.5  1.7  .036  .375  .143   1   5 
Brian Downing          NFG     dh  37  25 130   0   1   4  .793    17.2  5.2  .196  .775  .321  11  50 
Brian Downing                  dh  37  27 162   0   1   4  .720    18.4  4.4  .164  .690  .286  12  55 
Rob Ducey*             CEN     cf  23   5  24   0   0   0  .830     4.1  7.5  .136  .867  .273   3  10 
Shawon Dunston         NFG     ss  25 145 620   1   7   8  .553    43.2  2.4  .088  .486  .138  30 190 
Leon Durham*           GBP     1b  30   0   2   0   0   0 1.500     1.0 27.0  .500 2.000  .500   1   2 
Jim Dwyer*             FER     dh  38  15  93   0   1   0  .859    15.5  8.5  .028  .979  .292   1  27 
Lenny Dykstra*         EVN     cf  25 105 476   7   5   7  .713    54.3  4.3  .108  .651  .187  30 169 
Jim Eisenreich*        NFG     lf  29  56 202   1   1   3  .465    10.8  1.8  .056  .391  .113   9  49 
Kevin Elster           FHK     ss  23  22 130   1   0   2  .549     8.9  2.4  .106  .440  .154   6  38 
Dave Engle             NFG     c   31   3  11   0   0   0  .182     0.1  0.2  .000  .100  .000   0   1 
Nick Esasky            CIN     1b  28  79 351   0   2   4  .726    42.5  4.6  .188  .707  .310  32 131 
Alvaro Espinoza        FER     2b  26   0   4   0   0   0  .750     0.5  4.5  .250  .667  .250   1   2 
Cecil Espy#            MAR     lf  25  14 101   0   0   1  .715    11.6  4.2  .143  .667  .194  10  41 
Darrell Evans*         CIN     1b  41  48 246   0   5   4  .683    24.9  3.8  .172  .642  .311  16  79 
Dwight Evans           NEE     rf  36 152 638   1   7   8  .778    89.3  5.7  .134  .738  .236  41 241 
Felix Fermin           CEN     ss  24  28 109   0   1   4  .498     5.4  1.7  .030  .376  .061   3  23 
Tony Fernandez#        CTW     ss  26 161 661   1   3  15  .723    77.3  4.6  .080  .645  .172  35 223 
Cecil Fielder          SUN     dh  24  44 184   0   0   4  .653    16.7  3.2  .199  .574  .269  14  68 
Bruce Fields*          NFG     lf  27   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
John Fishel            CTW     lf  25   3  23   0   0   0  .919     4.4  7.8  .286  .933  .381   2  12 
Carlton Fisk           GBP     c   40  56 227   0   0   7  .829    31.8  5.2  .258  .762  .305  26 111 
Mike Fitzgerald        FER     c   27  39 190   1   0   3  .665    18.9  3.7  .114  .566  .182  10  64 
Tim Flannery*          CIN     3b  30  44 215   2   1   4  .863    35.6  7.2  .114  .885  .255  10  82 
Scott Fletcher         MAR     ss  29  84 315   8   3   3  .561    24.0  2.8  .051  .491  .139  12  73 
Tom Foley*             MAR     2b  28  38 165   0   2   0  .700    20.0  5.0  .039  .629  .118   6  53 
Tom Foley*             FER     2b  28  25 116   0   0   1  .492     6.6  2.0  .054  .374  .089   5  29 
Tom Foley*                     2b  28  63 281   0   2   1  .613    25.8  3.5  .045  .510  .106  11  82 
Curt Ford*             BBG     lf  27   1   8   0   0   0  .542     0.6  3.1  .000  .600  .333   0   1 
Julio Franco           BBG     2b  29 158 644   0   5  33  .773    75.4  4.4  .115  .673  .198  38 243 
Terry Francona*        EVN     dh  29   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Gary Gaetti            MAR     3b  29 126 542   0   5   7  .929   101.5  7.6  .259  .913  .308  64 295 
Greg Gagne             FHK     ss  26 140 532  12   4  14  .704    55.9  3.8  .154  .637  .223  36 200 
Andres Galarraga       TEW     1b  27 162 687   0   4  19  .937   125.1  7.3  .268  .926  .333  94 370 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Dave Gallagher         CTW     cf  27  87 404   1   2   8  .837    64.4  6.6  .146  .782  .210  34 178 
Mike Gallego           CCC     2b  27  68 303   4   0   6  .630    27.3  3.4  .080  .530  .163  18  90 
Ronnie Gant            GBP     2b  23 131 515   1   2   8  .718    56.6  4.0  .197  .661  .273  48 202 
Jim Gantner*           GBP     2b  35  40 247   2   1   2  .706    28.7  4.5  .079  .639  .153  13  85 
Damaso Garcia          EVN     2b  33  16  52   0   0   0  .467     2.6  1.7  .137  .372  .157   3  15 
Rich Gedman*           CCC     c   28  30 171   1   1   2  .608    14.7  3.1  .121  .520  .185  13  53 
Bob Geren              FER     c   26   2   9   0   0   0  .611     0.8  4.3  .000  .800  .500   0   1 
Ken Gerhart            NEE     cf  27  14  53   0   0   0  .953     9.8  7.2  .367  .973  .449   8  31 
Kirk Gibson*           CTW     lf  31  44 196   1   0   1  .777    27.6  5.6  .182  .756  .295  17  78 
Kirk Gibson*           EVN     lf  31  97 421   2   5   5  .859    69.5  6.9  .185  .929  .371  33 169 
Kirk Gibson*                   lf  31 141 617   3   5   6  .832    96.9  6.5  .184  .872  .346  50 247 
Dan Gladden            CIN     lf  30  52 266   1   2   2  .876    46.9  7.5  .165  .909  .297  22 115 
Rene Gonzales          SUN     3b  27  24 142   0   1   3  .908    26.9  8.4  .143  .953  .286  11  62 
Denny Gonzalez         BAR     2b  24   8  27   2   0   1  .507     1.5  1.9  .045  .421  .182   1   5 
Jose Gonzalez          FER     cf  23   4  24   1   0   2  .445     0.7  0.9  .045  .524  .273   1   5 
Mark Grace*            EVN     1b  24  90 431   0   1   6  .674    45.0  4.1  .078  .613  .195  21 130 
Mike Greenwell*        BBG     lf  24 162 700   0   8  17  .902   125.7  7.8  .148  .918  .269  58 301 
Tommy Gregg*           EVN     lf  24   2   9   0   0   0  .347     0.3  1.1  .000  .286  .125   0   1 
Ken Griffey*           BMB     lf  38  50 265   0   0   8  .566    18.5  2.5  .054  .467  .159   9  65 
Alfredo Griffin#       BMB     ss  30   4  44   0   0   0  .761     6.2  6.2  .050  .704  .125   2  15 
Kelly Gruber           MAR     3b  26 129 576   9   4  13  .800    78.1  5.1  .187  .757  .250  56 256 
Pedro Guerrero         EVN     1b  32  71 321   0   4   4  .880    57.6  7.6  .175  .885  .264  25 147 
Ozzie Guillen*         TEW     ss  24 101 407   8   4  12  .603    30.6  2.6  .045  .477  .079  14 119 
Tony Gwynn*            BBG     rf  28 138 605   6   3  17  .859    99.9  6.9  .121  .853  .236  43 253 
Mel Hall*              GBP     lf  27  45 189   1   0   2  .506    11.4  2.1  .072  .401  .122   9  49 
Darryl Hamilton*       TEW     rf  23  22  91   0   0   1  .393     3.8  1.4  .037  .446  .250   1  13 
Brian Harper           CCC     c   28  34 172   1   2   2  .694    19.7  4.6  .071  .628  .142   9  55 
Lenny Harris*          GBP     3b  23   2  43   0   0   0  .577     3.9  3.7  .029  .643  .314   1   8 
Ron Hassey*            TEW     c   35  91 384   2   2   6  .797    55.2  6.0  .117  .758  .229  25 144 
Billy Hatcher          EVN     lf  27  41 177   3   6   0  .751    23.1  4.9  .137  .718  .186  13  70 
Mickey Hatcher         MAR     1b  33  23  97   0   0   1  .740    12.2  5.2  .092  .683  .161   4  33 
Charlie Hayes          FHK     lf  23   3  14   0   1   0  .000     0.0  0.0  .000  .000  .000   0   0 
Von Hayes*             BBG     1b  29  95 447   5   6  10  .751    57.6  5.1  .105  .729  .240  36 154 
Mike Heath             BBG     c   33  57 253   4   0  17  .619    17.8  2.4  .093  .469  .139  14  80 
Danny Heep*            CCC     rf  30  33 145   0   1   0  .583    12.7  3.4  .031  .560  .188   4  34 
Dave Henderson         NEE     cf  29 134 597   4   2  11  .818    85.9  5.7  .191  .769  .272  57 256 
Rickey Henderson       CEN     lf  29 113 515   2   1   5  .794    76.2  5.9  .111  .908  .336  37 186 
Keith Hernandez*       BBG     1b  34  65 324   0   1  11  .802    45.0  5.6  .138  .744  .252  21 126 
Larry Herndon          ES?     dh  34   5  24   0   0   2  .553     1.3  1.9 -0.00  .368  .043   0   6 
Tommy Herr#            EVN     2b  32  32 157   1   0   5  .603    12.5  2.9  .042  .518  .155   3  41 
Donnie Hill#           RYK     2b  27  45 188   2   1   4  .586    14.8  2.8  .114  .532  .228   8  52 
Sam Horn*              CTW     dh  24   0   3   0   0   0  .667     0.3  4.5  .000  .500  .000   0   1 
Sam Horn*              NFG     dh  24  19  76   0   0   0  .661     7.7  3.8  .231  .655  .400   5  25 
Sam Horn*                      dh  24  19  79   0   0   0  .661     8.0  3.8  .221  .649  .382   5  26 
Bob Horner             CTW     1b  30  31 126   0   1   7  .903    20.4  6.5  .204  .845  .310  17  59 
Jack Howell*           CTW     3b  26  76 328   0   3   3  .729    40.0  4.8  .158  .686  .271  25 118 
Jack Howell*           EVN     3b  26  30 141   0   0   1  .908    24.9  7.5  .238  .922  .377  18  64 
Jack Howell*                   3b  26 106 469   0   3   4  .782    64.5  5.5  .182  .754  .303  43 182 
Kent Hrbek*            GBP     1b  28 118 497   0   4   6  .731    61.1  4.8  .137  .668  .230  40 183 
Glenn Hubbard          BBG     2b  30   0  10   0   0   0  .522     0.7  2.6  .000  .429  .111   0   2 
Rex Hudler             MAR     2b  27  25 103   0   3   0  .419     4.6  1.4  .041  .417  .122   4  22 
Rex Hudler             FER     2b  27   8  47   0   0   0  .560     3.9  3.0  .065  .556  .174   2  14 
Rex Hudler                     2b  27  33 150   0   3   0  .463     8.4  1.8  .049  .458  .139   6  36 
Jeff Huson*            FER     ss  23  11  49   0   1   1  .817     7.6  6.6  .045  .800  .159   2  18 
Pete Incaviglia        BBG     lf  24  60 281   0   3   9  .739    30.5  3.9  .216  .668  .298  24 114 
Bo Jackson             GBP     lf  25 111 470   0   3   9  .743    54.0  4.0  .238  .718  .312  47 214 
Chuck Jackson          NFG     3b  25  16  64   0   0   1  .552     4.3  2.3  .063  .420  .079   2  19 
Darrin Jackson         FER     cf  25  17  73   0   1   2  .837    10.6  5.4  .239  .750  .254  14  38 
Darrin Jackson         CEN     cf  25   2  21   0   0   0 1.143     6.4 14.5  .286 1.250  .286   4  15 
Darrin Jackson                 cf  25  19  94   0   1   2  .906    16.6  6.9  .250  .844  .261  18  53 
Brook Jacoby           BMB     3b  28 151 626   1   2   9  .535    42.0  2.4  .083  .438  .153  31 164 
Chris James            FER     rf  25 109 491   0   2   2  .692    54.5  4.1  .137  .637  .209  35 180 
Dion James*            RYK     lf  25 101 473   0   3   5  .665    49.1  4.1  .087  .654  .255  23 131 
Stan Javier#           BMB     lf  24 102 462   7   1  10  .568    34.2  2.6  .058  .472  .125  19 128 
Gregg Jefferies#       BAR     3b  20   4 124   0   0   1 1.038    29.9 11.1  .239 1.151  .363  16  69 
Stan Jefferson         RYK     cf  25   4  20   0   0   0 1.034     4.6  9.6  .368 1.077  .421   4  13 
Steve Jeltz#           BMB     ss  29 115 396   7   4  12  .556    27.9  2.6  .036  .496  .210   7  79 
Howard Johnson#        ES?     3b  27 142 597   0   4   8  .715    66.8  4.1  .199  .690  .325  54 223 
Lance Johnson*         TEW     cf  24  32  99   1   0   5  .316     1.5  0.4  .031  .211  .041   2  17 
Wallace Johnson#       BBG     1b  31   6  77   1   1   0  .651     8.2  4.4  .029  .592  .147   2  21 
Ron Jones*             CEN     rf  24  14  98   0   0   2  .723    11.1  4.1  .187  .616  .208  10  43 
Tim Jones*             EVN     2b  25  11  45   0   0   1  .551     3.3  2.6  .024  .500  .143   1  11 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Tracy Jones            CIN     rf  27  20 100   3   1   1  .792    13.3  5.0  .129  .735  .172   4  42 
Tracy Jones            EVN     rf  27  43 161   5   1   7  .558    10.5  2.2  .055  .458  .145   4  41 
Tracy Jones                    rf  27  63 261   8   2   8  .649    23.1  3.2  .084  .559  .155   8  83 
Ricky Jordan           FHK     1b  23  10 151   0   3   3  .820    22.7  5.9  .161  .740  .196  12  69 
Felix Jose#            CCC     rf  23   1   5   0   0   0  .600     0.4  2.7  .200  .500  .200   1   2 
Wally Joyner*          RYK     1b  26 124 560   0   7   5  .767    78.6  5.7  .117  .744  .222  35 209 
Ron Karkovice          BAR     c   24  25 133   2   1   1  .531     8.5  2.2  .090  .436  .139   5  35 
Roberto Kelly          CEN     cf  23  15  70   0   0   1  .568     5.2  2.6  .094  .556  .219   3  19 
Terry Kennedy*         GBP     c   32  39 129   0   3   8  .518     6.4  1.6  .076  .388  .126   7  33 
Steve Kiefer           SUN     2b  27   0   9   0   0   0  .611     0.8  4.3  .000  .800  .500   0   1 
Mike Kingery*          NFG     cf  27  22 110   0   0   0  .491     6.6  2.3  .011  .449  .181   1  18 
Ron Kittle             ES?     dh  30  54 260   0   3   3  .952    49.9  7.6  .325  .954  .374  34 151 
Ray Knight             CCC     1b  35   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Chad Kreuter#          CTW     c   23   4  47   0   0   4  .500     2.0  1.4  .022  .333  .067   1  11 
John Kruk*             FHK     1b  27 104 490   0   2  14  .718    56.9  4.8  .108  .734  .345  25 138 
Jeff Kunkel            ES?     2b  26  36 154   0   0   1  .519     9.3  2.0  .079  .385  .079   7  44 
Randy Kutcher          CTW     lf  28   4  12   0   0   0  .417     0.5  1.4  .083  .300  .083   1   3 
Steve Lake             ES?     c   31   1   7   0   1   0  .929     1.5 10.2  .000 1.000  .000   0   3 
Tom Lampkin*           FHK     c   24   1   7   0   0   0  .762     1.0  6.5  .000  .750  .167   0   2 
Carney Lansford        NFG     3b  31 124 514   3   7  11  .680    55.0  4.0  .077  .604  .144  28 174 
Barry Larkin           CIN     ss  24 149 684  26   3  10  .808   101.7  5.9  .128  .799  .220  48 277 
Gene Larkin#           CIN     dh  25   0  33   1   2   0  .404     1.7  1.8  .000  .409  .192   0   4 
Gene Larkin#           EVN     dh  25   6  29   1   1   1  .582     2.2  2.9  .043  .526  .130   1   6 
Gene Larkin#                   dh  25   6  62   2   3   1  .487     3.9  2.3  .020  .463  .163   1  10 
