                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Mike Scioscia*         CCC     c   29  .263  .308  .364 316  83   6   1   8  28  37   1  21  28   2   2 
Kevin Seitzer          FER     3b  26  .246  .333  .338 423 104  18   3   5  41  47   3  53  80   5   7 
Mike Sharperson        CEN     2b  26  .298  .313  .298  47  14   0   0   0   3   2   0   1   9   1   0 
Larry Sheets*          RYK     dh  28  .143  .192  .204  49   7   3   0   0   0   4   1   2  11   0   0 
Gary Sheffield         NEE     ss  19  .231  .271  .440  91  21   1   0   6  16  12   1   4   8   7   1 
John Shelby#           CTW     cf  30  .324  .410  .588  34  11   2   2   1   9   6   0   5   8   0   0 
John Shelby#           EVN     cf  30  .283  .327  .439 212  60  11   2   6  26  22   0  14  57   2   2 
John Shelby#                   cf  30  .289  .340  .459 246  71  13   4   7  35  28   0  19  65   2   2 
Pat Sheridan*          SUN     lf  30  .308  .357  .448 328 101  11  10   5  38  38   0  28  53   7   7 
Ruben Sierra#          ES?     rf  22  .280  .309  .438 576 161  31   3  18  58  72   1  26  60  18   7 
Ted Simmons#           RYK     1b  38  .137  .192  .192  73  10   4   0   0   7   3   0   5   5   0   0 
Matt Sinatro           CTW     c   28  .333  .333  .750  12   4   2   0   1   2   3   0   0   1   0   0 
Joel Skinner           RYK     c   27  .215  .253  .354  79  17   6   1   1   6   8   0   4  14   0   0 
Don Slaught            CEN     c   29  .309  .368  .419 246  76  14   2   3  32  30   1  23  43   2   0 
Lonnie Smith           ES?     lf  32  .235  .296  .304 115  27   5   0   1  10  11   0  10  27   1   3 
Ozzie Smith#           BAR     ss  33  .270  .359  .351 507 137  29   0   4  59  53   1  72  36  17   7 
Van Snider*            CIN     lf  24  .219  .212  .406  32   7   0   0   2   3   4   0   0  12   0   0 
Cory Snyder            SUN     rf  25  .264  .314  .520 356  94  21   2  22  50  63   1  26  65   5   0 
Chris Speier           FER     2b  38  .267  .332  .375 176  47   7   3   2  15  19   3  14  44   2   4 
Pete Stanicek#         BMB     lf  25  .244  .280  .423  78  19   2   0   4   7  13   0   4  17   1   7 
