                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Bob Tewksbury            FHK    sp  27  .417  .462  .917  12   5   0   0   2   6   0   1   0   0   0   0 
Bobby Thigpen            GBP    cl  24  .355  .435  .428 152  54   5   0   2  20   1  22   1  15   1   2 
Mark Thurmond*           CCC    mr  31  .227  .261  .273  22   5   1   0   0   2   0   1   0   3   1   0 
Jay Tibbs                BMB    sp  26  .293  .323  .454 174  51   8   1   6  28   0   9   0  22   1   3 
Fred Toliver             MAR    sp  27  .600  .667  .600   5   3   0   0   0   1   0   1   0   1   0   0 
Steve Trout*             FER    sp  30  .177  .329  .210  62  11   2   0   0   7   8   6   0   9   1   0 
John Tudor*              BAR    sp  34  .223  .245  .410 139  31   6   1   6  13   2   2   0  37   1   0 
Fernando Valenzuela*     NFG    sp  27  .426  .507  .639  61  26   1   0   4  16   1   9   0   4   2   0 
Ed Vande Berg*           NEE    mr  29  .214  .214  .286  14   3   1   0   0   2   0   0   0   5   0   0 
Frank Viola*             CTW    sp  28  .197  .233  .268 183  36  11   1   0  13   3   6   0  37   1   1 
Bob Walk                 CTW    sp  31  .280  .337  .348 443 124  27   0   1  45   1  38   0  35   4   2 
Duane Ward               FER    mr  24  .232  .343  .355 155  36   8   1   3  16   0  26   0  23   0   0 
Bill Wegman              CCC    sp  25  .277  .316  .361 415 115  24   1   3  37   0  27   2  23   1   8 
Bob Welch                CIN    sp  31  .266  .335  .423 312  83  22   3   7  37   0  33   1  53   4   1 
David Wells*             BAR    mr  25  .259  .348  .345  58  15   3   1   0   4   2   6   0   8   1   0 
David West*              BMB    sp  23  .267  .389  .267  15   4   0   0   0   3   0   3   0   0   0   0 
Ed Whitson               GBP    sp  33  .326  .360  .468 344 112  22   6   5  41   0  20   2  33   3   3 
Bill Wilkinson*          NEE    mr  23  .186  .339  .186  43   8   0   0   0   2   0  11   0   7   0   2 
Frank Williams           FHK    mr  30  .317  .438  .400  60  19   2   0   1  10   0  13   1   8   1   0 
Mitch Williams*          NFG    cl  23  .167  .370  .204  54   9   2   0   0   5   3  15   1  16   2   1 
Mark Williamson          BAR    mr  28  .238  .314  .377 231  55  16   2   4  17   0  26   0  27   0   1 
Carl Willis              BAR    mr  27  .480  .552  .920  25  12   2   0   3   9   0   4   0   3   0   0 
Steve Wilson*            BMB    mr  23  .500  .538  .600  10   5   1   0   0   4   0   2   0   2   0   1 
Trevor Wilson*           NEE    sp  22  .154  .294  .154  13   2   0   0   0   2   0   3   0   5   0   1 
Bobby Witt               FER    sp  24  .237  .310  .380 279  66  12   5   6  34   1  31   3  64   1   5 
Mike Witt                TEW    sp  27  .240  .304  .309 388  93  19   1   2  27   1  35   0  41   4   1 
Todd Worrell             RYK    cl  28  .254  .312  .482 114  29  10   2   4  14   0  10   0  27   1   1 
Floyd Youmans            EVN    sp  24  .255  .400  .415  94  24   9   0   2  15   0  24   0  16   2   2 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       -------------------Versus Right-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Jim Acker                ES?    mr  29  .282  .309  .423  78  22   2   0   3  10   1   2   1  23   1   0 
Juan Agosto*             EVN    mr  30  .259  .318  .389 193  50   6   2   5  19   0  17   3  17   0   1 
Rick Aguilera            GBP    mr  26  .382  .400  .706  34  13   2   0   3   9   0   1   0   8   0   0 
Gibson Alba*             CTW    mr  28  .091  .167  .091  11   1   0   0   0   0   0   1   0   2   0   0 
Neil Allen               CCC    mr  30  .218  .237  .321  78  17   0   1   2  12   0   2   0  16   1   0 
Jose Alvarez             MAR    mr  32  .234  .306  .260  77  18   2   0   0   5   1   7   0  18   1   0 
Larry Andersen           GBP    mr  35  .265  .282  .397 136  36   4   4   2  24   0   4   0  34   3   2 
Allan Anderson*          CTW    sp  24  .244  .271  .339 307  75  10   2   5  23   3   9   0  41   4   2 
Allan Anderson*          EVN    sp  24  .281  .301  .412 199  56  10   2   4  27   1   5   0  19   0   1 
Allan Anderson*                 sp  24  .259  .283  .368 506 131  20   4   9  50   4  14   0  60   4   3 
Rick Anderson            NFG    sp  31  .317  .333  .533  60  19   3   5   0  12   1   1   0   7   1   1 
Joaquin Andujar          GBP    mr  35  .351  .351  .500  94  33  10   2   0  15   0   0   0  15   0   0 
Luis Aquino              CCC    sp  24  .232  .333  .275  69  16   0   0   1   6   3   8   0   3   2   1 
Jack Armstrong           NFG    sp  23  .275  .344  .563  80  22  10   2   3  15   1   9   0  12   1   3 
Paul Assenmacher*        GBP    mr  27  .220  .274  .335 173  38   4   2   4  20   0  14   1  44   0   3 
Keith Atherton           CIN    mr  29  .000  .000  .000   9   0   0   0   0   0   0   0   0   5   0   0 
Don August               BBG    sp  24  .156  .212  .188 192  30   4   1   0  14   0  14   0  32   2   2 
Scott Bailes*            TEW    sp  26  .264  .314  .503 163  43   6   3   9  21   0  12   1   6   0   0 
Doug Bair                EVN    mr  38  .200  .200  .440  25   5   1   1   1   3   0   0   0   8   0   0 
Jeff Ballard*            BAR    sp  24  .211  .303  .333  57  12   1   0   2   7   2   6   1   3   2   1 
Scott Bankhead           BBG    sp  24  .182  .213  .275 258  47  14   2   2  16   2   9   1  44   4   3 
Floyd Bannister*         RYK    sp  33  .257  .309  .514 284  73  17   4  16  44   3  19   2  41   2   1 
Jose Bautista            CTW    sp  23  .500  .524 1.150  20  10   2   1   3   6   0   1   0   1   0   0 
Steve Bedrosian          FHK    cl  30  .204  .241  .241 162  33   3   0   1  15   0   9   1  39   2   3 
Tim Belcher              NEE    sp  26  .218  .254  .264 216  47   6   2   0  13   0  12   0  35   7   4 
Juan Berenguer           CCC    mr  33  .185  .266  .233 189  35   6   0   1  20   1  21   1  76   2   3 
Mike Bielecki            NFG    mr  28  .177  .250  .304  79  14   3   2   1   6   1   7   0  15   1   1 
Tim Birtsas*             NFG    mr  27  .259  .306  .315  54  14   1   1   0   5   0   5   0   5   0   3 
Jeff Bittiger            RYK    mr  26  .235  .272  .494  85  20   5   1   5  15   0   5   0  17   3   2 
Bud Black*               BAR    mr  31  .217  .281  .281 235  51   5   2   2  15   3  19   4  55   2   3 
Bert Blyleven            NFG    sp  37  .308  .339  .491 279  86  12   3  11  44   5  10   0  56   3   4 
Mike Boddicker           CIN    sp  30  .248  .293  .363 347  86  10   0  10  39   6  16   0  87   6   0 
Joe Boever               CEN    mr  27  .290  .361  .419  31   9   1   0   1   3   4   0   0   2   0   1 
Tom Bolton*              BMB    mr  26  .319  .347  .473  91  29   8   0   2  16   0   5   0   1   2   2 
Greg Booker              RYK    mr  28  .223  .293  .330 112  25   0   0   4  17   1  10   1  27   3   0 
Rich Bordi               BAR    sp  29  .182  .308  .455  11   2   0   0   1   3   0   2   0   4   1   0 
Chris Bosio              SUN    sp  25  .287  .322  .378 352 101  14   3   4  33   1  18   0  59   6   2 
Oil Can Boyd             GBP    sp  28  .278  .315  .594 187  52  12   1  15  28   0  11   0  29   1   2 
Jeff Brantley            CCC    mr  24  .302  .345  .491  53  16   7   0   1  12   2   2   1   6   0   1 
Keith Brown              EVN    sp  24  .083  .083  .125  24   2   1   0   0   0   0   0   0   1   0   0 
Kevin Brown              FHK    sp  23  .170  .228  .189  53   9   1   0   0   1   2   2   0   7   1   0 
Tom Browning*            EVN    sp  28  .213  .250  .380 640 136  22   2  27  69   2  32   0  64   3   5 
Tim Burke                RYK    cl  29  .170  .177  .188 112  19   2   0   0  10   0   1   0  15   1   0 
Todd Burns               CTW    sp  24  .252  .284  .376 202  51  10   0   5  21   1   9   0  39   3   3 
Greg Cadaret*            FHK    mr  26  .224  .328  .333 156  35   6   1   3  13   1  23   1  44   2   0 
John Candelaria*         SUN    sp  34  .305  .321  .470 387 118  23   4  11  44   0  10   1  59   1   2 
Tom Candiotti            CIN    sp  30  .309  .356  .470 317  98  13   1  12  43   8  16   0  61   8   2 
Don Carman*              CCC    sp  28  .343  .400  .583 108  37   8   0   6  18   2   9   1  13   0   1 
Cris Carpenter           NEE    sp  23  .309  .319  .409 110  34   5   0   2  20   2   0   0  19   0   1 
Chuck Cary*              NEE    mr  28  .129  .156  .323  31   4   0   0   2   4   0   1   0  10   0   0 
Tony Castillo*           CTW    mr  25  .262  .262  .357  42  11   1   0   1   1   0   0   0  11   1   0 
John Cerutti*            MAR    mr  28  .298  .350  .515 295  88  14   4  14  44   3  22   6  27   1   3 
Norm Charlton*           CIN    sp  25  .314  .366  .450 169  53  11   0   4  19   1  13   4  20   2   0 
Jim Clancy               NEE    sp  32  .310  .323  .483  29   9   2   0   1   4   1   0   0   7   0   1 
Mark Clear               TEW    mr  32  .213  .284  .377  61  13   1   0   3   5   0   6   0  13   1   0 
Roger Clemens            NFG    sp  25  .205  .238  .376 346  71  10   2  15  36   1  15   0 117   2   4 
Stew Cliburn             BAR    mr  31  .067  .125  .133  15   1   1   0   0   0   0   1   0   3   0   0 
Keith Comstock*          BAR    mr  32  .250  .313  .536  28   7   2   0   2   5   0   3   0  12   0   1 
David Cone               SUN    sp  25  .231  .290  .383 308  71  12   1  11  34   5  21   0  92   5   1 
Dennis Cook*             FHK    sp  25  .086  .179  .103  58   5   1   0   0   4   1   6   0  15   0   2 
Sherman Corbett*         BMB    mr  25  .348  .425  .487 115  40  10   0   2  18   0  17   1  15   3   2 
Jim Corsi                ES?    mr  26  .383  .420  .404  47  18   1   0   0   4   0   3   1   4   0   0 
John Costello            EVN    mr  27  .202  .280  .317 104  21   0   0   4  12   1  11   0  38   0   2 
Danny Cox                NEE    sp  28  .219  .250  .320 169  37   5   0   4  22   1   7   0  47   1   3 
Tim Crews                GBP    mr  27  .234  .282  .303 145  34   5   1   1  15   4   6   3  35   1   1 
Chuck Crim               MAR    mr  26  .247  .279  .376 170  42   8   1   4  14   2   6   0  32   1   1 
Ron Darling              FHK    sp  27  .210  .249  .376 343  72  15   3  12  34   2  16   0  69   4   1 
Danny Darwin             NEE    mr  32  .283  .322  .495 283  80  14   2  14  36   4  13   0  59   2   1 
Mark Davis*              CEN    cl  27  .199  .262  .294 211  42   4   2   4  22   0  19   0  51   1   3 
Ron Davis                CIN    mr  32  .000  .000  .000   4   0   0   0   0   0   0   0   0   1   0   0 
Storm Davis              RYK    sp  26  .282  .348  .432 259  73  11   2   8  39   0  27   1  42   5   1 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       -------------------Versus Right-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Ken Dayley*              EVN    mr  29  .230  .258  .309 152  35   9   0   1   9   0   6   3  21   2   1 
Jose DeJesus             CEN    sp  23  .263  .391  .526  19   5   3   1   0   3   0   4   0   3   1   0 
Jose DeLeon              ES?    sp  27  .248  .304  .332 343  85  12   1   5  38   0  28   0 112   5   1 
Jim Deshaies*            FHK    sp  28  .225  .275  .390 608 137  30   5  20  61   3  41   0  91   5   6 
Rob Dibble               ES?    mr  24  .217  .257  .377 106  23   5   0   4  12   1   5   0  31   1   1 
Frank DiPino*            NFG    mr  31  .359  .408  .446 184  66  10   0   2  25   0  16   5  23   1   1 
John Dopson              FER    sp  24  .218  .301  .337 193  42   8   0   5  18   2  22   1  35   7   2 
Rich Dotson              GBP    sp  29  .219  .314  .301  73  16   3   0   1   9   1  10   0  13   2   2 
Kelly Downs              FHK    sp  27  .283  .323  .385 314  89  21   1   3  32   6  14   0  59   8   3 
Doug Drabek              TEW    sp  25  .280  .326  .442 389 109  18   6  11  47   7  22   1  49   2   5 
Dave Dravecky*           FHK    sp  32  .274  .314  .400  95  26   1   1   3  14   0   7   4   7   2   3 
Mike Dunne               BMB    sp  25  .297  .396  .407  91  27   1   0   3  19   0  15   0  10   1   0 
Gary Eave                BBG    mr  24  .500  .643 1.500  10   5   1   0   3   6   0   4   0   0   0   0 
Dennis Eckersley         NFG    cl  33  .191  .222  .277  94  18   2   0   2   8   1   3   0  30   1   1 
Juan Eichelberger        RYK    mr  34  .270  .321  .514  74  20   3   0   5  12   1   5   0   3   2   1 
Mark Eichhorn            CCC    mr  27  .205  .272  .301 156  32   2   2   3  15   7   8   2  26   3   2 
Steve Farr               GBP    cl  31  .146  .178  .292 130  19   3   2   4  12   0   5   0  30   0   0 
John Farrell             NFG    sp  25  .212  .262  .340 288  61   6   2   9  32   4  16   0  40   3   1 
Sid Fernandez*           CIN    sp  25  .212  .284  .383 538 114  20   6  20  57   2  54   0 138   5   5 
Chuck Finley*            NEE    sp  25  .246  .309  .383 637 157  16   7  19  74   2  58   1  85   9   6 
Mike Flanagan*           CCC    sp  36  .308  .363  .480 510 157  35   1  17  77   3  45   3  57   7   6 
Tony Fossas*             BAR    mr  30  .289  .304  .578  45  13   7   0   2   7   0   1   0   1   0   0 
John Franco*             SUN    cl  27  .250  .311  .292 216  54   3   0   2  10   0  19   1  27   2   0 
Willie Fraser            BMB    sp  24  .243  .314  .353 346  84  16   2   6  30   4  32   1  54   8   0 
Marvin Freeman           BMB    sp  25  .263  .331  .373 118  31   4   0   3  16   0  13   1  29   3   2 
Todd Frohwirth           BAR    mr  25  .235  .278  .471  17   4   1   0   1   4   0   1   1   6   0   0 
Gene Garber              TEW    cl  40  .246  .323  .246  57  14   0   0   0   3   0   7   0  10   1   1 
Wes Gardner              CEN    sp  27  .197  .258  .329 173  34   5   0   6  20   2  13   0  36   2   2 
Scott Garrelts           BBG    mr  26  .247  .289  .313 182  45   7   1   1  12   1  10   0  41   2   1 
Paul Gibson*             BAR    mr  28  .225  .283  .321 218  49  10   1   3  24   2  17   4  32   2   3 
Tom Glavine*             CCC    sp  22  .264  .314  .391 568 150  26   2  14  60   5  37   3  56   3   1 
Jerry Gleaton*           FER    mr  30  .244  .337  .372  86  21   4   2   1   9   1  11   5  17   1   0 
German Gonzalez          TEW    mr  26  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Dwight Gooden            FHK    sp  23  .248  .283  .321 443 110  14   0   6  32   5  17   0  75   5   2 
Don Gordon               NEE    mr  28  .309  .356  .509  55  17   3   1   2   8   3   1   0   5   1   0 
Tom Gordon               FER    mr  20  .476  .522  .667  21  10   1   0   1   4   0   2   1   5   3   0 
Goose Gossage            BMB    cl  36  .261  .331  .378 111  29   8   1   1  10   8   4   2  25   3   1 
Jim Gott                 BMB    cl  28  .301  .329  .432 146  44   8   1   3  21   1   6   2  38   1   2 
Jeff Gray                BMB    mr  25  .174  .200  .304  23   4   0   0   1   3   0   1   0   8   1   1 
Kevin Gross              TEW    sp  27  .311  .367  .435 177  55   5   1   5  30   7  11   0  36   7   4 
Cecilio Guante           CIN    mr  28  .245  .276  .504 139  34   8   5   6  20   2   4   1  33   1   0 
Mark Gubicza             BBG    sp  25  .201  .259  .327 373  75  14   3   9  31   1  29   0  85   1   2 
Lee Guetterman*          BMB    mr  29  .386  .448  .517 145  56   9   2   2  18   3  14   3  12   1   1 
Ron Guidry*              CIN    sp  37  .200  .255  .316  95  19  11   0   0   6   2   5   2  14   0   0 
Jose Guzman              FER    sp  25  .263  .333  .439 285  75  17   3   9  37   1  29   1  70   1   0 
John Habyan              CCC    mr  24  .276  .382  .345  29   8   2   0   0   1   0   5   1   1   0   0 
Drew Hall*               FER    mr  25  .268  .289  .493  71  19   4   3   2  12   0   3   2   9   0   2 
Atlee Hammaker*          BAR    mr  30  .261  .316  .395 306  80  17   3   6  35   0  26   3  30   5   3 
Erik Hanson              NEE    sp  23  .164  .209  .279  61  10   7   0   0   5   0   4   0  21   3   2 
Mike Harkey              GBP    sp  21  .167  .250  .381  42   7   2   2   1   5   0   5   0  10   1   1 
Pete Harnisch            CCC    sp  21  .357  .400  .464  28  10   0   0   1   3   0   2   0   2   0   0 
Greg Harris              MAR    mr  32  .255  .333  .411 192  49   1   1   9  29   4  19   0  44   0   1 
Greg W. Harris           FHK    mr  24  .121  .211  .303  33   4   0   0   2   5   0   4   0  15   0   1 
Bryan Harvey             TEW    cl  25  .275  .314  .356 160  44   4   0   3  15   2   7   0  31   0   0 
Andy Hawkins             SUN    sp  28  .214  .269  .317 145  31   4   1   3  15   0  11   1  15   0   0 
Neal Heaton*             FER    mr  28  .271  .350  .458 310  84  19   3  11  42   2  36   6  38   3   1 
Don Heinkel              BAR    mr  28  .282  .347  .471  85  24   7   0   3   8   1   8   2  21   2   1 
Tom Henke                SUN    cl  30  .203  .265  .346 133  27   5   1   4  16   2  10   0  39   0   2 
Mike Henneman            CTW    cl  26  .221  .230  .357 199  44   4   1   7  28   0   3   0  39   1   2 
Dwayne Henry             CCC    mr  26  .429  .520  .571  21   9   0   0   1   2   2   2   0   3   1   0 
Willie Hernandez*        FHK    mr  33  .195  .266  .381 113  22   6   0   5  15   1  10   0  28   4   0 
Orel Hershiser           BBG    sp  29  .208  .243  .278 472  98  13   4   4  30   5  18   0 124   3   3 
Joe Hesketh*             CIN    mr  29  .258  .281  .323  31   8   2   0   0   0   0   1   0   5   0   0 
Teddy Higuera*           CIN    sp  29  .231  .269  .343 680 157  32   4  12  50   7  30   0 137   3   3 
Ken Hill                 BMB    mr  22  .556  .667  .778  18  10   4   0   0   8   0   6   0   2   1   0 
Shawn Hillegas           RYK    sp  23  .259  .298  .389 193  50   6   2   5  19   7   4   0  32   2   1 
Brian Holman             FHK    sp  23  .257  .295  .345 148  38   4   0   3  14   0   8   0  25   4   0 
Brian Holton             BBG    mr  28  .235  .254  .346 179  42   8   0   4  20   0   5   0  40   2   1 
Rick Honeycutt*          EVN    mr  34  .298  .364  .426 188  56  13   1   3  23   0  20   3  23   2   1 
Ricky Horton*            GBP    mr  28  .391  .451  .578  64  25   6   0   2  13   0   7   2   3   0   0 
Charlie Hough            CTW    sp  40  .266  .355  .433 282  75  14   3   9  42   4  36   0  54   1   2 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       -------------------Versus Right-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Jay Howell               MAR    cl  32  .220  .278  .244  82  18   2   0   0   5   0   7   0  24   0   1 
Jay Howell               FER    cl  32  .204  .310  .286  49  10   1   0   1   4   1   7   1  16   0   1 
Jay Howell                      cl  32  .214  .291  .260 131  28   3   0   1   9   1  14   1  40   0   2 
Ken Howell               ES?    mr  27  .250  .308  .333  36   9   1   1   0   3   0   3   0  14   0   0 
Mark Huismann            BAR    mr  30  .143  .143  .143   7   1   0   0   0   1   0   0   0   3   0   0 
Bruce Hurst*             MAR    sp  30  .247  .294  .358 741 183  25   3  17  57   2  49   4 144  11   3 
Jeff Innis               SUN    mr  25  .289  .325  .368  38  11   0   0   1   4   2   0   0   9   0   0 
Danny Jackson*           CEN    sp  26  .208  .271  .323 783 163  37   4  15  80   4  64   6 138   3   1 
Mike Jackson             CIN    mr  23  .195  .257  .254 169  33   4   0   2  17   2  13   0  53   1   3 
Mike Jeffcoat*           NEE    mr  28  .405  .409  .452  42  17   0   1   0   4   0   1   0   3   1   1 
German Jimenez*          NEE    sp  25  .462  .463  .692  39  18   3   0   2   7   0   1   0   0   1   1 
Tommy John*              FER    sp  45  .260  .312  .336 146  38  11   0   0  13   1  10   4  13   1   0 
Randy Johnson*           BMB    sp  24  .342  .381  .532  79  27   7   1   2   6   0   5   0  16   0   0 
Barry Jones              GBP    mr  25  .248  .285  .358 137  34   4   1   3  12   1   6   0  37   1   0 
Doug Jones               FHK    cl  31  .264  .301  .287 129  34   1   1   0   6   3   4   0  22   0   0 
Jimmy Jones              RYK    sp  24  .315  .358  .436 330 104  18   5   4  42   5  18   0  42   2   2 
Odell Jones              BBG    mr  35  .333  .367  .370  27   9   1   0   0   6   0   2   0   3   2   1 
Jimmy Key*               NEE    sp  27  .257  .296  .422 436 112  21   3  15  44   5  20   1  54   2   2 
Paul Kilgus*             FER    sp  26  .250  .300  .446 240  60  14   3   9  22   3  14   2  18   1   0 
Eric King                BAR    mr  24  .271  .352  .375 144  39  12   0   1  15   4  14   1  28   2   0 
Bob Kipper*              ES?    mr  23  .297  .371  .459 148  44   9   0   5  21   1  17   0  25   1   1 
Bob Knepper*             MAR    sp  34  .261  .325  .386 264  69  14   2   5  32   0  25   1  43   4   0 
Mark Knudson             FER    mr  27  .393  .414  .786  28  11   1   2   2   8   0   1   0   3   0   0 
Bill Krueger*            CCC    sp  30  .625  .727 1.000   8   5   0   0   1   3   0   3   1   0   0   0 
Mike Krukow              EVN    sp  36  .179  .215  .285 123  22   4   0   3  10   2   4   0  18   5   1 
Mike LaCoss              GBP    sp  32  .256  .310  .401 172  44   5   1   6  21   0  14   0  19   3   1 
Dennis Lamp              ES?    mr  35  .221  .267  .314 140  31   5   1   2  10   1   8   1  25   4   1 
Lester Lancaster         ES?    mr  26  .303  .370  .417 132  40   7   1   2  15   3  11   1  22   2   0 
Bill Landrum             ES?    mr  30  .594  .606 1.188  32  19   1   9   0  13   0   1   0   0   1   0 
Mark Langston*           ES?    sp  27  .257  .320  .427 738 190  33   7  26  89   2  69   2 188  10   6 
Dave LaPoint*            CTW    sp  28  .267  .311  .383 658 176  25   3  15  67   1  42   0  92   4   3 
Bill Laskey              NEE    mr  30  .268  .339  .339  56  15   2   1   0   5   1   5   0  10   0   0 
Charlie Lea              CCC    sp  31  .216  .250  .371  97  21   3   0   4  13   0   5   0  21   3   2 
Terry Leach              SUN    mr  34  .214  .255  .250 140  30   5   0   0   8   0   8   0  25   1   1 
Tim Leary                CCC    sp  29  .250  .294  .438  16   4   0   0   1   2   0   1   0   0   0   0 
Tim Leary                CIN    sp  29  .242  .274  .374  91  22   3   0   3   8   1   3   0  16   1   0 
Tim Leary                       sp  29  .243  .277  .383 107  26   3   0   4  10   1   4   0  16   1   0 
Mark Lee*                GBP    mr  23  .333  .417  .667   9   3   1   1   0   1   0   2   1   0   0   1 
Craig Lefferts*          BBG    mr  30  .237  .292  .372 207  49   7   3   5  14   1  16   1  29   1   2 
Charlie Leibrandt*       GBP    sp  31  .267  .308  .429 708 189  30   5  25  94   5  40   3 101   8   6 
Dave Leiper*             BAR    mr  26  .264  .308  .338 148  39   4   2   1  14   0  10   2  28   2   1 
Al Leiter*               SUN    sp  22  .285  .364  .527 186  53  10   1  11  29   5  18   1  51   2   0 
Bill Long                FER    mr  28  .254  .269  .390 205  52   7   3   5  26   0   5   0  24   2   2 
Greg Maddux              BMB    sp  22  .286  .323  .397 433 124  22   1   8  50   4  21   0  64   2   4 
Mike Maddux              CCC    mr  26  .278  .337  .349 169  47   6   0   2  20   5  10   1  39   6   0 
Alex Madrid              SUN    mr  25  .200  .200  .200  35   7   0   0   0   5   0   0   0   0   0   0 
Joe Magrane*             CTW    sp  23  .219  .276  .322 360  79  11   1   8  39   1  28   0  46   3   3 
Joe Magrane*             EVN    sp  23  .237  .333  .322 152  36   2   1   3  19   0  22   2  14   3   0 
Joe Magrane*                    sp  23  .225  .293  .322 512 115  13   2  11  58   1  50   2  60   6   3 
Rick Mahler              RYK    sp  34  .335  .364  .516 364 122  32   2  10  44   5  13   1  52   6   3 
Dennis Martinez          NEE    sp  33  .249  .290  .408 358  89  16   1  13  52   5  17   1  58   7   3 
Ramon Martinez           SUN    sp  20  .090  .127  .134  67   6   1   1   0   3   0   3   0  10   0   1 
Greg Mathews*            RYK    sp  26  .203  .290  .309 123  25   5   1   2  15   0  15   0  22   4   0 
Tom McCarthy             CEN    mr  27  .176  .318  .176  17   3   0   0   0   3   2   2   1   0   0   1 
Kirk McCaskill           MAR    sp  27  .250  .324  .391  92  23   8   1   1  16   0  10   0  25   3   0 
Kirk McCaskill           ES?    sp  27  .240  .320  .347 150  36   8   1   2  14   1  17   0  34   3   1 
Kirk McCaskill                  sp  27  .244  .321  .364 242  59  16   2   3  30   1  27   0  59   6   1 
Bob McClure*             ES?    mr  36  .333  .414  .647  51  17   7   0   3   8   1   6   1   5   0   0 
Lance McCullers          MAR    mr  24  .293  .388  .543 184  54  11   1  11  39   0  29   2  41   0   1 
Jack McDowell            ES?    sp  22  .236  .309  .335 233  55  13   2   2  31   4  21   0  43   5   1 
Roger McDowell           RYK    cl  27  .208  .242  .233 120  25   3   0   0   7   1   5   0  18   1   2 
Andy McGaffigan          GBP    mr  31  .237  .331  .359 131  31   5   1   3  18   3  16   0  34   4   1 
Craig McMurtry           CEN    mr  28  .207  .253  .304 135  28   6   2   1   9   1   8   0  31   0   2 
Larry McWilliams*        FER    mr  34  .238  .274  .371 105  25   8   0   2  14   0   6   1  15   2   2 
Dave Meads*              SUN    mr  24  .309  .374  .482 110  34   4   0   5  15   0  12   2  18   0   1 
Scott Medvin             BAR    mr  26  .227  .277  .295  44  10   1   1   0   4   0   3   1  10   0   0 
Brian Meyer              GBP    mr  25  .300  .500  .300  10   3   0   0   0   2   0   4   0   4   1   0 
Bob Milacki              SUN    sp  23  .235  .316  .373  51  12   2   1   1   9   0   6   0  10   0   0 
Greg Minton              CEN    mr  36  .185  .247  .247 146  27   3   0   2  11   2  10   0  36   2   0 
Paul Mirabella*          CEN    mr  34  .255  .324  .344 157  40   7   2   1  12   0  17   3  22   2   2 
Dale Mohorcic            NEE    mr  32  .242  .304  .468  62  15   0   1   4  11   3   3   0  10   1   1 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       -------------------Versus Right-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Rich Monteleone          FHK    mr  25  .364  .364  .545  11   4   2   0   0   1   0   0   0   2   0   0 
Jeff Montgomery          BAR    mr  26  .265  .288  .524 147  39   9   1   9  27   0   5   1  36   2   1 
Brad Moore               CTW    mr  24  .200  .273  .200  10   2   0   0   0   1   0   1   0   3   0   0 
Mike Moore               CEN    sp  28  .209  .260  .302 431  90  13   0   9  34   7  23   0 111   5   0 
Mike Morgan              ES?    mr  28  .229  .318  .333  96  22   5   1   1  17   4   9   0  11   2   1 
Jack Morris              TEW    sp  33  .271  .300  .393 402 109  27   2   6  46   5  13   1  66   6   3 
Jamie Moyer*             BAR    sp  25  .249  .294  .378 678 169  27   3  18  59   5  39   1  89   4   2 
Terry Mulholland*        CCC    sp  25  .351  .394  .481 131  46   5   0   4  21   2   8   4   9   3   1 
Rob Murphy*              BBG    mr  28  .240  .342  .323  96  23   3   1   1   9   1  14   0  20   1   0 
Jeff Musselman*          BAR    sp  25  .233  .265  .314 159  37   4   3   1   9   1   7   2  21   3   3 
Randy Myers*             CIN    cl  25  .219  .261  .316 187  41   3   0   5  13   0  11   2  53   0   1 
Gene Nelson              CEN    mr  27  .258  .283  .342 190  49  11   1   1  19   0   7   0  43   4   1 
Rod Nichols              NEE    sp  23  .275  .313  .428 138  38   6   3   3  16   1   7   1  25   0   1 
Juan Nieves*             CEN    sp  23  .160  .219  .286 119  19   6   0   3   7   0   9   0  18   1   0 
Al Nipper                SUN    sp  29  .321  .397  .643  56  18   4   1   4  14   0   7   0   4   2   0 
Ed Nunez                 GBP    mr  25  .243  .301  .365  74  18   3   0   2   8   0   7   1  21   1   2 
Jose Nunez               ES?    mr  24  .167  .250  .333   6   1   1   0   0   1   1   0   0   3   0   1 
Randy O'Neal             RYK    sp  27  .267  .330  .465  86  23   2   0   5  11   2   6   0  11   1   0 
Bobby Ojeda*             TEW    sp  30  .220  .261  .310 478 105  18   2   7  31   0  28   1  70   3   3 
Gregg Olson              CEN    mr  21  .333  .478  .389  18   6   1   0   0   4   0   5   0   6   0   0 
