                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Bob Kipper*              ES?    mr  23  .194  .237  .194  72  14   0   0   0   6   1   3   0  16   0   0 
Bob Knepper*             MAR    sp  34  .246  .295  .386  57  14   6   1   0   7   1   3   0  13   0   0 
Mark Knudson             FER    mr  27  .200  .238  .250  20   4   1   0   0   0   0   1   1   2   0   0 
Bill Krueger*            CCC    sp  30  .400  .400  .400   5   2   0   0   0   0   0   0   0   0   0   0 
Mike Krukow              EVN    sp  36  .244  .301  .405 131  32  10   4   1  12   1  10   1  16   2   1 
Mike LaCoss              GBP    sp  32  .231  .320  .340 156  36   8   0   3  14   0  21   0  35   0   1 
Dennis Lamp              ES?    mr  35  .297  .329  .439 148  44  10   4   1  20   1   7   1  12   2   2 
Lester Lancaster         ES?    mr  26  .333  .371  .488 123  41  14   1   1  23   0   8   0   8   3   1 
Bill Landrum             ES?    mr  30  .233  .226  .267  30   7   1   0   0   5   0   0   0   3   0   1 
Mark Langston*           ES?    sp  27  .194  .237  .269 175  34   8   1   1  12   0  10   0  35   3   1 
Dave LaPoint*            CTW    sp  28  .270  .304  .447 159  43   7   0   7  19   0   8   0  15   1   1 
Bill Laskey              NEE    mr  30  .452  .500  .667  42  19   4   1   1  12   0   4   1   4   0   0 
Charlie Lea              CCC    sp  31  .441  .491  .725 102  45  11   0   6  18   0  12   2  13   0   2 
Terry Leach              SUN    mr  34  .321  .376  .457 140  45  11   1   2  29   0  14   2  12   3   3 
Tim Leary                CCC    sp  29  .400  .500 1.100  10   4   0   2   1   2   0   3   0   3   0   1 
Tim Leary                CIN    sp  29  .259  .299  .367 139  36  10   1   1  14   0   8   0  23   1   0 
Tim Leary                       sp  29  .268  .317  .416 149  40  10   3   2  16   0  11   0  26   1   1 
Mark Lee*                GBP    mr  23  .000  .000  .000   7   0   0   0   0   0   0   0   0   0   0   0 
Craig Lefferts*          BBG    mr  30  .194  .237  .292  72  14   1   0   2   7   0   4   0  17   2   0 
Charlie Leibrandt*       GBP    sp  31  .309  .345  .455 110  34   4   0   4  15   3   4   0   9   1   2 
Dave Leiper*             BAR    mr  26  .286  .343  .444  63  18   2   1   2   7   0   6   0   9   0   1 
Al Leiter*               SUN    sp  22  .429  .556  .429   7   3   0   0   0   0   0   2   0   3   0   0 
Bill Long                FER    mr  28  .355  .428  .550 220  78  11   4   8  30   2  27  10  19   2   1 
Greg Maddux              BMB    sp  22  .258  .331  .353 442 114  20   2   6  41   1  49   0  38   6   3 
Mike Maddux              CCC    mr  26  .358  .448  .472 123  44   8   0   2  21   4  16   3  15   1   0 
Alex Madrid              SUN    mr  25  .250  .356  .417  36   9   3   0   1   7   0   7   0   0   0   2 
Joe Magrane*             CTW    sp  23  .191  .255  .330  94  18   2   1   3   8   2   6   0  18   3   0 
Joe Magrane*             EVN    sp  23  .138  .138  .138  29   4   0   0   0   1   0   0   0   7   0   0 
Joe Magrane*                    sp  23  .179  .229  .285 123  22   2   1   3   9   2   6   0  25   3   0 
Rick Mahler              RYK    sp  34  .259  .278  .338 464 120  20   4   3  43   1  13   0  40   3   4 
Dennis Martinez          NEE    sp  33  .286  .343  .458 395 113  19   5  13  45   1  35   0  46   3   3 
Ramon Martinez           SUN    sp  20  .296  .418  .358  81  24   2   0   1   9   0  17   0  10   1   0 
Greg Mathews*            RYK    sp  26  .193  .292  .281  57  11   5   0   0   5   0   8   0   8   1   0 
Tom McCarthy             CEN    mr  27  .235  .297  .294  34   8   2   0   0   2   0   3   1   3   0   0 
Kirk McCaskill           MAR    sp  27  .250  .327  .318  88  22   3   0   1   7   1  10   2  13   2   2 
Kirk McCaskill           ES?    sp  27  .256  .297  .308 156  40   6   1   0  13   0   9   0  21   4   0 
Kirk McCaskill                  sp  27  .254  .308  .311 244  62   9   1   1  20   1  19   2  34   6   2 
Bob McClure*             ES?    mr  36  .237  .326  .421  38   9   1   3   0   2   1   4   0  11   0   0 
Lance McCullers          MAR    mr  24  .194  .322  .288 191  37  12   0   2  15   0  37   0  43   2   2 
Jack McDowell            ES?    sp  22  .314  .378  .429 261  82  11   2   5  36   0  28   1  36   1   2 
Roger McDowell           RYK    cl  27  .330  .435  .415  94  31   2   3   0  13   0  19   0  10   1   2 
Andy McGaffigan          GBP    mr  31  .208  .335  .285 144  30   4   2   1  12   0  28   0  38   2   1 
Craig McMurtry           CEN    mr  28  .151  .267  .244  86  13   5   0   1   3   2  12   0   8   0   1 
Larry McWilliams*        FER    mr  34  .167  .231  .194  36   6   1   0   0   1   2   1   0   6   0   0 
Dave Meads*              SUN    mr  24  .170  .291  .170  47   8   0   0   0   2   0   8   0   8   1   0 
Scott Medvin             BAR    mr  26  .158  .150  .158  19   3   0   0   0   2   0   0   0   3   0   1 
Brian Meyer              GBP    mr  25  .269  .310  .308  26   7   1   0   0   2   0   2   0   3   0   1 
Bob Milacki              SUN    sp  23  .118  .246  .235  51   6   0   0   2   5   1   8   0  11   2   1 
Greg Minton              CEN    mr  36  .285  .370  .424 158  45   8   1   4  17   2  20   2  16   1   1 
Paul Mirabella*          CEN    mr  34  .269  .329  .343  67  18   1   2   0   9   1   5   0  12   0   0 
Dale Mohorcic            NEE    mr  32  .407  .455  .475  59  24   4   0   0  12   0   6   0   5   1   1 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       --------------------Versus Left-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Rich Monteleone          FHK    mr  25  .714  .778 1.000   7   5   0   1   0   4   2   0   0   0   0   0 
Jeff Montgomery          BAR    mr  26  .217  .308  .357 115  25  10   0   2   9   0  15   0  13   2   0 
Brad Moore               CTW    mr  24  .000  .400  .000   3   0   0   0   0   1   0   2   0   1   0   0 
Mike Moore               CEN    sp  28  .212  .258  .277 466  99  18   0   4  21   2  27   0  89   4   2 
Mike Morgan              ES?    mr  28  .365  .413  .563 126  46  10   3   3  23   0  13   1   7   1   4 
Jack Morris              TEW    sp  33  .271  .325  .346 462 125  15   4   4  35   1  38   0  63   3   4 
Jamie Moyer*             BAR    sp  25  .127  .196  .187 150  19   4   1   1   8   2  11   1  42   3   0 
Terry Mulholland*        CCC    sp  25  .410  .410  .574  61  25   5   1   1   9   0   0   0   7   0   0 
Rob Murphy*              BBG    mr  28  .219  .278  .250  32   7   1   0   0   4   0   3   0  10   0   1 
Jeff Musselman*          BAR    sp  25  .275  .370  .375  40  11   1   0   1   1   0   6   0   7   0   0 
Randy Myers*             CIN    cl  25  .219  .260  .356  73  16   2   1   2   8   0   4   0  18   1   0 
Gene Nelson              CEN    mr  27  .226  .299  .333 159  36   2   3   3  12   0  17   1  21   2   1 
Rod Nichols              NEE    sp  23  .260  .317  .353 150  39   6   1   2  22   0  13   0  10   2   1 
Juan Nieves*             CEN    sp  23  .212  .257  .273  33   7   2   0   0   1   1   1   0   5   0   0 
Al Nipper                SUN    sp  29  .243  .257  .314  70  17   2   0   1   7   0   2   0   5   0   2 
Ed Nunez                 GBP    mr  25  .347  .442  .611  72  25   4   0   5  12   0  13   1   9   1   1 
Jose Nunez               ES?    mr  24  .333  .333  .333   9   3   0   0   0   1   0   0   0   0   0   0 
Randy O'Neal             RYK    sp  27  .152  .160  .238 105  16   4   1   1  10   0   1   0   8   2   0 
Bobby Ojeda*             TEW    sp  30  .148  .193  .250 128  19   6   2   1   5   1   6   0  45   4   0 
Gregg Olson              CEN    mr  21  .200  .310  .240  25   5   1   0   0   2   0   4   0   4   0   0 
Steve Ontiveros          BMB    sp  27  .286  .344  .518 112  32   7   5   3  15   0  11   0  20   0   2 
Jesse Orosco*            ES?    mr  31  .327  .426  .423  52  17   2   0   1   8   0   9   0   8   0   0 
Vincente Palacios        BMB    sp  24  .488  .582  .721  43  21   5   1   1  16   0  11   1   4   0   1 
Donn Pall                MAR    mr  26  .292  .308  .417  24   7   0   0   1   3   1   0   0   3   0   1 
David Palmer             EVN    sp  30  .545  .545  .545  11   6   0   0   0   3   0   0   0   1   1   0 
Jeff Parrett             NFG    mr  26  .133  .212  .150 120  16   2   0   0   5   0  12   0  23   0   0 
Ken Patterson*           CCC    mr  23  .273  .333  .273  22   6   0   0   0   6   0   2   1   1   0   0 
Alejandro Pena           CIN    mr  29  .254  .310  .290 169  43   3   0   1   8   1  13   2  42   1   1 
Hipolito Pena*           CTW    mr  24  .167  .167  .250  12   2   1   0   0   1   0   0   0   3   0   0 
Melido Perez             FER    sp  22  .235  .306  .404 302  71  11   8   8  36   0  32   1  50   3   3 
Pascual Perez            SUN    sp  31  .295  .374  .433 268  79  12   5   5  38   0  35   0  55   1   2 
Pat Perry*               NFG    mr  29  .310  .412  .379  29   9   2   0   0   2   1   4   0   5   2   0 
Jeff Pico                TEW    mr  22  .323  .401  .421 164  53  10   0   2  19   0  22  10  13   2   1 
Dan Plesac*              FER    cl  26  .267  .333  .533  45  12   4   4   0   8   2   3   0   8   0   1 
Eric Plunk               FER    mr  24  .276  .379  .347  98  27   4   0   1  14   0  17   1  30   0   1 
Mark Portugal            NFG    mr  25  .328  .406  .640 125  41   4   1  11  28   0  17   1  15   0   1 
Ted Power                BMB    sp  33  .345  .388  .448 174  60   9   0   3  28   0  13   1  15   5   1 
Joe Price*               RYK    mr  31  .151  .213  .256  86  13   4   1   1   5   0   7   0  23   2   1 
Charlie Puleo            FER    mr  33  .291  .443  .436 110  32  11   1   1  13   1  29  12  19   2   0 
Dan Quisenberry          NFG    mr  35  .359  .384  .449 156  56  14   0   0  24   0   7   3  17   3   1 
Dennis Rasmussen*        MAR    sp  29  .256  .306  .400 125  32   4   1   4  10   2   7   0  29   2   0 
