                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/9/1999   FHK     Anderson,Bri        Promoted to active roster                          Before   
9/9/1999   FHK     Davis,B             Promoted to active roster                          Before   
9/9/1999   FHK     Jefferies           Promoted to active roster                          Before   
9/9/1999   FHK     Pena,Ju             Promoted to active roster                          Before   
9/9/1999   FHK     Sullivan            Promoted to active roster                          Before   
9/9/1999   NNN     Ritchie             Demoted to reserve roster                          Before   
9/9/1999   NNN     Shuey               Activated from disabled list                       Before   
9/9/1999   OKO     Quantrill           Activated from disabled list                       Before   
9/9/1999   OKO     Weathers            Demoted to reserve roster                          Before   
9/8/1999   BBG     Rapp                Demoted to reserve roster                          Before   
9/8/1999   BBG     Rocker              Demoted to reserve roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/8/1999   BBG     Slusarski           Demoted to reserve roster                          Before   
9/8/1999   FFR     Anderson,G          Promoted to active roster                          Before   
9/8/1999   FFR     Branyan             Promoted to active roster                          Before   
9/8/1999   FFR     Castro,R            Promoted to active roster                          Before   
9/8/1999   FFR     Franco,M            Promoted to active roster                          Before   
9/8/1999   FFR     Hunter,T            Promoted to active roster                          Before   
9/8/1999   FFR     Kennedy             Promoted to active roster                          Before   
9/8/1999   FFR     Meadows             Promoted to active roster                          Before   
9/8/1999   FFR     Pierzynski          Promoted to active roster                          Before   
9/8/1999   FFR     Smith,D             Promoted to active roster                          Before   
9/7/1999   BAR     Leiter,M            Promoted to active roster                          Before   
9/7/1999   BAR     Seanez              Demoted to reserve roster                          Before   
9/7/1999   BAR     Timlin              Promoted to active roster                          Before   
9/7/1999   BAR     Wakefield           Promoted to active roster                          Before   
9/7/1999   FDH     Arrojo              Promoted to active roster                          Before   
9/7/1999   FDH     Moyer               Demoted to reserve roster                          Before   
9/7/1999   FFR     Kennedy             Demoted to reserve roster                          Before   
9/7/1999   GAR     Pote                Demoted to reserve roster                          Before   
9/7/1999   RMO     Clemens             Promoted to active roster                          Before   
9/7/1999   RMO     Grudzielanek        Demoted to reserve roster                          Before   
9/5/1999   EVN     Fassero             Promoted to active roster                          Before   
9/5/1999   EVN     Macfarlane          Promoted to active roster                          Before   
9/5/1999   EVN     Mulholland          Activated from disabled list                       Before   
9/5/1999   EVN     Prince              Promoted to active roster                          Before   
9/5/1999   TEW     Buford              Promoted to active roster                          Before   
9/5/1999   TEW     Lidle               Promoted to active roster                          Before   
9/5/1999   TEW     Seguignol           Promoted to active roster                          Before   
9/5/1999   TEW     Spiezio             Promoted to active roster                          Before   
9/5/1999   TEW     Telford             Promoted to active roster                          Before   
9/4/1999   BBG     Buddie              Demoted to reserve roster                          Before   
9/4/1999   FFR     Almanzar            Promoted to active roster                          Before   
9/4/1999   FFR     Blair               Promoted to active roster                          Before   
9/4/1999   FFR     Cloude              Promoted to active roster                          Before   
9/4/1999   FFR     Haney               Promoted to active roster                          Before   
9/4/1999   FFR     Mesa                Demoted to reserve roster                          Before   
9/4/1999   FFR     Navarro             Activated from disabled list                       Before   
9/4/1999   FFR     Tavarez             Demoted to reserve roster                          Before   
9/4/1999   FFR     Wolf                Promoted to active roster                          Before   
9/3/1999   BAR     Cornelius           Activated from disabled list                       Before   
9/3/1999   BAR     Martinez,R          Demoted to reserve roster                          Before   
9/3/1999   FDH     Farnsworth          Demoted to reserve roster                          Before   
9/3/1999   FDH     Mays                Demoted to reserve roster                          Before   
9/3/1999   FDH     Rhodes              Promoted to active roster                          Before   
9/3/1999   FDH     Witt,B              Promoted to active roster                          Before   
9/3/1999   FER     Glover              Demoted to reserve roster                          Before   
9/3/1999   FFR     Baerga              Promoted to active roster                          Before   
9/3/1999   FFR     Hunter,BL           Promoted to active roster                          Before   
9/2/1999   GAR     Magnante            Demoted to reserve roster                          Before   
9/2/1999   NNN     Brown               Promoted to active roster                          Before   
9/2/1999   NNN     Brown,E             Promoted to active roster                          Before   
9/2/1999   NNN     Davis,C             Promoted to active roster                          Before   
9/2/1999   NNN     Greene,C            Promoted to active roster                          Before   
9/2/1999   NNN     Guillen,J           Promoted to active roster                          Before   
9/2/1999   NNN     Helms               Promoted to active roster                          Before   
9/2/1999   NNN     Kingsale            Promoted to active roster                          Before   
9/2/1999   NNN     Mientkiewicz        Promoted to active roster                          Before   
9/2/1999   NNN     Munoz               Promoted to active roster                          Before   
9/2/1999   NNN     Neagle              Promoted to active roster                          Before   
9/2/1999   NNN     Newhan              Promoted to active roster                          Before   
9/2/1999   NNN     Ortiz,D             Promoted to active roster                          Before   
9/2/1999   NNN     Slocumb             Demoted to reserve roster                          Before   
9/1/1999   BAR     Winn                Promoted to active roster                          Before   
9/1/1999   BBG     Bragg               Promoted to active roster                          Before   
9/1/1999   BBG     Buddie              Promoted to active roster                          Before   
9/1/1999   BBG     Collier             Promoted to active roster                          Before   
9/1/1999   BBG     Hill,K              Promoted to active roster                          Before   
9/1/1999   BBG     Hunter,BR           Promoted to active roster                          Before   
9/1/1999   BBG     Johns               Promoted to active roster                          Before   
9/1/1999   BBG     Lankford            Demoted to reserve roster                          Before   
9/1/1999   BBG     Mlicki              Promoted to active roster                          Before   
9/1/1999   BBG     Slusarski           Promoted to active roster                          Before   
9/1/1999   BBG     Snow                Promoted to active roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/1/1999   BBG     Sprague             Promoted to active roster                          Before   
9/1/1999   BBG     Thompson,J          Promoted to active roster                          Before   
9/1/1999   BBG     Wilson,D            Promoted to active roster                          Before   
9/1/1999   BBG     Wright,Jar          Promoted to active roster                          Before   
9/1/1999   CIN     Cairo               Promoted to active roster                          Before   
9/1/1999   CIN     Cruz,Ja             Promoted to active roster                          Before   
9/1/1999   CIN     Davis,E             Promoted to active roster                          Before   
9/1/1999   CIN     Figga               Promoted to active roster                          Before   
9/1/1999   CIN     Giambi,Je           Promoted to active roster                          Before   
9/1/1999   CIN     Goodwin,T           Promoted to active roster                          Before   
9/1/1999   CIN     Guthrie             Promoted to active roster                          Before   
9/1/1999   CIN     Heredia,F           Promoted to active roster                          Before   
9/1/1999   CIN     Padilla             Promoted to active roster                          Before   
9/1/1999   CIN     Perez,O             Promoted to active roster                          Before   
9/1/1999   CIN     Perry               Promoted to active roster                          Before   
9/1/1999   CIN     Ryan,BJ             Promoted to active roster                          Before   
9/1/1999   CIN     Stinnett            Promoted to active roster                          Before   
9/1/1999   CIN     Ward,D              Promoted to active roster                          Before   
9/1/1999   CIN     Wells,V             Promoted to active roster                          Before   
9/1/1999   CTW     Battle              Promoted to active roster                          Before   
9/1/1999   CTW     Buhner              Promoted to active roster                          Before   
9/1/1999   CTW     Canizaro            Demoted to reserve roster                          Before   
9/1/1999   CTW     Canizaro            Promoted to active roster                          Before   
9/1/1999   CTW     Durazo              Promoted to active roster                          Before   
9/1/1999   CTW     Gonzalez,AS         Promoted to active roster                          Before   
9/1/1999   CTW     Howard,T            Promoted to active roster                          Before   
9/1/1999   CTW     Johnson,B           Promoted to active roster                          Before   
9/1/1999   CTW     LaRue               Promoted to active roster                          Before   
9/1/1999   CTW     Luke                Promoted to active roster                          Before   
9/1/1999   CTW     McElroy             Promoted to active roster                          Before   
9/1/1999   CTW     McGlinchy           Promoted to active roster                          Before   
9/1/1999   CTW     Montgomery,S        Promoted to active roster                          Before   
9/1/1999   CTW     Orie                Promoted to active roster                          Before   
9/1/1999   CTW     Pratt               Promoted to active roster                          Before   
9/1/1999   CTW     Strawberry          Promoted to active roster                          Before   
9/1/1999   CTW     Thompson,M          Promoted to active roster                          Before   
9/1/1999   FDH     Helton              Promoted to active roster                          Before   
9/1/1999   FDH     Kline               Demoted to reserve roster                          Before   
9/1/1999   FDH     Koskie              Promoted to active roster                          Before   
9/1/1999   FDH     Witt,B              Demoted to reserve roster                          Before   
9/1/1999   FER     Biggio              Demoted to reserve roster                          Before   
9/1/1999   FER     Bonds               Demoted to reserve roster                          Before   
9/1/1999   FER     Brower              Promoted to active roster                          Before   
9/1/1999   FER     Brown,A             Promoted to active roster                          Before   
9/1/1999   FER     DeRosa              Promoted to active roster                          Before   
9/1/1999   FER     Diaz,Ei             Promoted to active roster                          Before   
9/1/1999   FER     Echevarria          Promoted to active roster                          Before   
9/1/1999   FER     Florie              Promoted to active roster                          Before   
9/1/1999   FER     Glover              Promoted to active roster                          Before   
9/1/1999   FER     Graves              Demoted to reserve roster                          Before   
9/1/1999   FER     Grebeck             Demoted to reserve roster                          Before   
9/1/1999   FER     Groom               Promoted to active roster                          Before   
9/1/1999   FER     Guillen,C           Promoted to active roster                          Before   
9/1/1999   FER     Hiljus              Promoted to active roster                          Before   
9/1/1999   FER     Hill,G              Promoted to active roster                          Before   
9/1/1999   FER     Jaha                Demoted to reserve roster                          Before   
9/1/1999   FER     Leskanic            Promoted to active roster                          Before   
9/1/1999   FER     Merloni             Promoted to active roster                          Before   
9/1/1999   FER     Painter             Promoted to active roster                          Before   
9/1/1999   FER     Reichert            Promoted to active roster                          Before   
9/1/1999   FER     Schoeneweis         Promoted to active roster                          Before   
9/1/1999   FER     Taylor              Promoted to active roster                          Before   
9/1/1999   FER     Wagner,B            Demoted to reserve roster                          Before   
9/1/1999   FLL     Hansen,D            Promoted to active roster                          Before   
9/1/1999   GAR     Abbott,P            Promoted to active roster                          Before   
9/1/1999   GAR     Almanza             Promoted to active roster                          Before   
9/1/1999   GAR     DaVanon             Promoted to active roster                          Before   
9/1/1999   GAR     Hammonds            Promoted to active roster                          Before   
9/1/1999   GAR     Nilsson             Promoted to active roster                          Before   
9/1/1999   GAR     Orosco              Promoted to active roster                          Before   
9/1/1999   GAR     Paniagua            Promoted to active roster                          Before   
9/1/1999   GAR     Paquette            Promoted to active roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/1/1999   GAR     Swindell            Promoted to active roster                          Before   
9/1/1999   MCL     Brantley            Promoted to active roster                          Before   
9/1/1999   MCL     Dalesandro          Promoted to active roster                          Before   
9/1/1999   MCL     Ducey               Promoted to active roster                          Before   
9/1/1999   MCL     Fasano              Promoted to active roster                          Before   
9/1/1999   MCL     Fox,A               Promoted to active roster                          Before   
9/1/1999   MCL     Greene,T            Promoted to active roster                          Before   
9/1/1999   MCL     Howard,D            Promoted to active roster                          Before   
9/1/1999   MCL     Johnson,Ru          Promoted to active roster                          Before   
9/1/1999   MCL     Norton              Promoted to active roster                          Before   
9/1/1999   MCL     Olson               Promoted to active roster                          Before   
9/1/1999   MCL     Peterson            Promoted to active roster                          Before   
9/1/1999   MCL     Radinsky            Promoted to active roster                          Before   
9/1/1999   MCL     Schrenk             Promoted to active roster                          Before   
9/1/1999   MCL     Silva               Promoted to active roster                          Before   
9/1/1999   MCL     Whisenant           Promoted to active roster                          Before   
9/1/1999   NEP     Chen                Promoted to active roster                          Before   
9/1/1999   NEP     Urbina              Demoted to reserve roster                          Before   
9/1/1999   OKO     Fyhrie              Promoted to active roster                          Before   
9/1/1999   OKO     Kim                 Promoted to active roster                          Before   
9/1/1999   OKO     Ogea                Activated from disabled list                       Before   
9/1/1999   OKO     Ojala               Promoted to active roster                          Before   
9/1/1999   OKO     Riske               Promoted to active roster                          Before   
8/31/1999  FFR     Castro,R            Demoted to reserve roster                          Before   
8/31/1999  FFR     Holtz               Promoted to active roster                          Before   
8/30/1999  CEN     Christiansen        Promoted to active roster                          Before   
8/30/1999  CEN     Cordova,F           Activated from disabled list                       Before   
8/30/1999  CEN     Eusebio             Activated from disabled list                       Before   
8/30/1999  CEN     Guzman,J            Demoted to reserve roster                          Before   
8/30/1999  CEN     Magadan             Demoted to reserve roster                          Before   
8/30/1999  CEN     Myers,G             Demoted to reserve roster                          Before   
8/30/1999  CEN     Simon               Promoted to active roster                          Before   
8/30/1999  CEN     Wells,B             Demoted to reserve roster                          Before   
8/30/1999  MCL     Byrd                Activated from disabled list                       Before   
8/30/1999  MCL     Schrenk             Demoted to reserve roster                          Before   
8/30/1999  TEW     Croushore           Promoted to active roster                          Before   
8/30/1999  TEW     Mantei              Demoted to reserve roster                          Before   
8/30/1999  TEW     Schmidt             Demoted to reserve roster                          Before   
8/30/1999  TEW     Thurman             Promoted to active roster                          Before   
8/29/1999  BAR     Anderson,Bra        Activated from disabled list                       Before   
8/29/1999  BAR     Frias               Promoted to active roster                          Before   
8/29/1999  BAR     Jones,J             Demoted to reserve roster                          Before   
8/29/1999  BAR     McLemore            Demoted to reserve roster                          Before   
8/29/1999  FLL     Glavine             Promoted to active roster                          Before   
8/29/1999  FLL     Ramsay              Demoted to reserve roster                          Before   
8/29/1999  RMO     Pose                Promoted to active roster                          Before   
8/29/1999  RMO     Santiago,J          Demoted to reserve roster                          Before   
8/28/1999  EVN     Amaral              Demoted to reserve roster                          Before   
8/28/1999  EVN     Johnson,Ma          Promoted to active roster                          Before   
8/28/1999  GAR     Garces              Demoted to reserve roster                          Before   
8/28/1999  GAR     Pote                Promoted to active roster                          Before   
8/27/1999  CIN     Barker,G            Promoted to active roster                          Before   
8/27/1999  CIN     Stinnett            Demoted to reserve roster                          Before   
8/27/1999  FHK     Blauser             Promoted to active roster                          Before   
8/27/1999  FHK     Cox,S               Demoted to reserve roster                          Before   
8/27/1999  RMO     Carpenter           Demoted to reserve roster                          Before   
8/27/1999  RMO     Womack              Promoted to active roster                          Before   
8/27/1999  TEW     Clement             Demoted to reserve roster                          Before   
8/27/1999  TEW     Pavano              Promoted to active roster                          Before   
8/25/1999  FER     Speier              Promoted to active roster                          Before   
8/25/1999  FER     Wells,K             Placed on disabled list                 8/22/1999  Before   
8/25/1999  FFR     Haney               Demoted to reserve roster                          Before   
8/25/1999  FFR     Harris,L            Promoted to active roster                          Before   
8/25/1999  FFR     Hunter,T            Demoted to reserve roster                          Before   
8/25/1999  FFR     Lilly               Activated from disabled list                       Before   
8/25/1999  GAR     Olivares            Demoted to reserve roster                          Before   
8/25/1999  GAR     Sirotka             Activated from disabled list                       Before   
8/25/1999  MCL     Jackson,Dar         Promoted to active roster                          Before   
8/25/1999  MCL     Johnson,Ru          Demoted to reserve roster                          Before   
8/25/1999  NEP     Nen                 Demoted to reserve roster                          Before   
8/25/1999  NEP     Ortiz,Ra            Promoted to active roster                          Before   
8/25/1999  RMO     Plunk               Promoted to active roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
8/25/1999  RMO     Williamson          Demoted to reserve roster                          Before   
8/24/1999  CTW     Loaiza              Promoted to active roster                          Before   
8/24/1999  CTW     McGlinchy           Demoted to reserve roster                          Before   
8/23/1999  BBG     Sprague             Demoted to reserve roster                          Before   
8/23/1999  BBG     Tatis               Activated from disabled list                       Before   
8/23/1999  FLL     Glavine             Demoted to reserve roster                          Before   
8/23/1999  FLL     Lincoln             Promoted to active roster                          Before   
8/23/1999  RMO     Colon               Demoted to reserve roster                          Before   
8/23/1999  RMO     Osborne             Promoted to active roster                          Before   
8/22/1999  BBG     Cedeno,R            Promoted to active roster                          Before   
8/22/1999  BBG     Perez,Edu           Demoted to reserve roster                          Before   
8/22/1999  CIN     Cordero,F           Demoted to reserve roster                          Before   
8/22/1999  CIN     Mota                Promoted to active roster                          Before   
8/22/1999  NNN     Percival            Promoted to active roster                          Before   
8/22/1999  NNN     Shuey               Placed on disabled list                 8/19/1999  Before   
8/21/1999  CIN     Barker,G            Demoted to reserve roster                          Before   
8/21/1999  CIN     Stinnett            Promoted to active roster                          Before   
8/21/1999  GAR     Garces              Promoted to active roster                          Before   
8/21/1999  GAR     Hammonds            Demoted to reserve roster                          Before   
8/21/1999  GAR     Nilsson             Demoted to reserve roster                          Before   
8/21/1999  GAR     Petrick             Promoted to active roster                          Before   
8/21/1999  GAR     Ripken              Activated from disabled list                       Before   
8/21/1999  GAR     Swindell            Demoted to reserve roster                          Before   
8/21/1999  RMO     Isringhausen        Demoted to reserve roster                          Before   
8/21/1999  RMO     Santiago,J          Promoted to active roster                          Before   
8/20/1999  CTW     Dellucci            Promoted to active roster                          Before   
8/20/1999  CTW     Strawberry          Demoted to reserve roster                          Before   
8/20/1999  EVN     Aven                Promoted to active roster                          Before   
8/20/1999  EVN     Lawton              Placed on disabled list                 8/19/1999  Before   
8/20/1999  FDH     Floyd               Promoted to active roster                          Before   
8/20/1999  FDH     Manzanillo          Demoted to reserve roster                          Before   
8/20/1999  FFR     Marrero             Activated from disabled list                       Before   
8/20/1999  FFR     Sweeney,Ma          Demoted to reserve roster                          Before   
8/20/1999  FHK     Davis,B             Demoted to reserve roster                          Before   
8/20/1999  FHK     Justice             Demoted to reserve roster                          Before   
8/20/1999  FHK     Lansing             Promoted to active roster                          Before   
8/20/1999  FHK     Miller,D            Activated from disabled list                       Before   
8/19/1999  BAR     Martinez,R          Promoted to active roster                          Before   
8/19/1999  BAR     Wakefield           Demoted to reserve roster                          Before   
8/19/1999  DLM     Aguilera            Demoted to reserve roster                          Before   
8/19/1999  DLM     Martin,T            Promoted to active roster                          Before   
8/19/1999  FLL     Hansen,D            Demoted to reserve roster                          Before   
8/19/1999  FLL     Kile                Activated from disabled list                       Before   
8/18/1999  CTW     Castillo,A          Promoted to active roster                          Before   
8/18/1999  CTW     Spehr               Demoted to reserve roster                          Before   
8/17/1999  FER     Becker              Promoted to active roster                          Before   
8/17/1999  FER     Brown,A             Demoted to reserve roster                          Before   
8/17/1999  FER     Hill,G              Demoted to reserve roster                          Before   
8/17/1999  FER     Meche               Promoted to active roster                          Before   
8/17/1999  FER     Mieske              Promoted to active roster                          Before   
8/17/1999  FER     Reichert            Demoted to reserve roster                          Before   
8/17/1999  FER     Speier              Demoted to reserve roster                          Before   
8/17/1999  FER     Wells,K             Promoted to active roster                          Before   
8/15/1999  CIN     Barker,G            Promoted to active roster                          Before   
8/15/1999  GAR     Hammonds            Promoted to active roster                          Before   
8/15/1999  GAR     Magnante            Promoted to active roster                          Before   
8/15/1999  GAR     Paniagua            Demoted to reserve roster                          Before   
8/15/1999  GAR     Paquette            Demoted to reserve roster                          Before   
8/14/1999  BAR     Crabtree            Promoted to active roster                          Before   
8/14/1999  BAR     Dipoto              Demoted to reserve roster                          Before   
8/14/1999  BAR     Seanez              Promoted to active roster                          Before   
8/14/1999  BAR     Timlin              Demoted to reserve roster                          Before   
8/14/1999  BAR     Timlin              Promoted to active roster                          Before   
8/14/1999  CIN     Garcia,M            Demoted to reserve roster                          Before   
8/14/1999  GAR     Harnisch            Demoted to reserve roster                          Before   
8/14/1999  GAR     Olivares            Promoted to active roster                          Before   
8/14/1999  MCL     Byrd                Placed on disabled list                 8/14/1999  Before   
8/14/1999  MCL     Schrenk             Promoted to active roster                          Before   
8/13/1999  BAR     Cabrera,Jos         Demoted to reserve roster                          Before   
8/13/1999  CEN     Cora                Demoted to reserve roster                          Before   
8/13/1999  CEN     Magadan             Promoted to active roster                          Before   
8/13/1999  CTW     Boehringer          Promoted to active roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
8/13/1999  CTW     Loaiza              Demoted to reserve roster                          Before   
8/13/1999  FER     Alvarez,W           Promoted to active roster                          Before   
8/13/1999  FER     Benson              Placed on disabled list                 8/13/1999  Before   
8/13/1999  FFR     Almanzar            Demoted to reserve roster                          Before   
8/13/1999  FFR     Anderson,G          Demoted to reserve roster                          Before   
8/13/1999  FFR     Dotel               Activated from disabled list                       Before   
8/13/1999  FFR     Drew                Activated from disabled list                       Before   
8/13/1999  FFR     Holmes              Activated from disabled list                       Before   
8/13/1999  FFR     Holtz               Demoted to reserve roster                          Before   
8/13/1999  FFR     Navarro             Placed on disabled list                 8/13/1999  Before   
8/13/1999  FFR     Pettitte            Activated from disabled list                       Before   
8/13/1999  FFR     Tavarez             Promoted to active roster                          Before   
8/13/1999  FFR     Wohlers             Demoted to reserve roster                          Before   
8/13/1999  RMO     Anderson,Mat        Promoted to active roster                          Before   
8/13/1999  RMO     Clemens             Demoted to reserve roster                          Before   
8/13/1999  RMO     Eyre                Promoted to active roster                          Before   
8/13/1999  RMO     Fox,C               Demoted to reserve roster                          Before   
8/13/1999  RMO     Koch                Demoted to reserve roster                          Before   
8/13/1999  RMO     Miller,Tre          Promoted to active roster                          Before   
8/12/1999  BAR     Anderson,Bra        Placed on disabled list                 8/12/1999  Before   
8/12/1999  BAR     Jones,J             Promoted to active roster                          Before   
8/12/1999  BAR     Miller,Tra          Placed on disabled list                 8/12/1999  Before   
8/12/1999  BAR     Perez,Y             Promoted to active roster                          Before   
8/12/1999  BBG     Tapani              Promoted to active roster                          Before   
8/12/1999  BBG     Villone             Demoted to reserve roster                          Before   
8/12/1999  DLM     Hasegawa            Activated from disabled list                       Before   
8/12/1999  DLM     Valdes              Placed on disabled list                 8/9/1999   Before   
8/12/1999  OKO     Estes               Activated from disabled list                       Before   
8/12/1999  OKO     Kida                Promoted to active roster                          Before   
8/12/1999  OKO     Ogea                Placed on disabled list                 8/12/1999  Before   
8/12/1999  OKO     Quantrill           Placed on disabled list                 8/12/1999  Before   
8/11/1999  BAR     Ibanez              Promoted to active roster                          Before   
8/11/1999  BAR     Winn                Demoted to reserve roster                          Before   
8/11/1999  CIN     Erickson            Demoted to reserve roster                          Before   
8/11/1999  CIN     Hershiser           Activated from disabled list                       Before   
8/11/1999  FDH     Cameron             Promoted to active roster                          Before   
8/11/1999  FDH     Helton              Demoted to reserve roster                          Before   
8/11/1999  FHK     Barry               Promoted to active roster                          Before   
8/11/1999  FHK     Blauser             Demoted to reserve roster                          Before   
8/11/1999  FHK     Cabrera,O           Activated from disabled list                       Before   
8/11/1999  FHK     Macias              Demoted to reserve roster                          Before   
8/10/1999  FFR     Vizcaino,L          Demoted to reserve roster                          Before   
8/10/1999  FFR     Wohlers             Promoted to active roster                          Before   
8/9/1999   CEN     Cora                Activated from disabled list                       Before   
8/9/1999   CEN     Elarton             Activated from disabled list                       Before   
8/9/1999   CEN     Magadan             Demoted to reserve roster                          Before   
8/9/1999   CEN     Moehler             Demoted to reserve roster                          Before   
8/9/1999   FER     Finley,S            Activated from disabled list                       Before   
8/9/1999   FER     Schoeneweis         Demoted to reserve roster                          Before   
8/9/1999   FFR     Baerga              Demoted to reserve roster                          Before   
8/9/1999   FFR     Castro,R            Promoted to active roster                          Before   
8/9/1999   FFR     Holtz               Promoted to active roster                          Before   
8/9/1999   FFR     Smith,D             Demoted to reserve roster                          Before   
8/8/1999   BBG     Sprague             Promoted to active roster                          Before   
8/8/1999   BBG     Tatis               Placed on disabled list                 8/7/1999   Before   
8/8/1999   FHK     Carrasco            Promoted to active roster                          Before   
8/8/1999   FHK     Cox,S               Promoted to active roster                          Before   
8/8/1999   FHK     Encarnacion         Promoted to active roster                          Before   
8/8/1999   FHK     Patterson           Promoted to active roster                          Before   
8/8/1999   FHK     Sullivan            Demoted to reserve roster                          Before   
8/7/1999   CIN     Bottalico           Demoted to reserve roster                          Before   
8/7/1999   CIN     Cordero,F           Promoted to active roster                          Before   
8/7/1999   FDH     Appier              Promoted to active roster                          Before   
8/7/1999   FDH     Burkett             Demoted to reserve roster                          Before   
8/7/1999   FER     Gordon              Promoted to active roster                          Before   
8/7/1999   FER     Mecir               Demoted to reserve roster                          Before   
8/7/1999   FHK     Cormier             Demoted to reserve roster                          Before   
8/7/1999   TAR     Darensbourg         Promoted to active roster                          Before   
8/7/1999   TAR     Miceli              Demoted to reserve roster                          Before   
8/6/1999   CEN     Casey               Activated from disabled list                       Before   
8/6/1999   CEN     Cordova,F           Placed on disabled list                 8/4/1999   Before   
8/6/1999   CEN     Eusebio             Placed on disabled list                 8/5/1999   Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
8/6/1999   CEN     Moehler             Promoted to active roster                          Before   
8/6/1999   CTW     McGlinchy           Promoted to active roster                          Before   
8/6/1999   CTW     Montgomery,S        Demoted to reserve roster                          Before   
8/6/1999   EVN     Mulholland          Placed on disabled list                 8/5/1999   Before   
8/6/1999   EVN     Woodard             Promoted to active roster                          Before   
8/3/1999   FDH     Rhodes              Demoted to reserve roster                          Before   
8/3/1999   FDH     Witt,B              Promoted to active roster                          Before   
8/3/1999   FER     Alvarez,W           Demoted to reserve roster                          Before   
8/3/1999   FER     Florie              Demoted to reserve roster                          Before   
8/3/1999   FER     Graves              Promoted to active roster                          Before   
8/3/1999   FER     Groom               Demoted to reserve roster                          Before   
8/3/1999   FER     Rupe                Promoted to active roster                          Before   
8/3/1999   FER     Wagner,B            Promoted to active roster                          Before   
8/3/1999   FFR     Bradford            Demoted to reserve roster                          Before   
8/3/1999   FFR     Vizcaino,L          Promoted to active roster                          Before   
8/3/1999   FHK     Burks               Demoted to reserve roster                          Before   
8/3/1999   GAR     Clontz              Promoted to active roster                          Before   
8/3/1999   GAR     Harnisch            Promoted to active roster                          Before   
8/3/1999   GAR     Karchner            Promoted to active roster                          Before   
8/3/1999   GAR     Pote                Demoted to reserve roster                          Before   
8/3/1999   GAR     Redman              Demoted to reserve roster                          Before   
8/3/1999   GAR     Sirotka             Placed on disabled list                 8/3/1999   Before   
8/3/1999   NEP     Chen                Demoted to reserve roster                          Before   
8/3/1999   NEP     Quinn               Promoted to active roster                          Before   
8/3/1999   NEP     Williams,W          Promoted to active roster                          Before   
8/2/1999   BAR     Daubach             Demoted to reserve roster                          Before   
8/2/1999   BAR     Grieve              Promoted to active roster                          Before   
8/2/1999   FFR     Branyan             Demoted to reserve roster                          Before   
8/2/1999   FFR     Sweeney,Ma          Promoted to active roster                          Before   
8/2/1999   FHK     Cruz,Jo             Demoted to reserve roster                          Before   
8/2/1999   FHK     Miller,D            Placed on disabled list                 7/31/1999  Before   
8/2/1999   FHK     Mirabelli           Promoted to active roster                          Before   
8/2/1999   FLL     Cruz,N              Demoted to reserve roster                          Before   
8/2/1999   FLL     Ramsay              Promoted to active roster                          Before   
8/1/1999   BAR     Anderson,J          Released                                           Before   
8/1/1999   BAR     Grieve              Demoted to reserve roster                          Before   
8/1/1999   BAR     Javier              Demoted to reserve roster                          Before   
8/1/1999   CTW     Gonzalez,AS         Demoted to reserve roster                          Before   
8/1/1999   FLL     McEwing             Promoted to active roster                          Before   
8/1/1999   NEP     Sheldon             Demoted to reserve roster                          Before   
8/1/1999   NNN     Maddux,M            Demoted to reserve roster                          Before   
8/1/1999   NNN     Maddux,M            Promoted to active roster                          Before   
8/1/1999   NNN     Maddux,M            Promoted to active roster                          Before   
8/1/1999   OKO     Herges              Demoted to reserve roster                          Before   
8/1/1999   TAR     Garcia,K            Promoted to active roster                          Before   
8/1/1999   TAR     Grimsley            Promoted to active roster                          Before   
7/31/1999  BAR     Grieve              Acquired via trade             TAR                 After    
7/31/1999  BAR     Grimsley            Traded away                    TAR                 After    
7/31/1999  BAR     Javier              Acquired via trade             TAR                 After    
7/31/1999  CIN     Garcia,M            Promoted to active roster                          Before   
7/31/1999  CIN     Heredia,F           Demoted to reserve roster                          Before   
7/31/1999  CTW     Bell,J              Acquired via trade             NNN                 After    
7/31/1999  CTW     Kida                Traded away                    OKO                 After    
7/31/1999  CTW     Kinkade             Traded away                    OKO                 After    
7/31/1999  CTW     Maddux,M            Traded away                    NNN                 After    
7/31/1999  CTW     Quantrill           Traded away                    OKO                 After    
7/31/1999  CTW     Remlinger           Acquired via trade             OKO                 After    
7/31/1999  FDH     Appier              Demoted to reserve roster                          Before   
7/31/1999  FDH     Moyer               Promoted to active roster                          Before   
7/31/1999  FFR     Bradford            Promoted to active roster                          Before   
