1,4/5/1999,0,14,5,2,0
2,4/5/1999,0,1,10,2,0
3,4/5/1999,0,18,11,2,0
4,4/5/1999,0,16,15,2,0
5,4/6/1999,0,12,9,2,0
6,4/6/1999,0,6,2,2,0
7,4/6/1999,0,14,5,2,0
8,4/6/1999,0,3,7,2,0
9,4/6/1999,0,17,8,2,0
10,4/6/1999,0,1,10,2,0
11,4/6/1999,0,18,11,2,0
12,4/6/1999,0,16,15,2,0
13,4/6/1999,0,13,19,2,0
14,4/6/1999,0,4,20,2,0
15,4/7/1999,0,7,2,2,0
16,4/7/1999,0,18,5,2,0
17,4/7/1999,0,3,6,2,0
18,4/7/1999,0,10,8,2,0
19,4/7/1999,0,9,13,2,0
20,4/7/1999,0,20,14,2,0
21,4/7/1999,0,12,15,2,0
22,4/7/1999,0,4,16,2,0
23,4/7/1999,0,1,17,2,0
24,4/7/1999,0,11,19,2,0
25,4/8/1999,0,7,2,2,0
26,4/8/1999,0,18,5,2,0
27,4/8/1999,0,3,6,2,0
28,4/8/1999,0,10,8,2,0
29,4/8/1999,0,9,13,2,0
30,4/8/1999,0,20,14,2,0
31,4/8/1999,0,12,15,2,0
32,4/8/1999,0,4,16,2,0
33,4/8/1999,0,1,17,2,0
34,4/8/1999,0,11,19,2,0
35,4/9/1999,0,4,1,2,0
36,4/9/1999,0,20,3,2,0
37,4/9/1999,0,8,5,2,0
38,4/9/1999,0,11,7,2,0
39,4/9/1999,0,19,14,2,0
40,4/9/1999,0,6,17,2,0
41,4/9/1999,0,9,10,2,0
42,4/9/1999,0,2,15,2,0
43,4/9/1999,0,13,16,2,0
44,4/9/1999,0,12,18,2,0
45,4/10/1999,0,4,1,2,0
46,4/10/1999,0,20,3,2,0
47,4/10/1999,0,8,5,2,0
48,4/10/1999,0,11,7,2,0
49,4/10/1999,0,9,10,2,0
50,4/10/1999,0,19,14,2,0
51,4/10/1999,0,2,15,2,0
52,4/10/1999,0,13,16,2,0
53,4/10/1999,0,6,17,2,0
54,4/10/1999,0,12,18,2,0
55,4/11/1999,0,4,1,2,0
56,4/11/1999,0,20,3,2,0
57,4/11/1999,0,8,5,2,0
58,4/11/1999,0,11,7,2,0
59,4/11/1999,0,9,10,2,0
60,4/11/1999,0,19,14,2,0
61,4/11/1999,0,2,15,2,0
62,4/11/1999,0,13,16,2,0
63,4/11/1999,0,6,17,2,0
64,4/11/1999,0,12,18,2,0
65,4/12/1999,0,4,1,2,0
66,4/12/1999,0,20,3,2,0
67,4/12/1999,0,8,5,2,0
68,4/12/1999,0,9,10,2,0
69,4/12/1999,0,19,14,2,0
70,4/12/1999,0,2,15,2,0
71,4/12/1999,0,13,16,2,0
72,4/13/1999,0,8,2,2,0
73,4/13/1999,0,10,4,2,0
74,4/13/1999,0,16,6,2,0
75,4/13/1999,0,11,9,2,0
76,4/13/1999,0,1,12,2,0
77,4/13/1999,0,15,13,2,0
78,4/13/1999,0,14,17,2,0
79,4/13/1999,0,3,18,2,0
80,4/13/1999,0,5,19,2,0
81,4/13/1999,0,7,20,2,0
82,4/14/1999,0,8,2,2,0
83,4/14/1999,0,10,4,2,0
84,4/14/1999,0,16,6,2,0
85,4/14/1999,0,11,9,2,0
86,4/14/1999,0,1,12,2,0
87,4/14/1999,0,15,13,2,0
88,4/14/1999,0,14,17,2,0
89,4/14/1999,0,3,18,2,0
90,4/14/1999,0,5,19,2,0
91,4/14/1999,0,7,20,2,0
92,4/16/1999,0,3,7,2,0
93,4/16/1999,0,12,9,2,0
94,4/16/1999,0,1,10,2,0
95,4/16/1999,0,18,11,2,0
96,4/16/1999,0,16,15,2,0
97,4/16/1999,0,6,2,2,0
98,4/16/1999,0,20,4,2,0
99,4/16/1999,0,14,5,2,0
100,4/16/1999,0,17,8,2,0
101,4/16/1999,0,19,13,2,0
102,4/17/1999,0,6,2,2,0
103,4/17/1999,0,20,4,2,0
104,4/17/1999,0,14,5,2,0
105,4/17/1999,0,3,7,2,0
106,4/17/1999,0,17,8,2,0
107,4/17/1999,0,12,9,2,0
108,4/17/1999,0,1,10,2,0
109,4/17/1999,0,18,11,2,0
110,4/17/1999,0,19,13,2,0
111,4/17/1999,0,16,15,2,0
112,4/18/1999,0,6,2,2,0
113,4/18/1999,0,20,4,2,0
114,4/18/1999,0,14,5,2,0
115,4/18/1999,0,3,7,2,0
116,4/18/1999,0,17,8,2,0
117,4/18/1999,0,12,9,2,0
118,4/18/1999,0,1,10,2,0
119,4/18/1999,0,18,11,2,0
120,4/18/1999,0,19,13,2,0
121,4/18/1999,0,16,15,2,0
122,4/19/1999,0,6,2,2,0
123,4/19/1999,0,14,5,2,0
124,4/19/1999,0,3,7,2,0
125,4/19/1999,0,17,8,2,0
126,4/19/1999,0,12,9,2,0
127,4/19/1999,0,18,11,2,0
128,4/19/1999,0,16,15,2,0
129,4/20/1999,0,13,2,2,0
130,4/20/1999,0,15,6,2,0
131,4/20/1999,0,4,9,2,0
132,4/20/1999,0,20,11,2,0
133,4/20/1999,0,5,17,2,0
134,4/20/1999,0,7,18,2,0
135,4/20/1999,0,3,1,2,0
136,4/20/1999,0,19,8,2,0
137,4/20/1999,0,10,12,2,0
138,4/20/1999,0,14,16,2,0
139,4/21/1999,0,3,1,2,0
140,4/21/1999,0,13,2,2,0
141,4/21/1999,0,15,6,2,0
142,4/21/1999,0,19,8,2,0
143,4/21/1999,0,4,9,2,0
144,4/21/1999,0,20,11,2,0
145,4/21/1999,0,10,12,2,0
146,4/21/1999,0,14,16,2,0
147,4/21/1999,0,5,17,2,0
148,4/21/1999,0,7,18,2,0
149,4/22/1999,0,3,1,2,0
150,4/22/1999,0,13,2,2,0
151,4/22/1999,0,15,6,2,0
152,4/22/1999,0,19,8,2,0
153,4/22/1999,0,4,9,2,0
154,4/22/1999,0,20,11,2,0
155,4/22/1999,0,10,12,2,0
156,4/22/1999,0,14,16,2,0
157,4/22/1999,0,5,17,2,0
158,4/22/1999,0,7,18,2,0
159,4/23/1999,0,3,1,2,0
160,4/23/1999,0,13,2,2,0
161,4/23/1999,0,15,6,2,0
162,4/23/1999,0,19,8,2,0
