                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Jacob Cruz*              ZZY     rf  23   4  18   0   0   0  .543     1.3  3.1  .000  .636  .385   0   2 
Chad Curtis              BBG     cf  27 152 617   4   5  16  .737    74.5  4.8  .122  .722  .296  39 199 
Jeff D'Amico             RMO     sp  20  15  35   1   0   0  .268     0.7  0.6  .000  .172  .030   0   4 
Omar Daal*               BMB     mr  24  17  35   0   0   1  .205     0.3  0.3  .030  .156  .091   1   3 
Johnny Damon*            WIN     cf  22 131 516   4   5   4  .741    69.2  5.3  .104  .699  .187  32 196 
Jeff Darwin              FER     mr  26   1   3   0   0   0  .667     0.3  4.5  .000  .500  .000   0   1 
Darren Daulton*          BMB     lf  34   4  15   0   1   0  .583     1.3  3.6  .000  .556  .167   0   3 
Chili Davis#             FHK     dh  36  39 233   0   2   7  .678    24.0  4.1  .102  .646  .284  12  66 
Eric Davis               CIN     cf  34 114 519   2   4   6  .861    84.6  6.7  .223  .941  .421  44 212 
Russ Davis               CTW     3b  26  20 104   0   1   0  .910    20.3  8.7  .168  .919  .253   8  49 
Steve Decker             SCQ     c   30  24  86   0   0   1  .676     9.1  4.2  .104  .610  .208   4  27 
Rob Deer                 FHK     rf  35   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Alex Delgado             GAR     c   25   8  22   1   0   0  .296     0.6  0.8  .000  .235  .105   0   2 
Carlos Delgado*          TEW     dh  24 113 505   0   7  11  .804    71.7  5.7  .184  .788  .316  45 195 
Elmer Dessens            ZZY     mr  24   0   4   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Cesar Devarez            RMO     c   26   5  17   0   1   0  .485     1.1  2.2  .000  .333  .000   0   4 
Mike Devereaux           BBG     lf  33  40 177   1   1   5  .490     9.2  1.7  .098  .390  .159   8  44 
Mark Dewey               ZZY     mr  31   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Einar Diaz               FER     c   23   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jason Dickson*           ZZY     sp  23   5   8   0   0   0  .500     0.5  2.3  .000  .333  .000   0   2 
Jerry DiPoto             BMB     mr  28   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jerry DiPoto             CIN     mr  28   0   1   0   1   0  .000     0.0  0.0  .000  .000  .000   0   0 
Gary DiSarcina           RMO     ss  28 126 460   6   3  13  .563    31.7  2.4  .067  .427  .096  25 132 
Doug Drabek              RMO     sp  33  15  38   6   0   0  .700     4.0  3.9  .097  .591  .129   1  12 
Mariano Duncan           NEP     2b  33  93 438   0   3   2  .775    61.4  5.6  .126  .683  .150  40 184 
Shawon Dunston           WIN     ss  33  49 261   2   3  18  .733    27.3  3.8  .112  .614  .182  15  98 
Ray Durham#              GAR     2b  24 132 609   4   6   3  .732    79.6  5.2  .113  .752  .252  40 209 
Jermaine Dye             SCQ     rf  22  50 246   0   1  11  .876    38.9  6.3  .170  .794  .223  23 115 
Mike Dyer                ZZY     mr  29   3   5   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Lenny Dykstra*           OKO     cf  33  19 121   0   0   0  .877    21.1  8.0  .196  .972  .423   9  45 
Damion Easley            GAR     ss  26  22 136   1   0   2  .612    11.4  3.1  .113  .520  .169   6  41 
Angel Echevarria         OKO     rf  25   0   1   0   0   0 1.000     0.3  0.0  .000  .000  .000   0   0 
Dennis Eckersley         TAR     cl  41   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jim Edmonds*             OKO     cf  26 116 507   0   7   4  .971   106.2  9.0  .268 1.010  .357  69 273 
Joey Eischen*            TAR     mr  26   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jim Eisenreich*          CTW     rf  37  74 394   2   4   7  .870    68.6  7.5  .104  .833  .179  26 171 
Cal Eldred               TAR     sp  28  13  32   1   0   0  .290     0.7  0.7  .032  .185  .032   1   5 
Robert Ellis             BAR     mr  25   2   2   0   0   0 1.000     0.5 13.5  .000 1.000  .000   0   1 
Kevin Elster             CEN     ss  31  94 369   2   3   6  .728    43.0  4.3  .195  .676  .287  37 144 
Alan Embree*             TAR     mr  26   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Angelo Encarnacion       DLM     c   23   0   5   0   0   0  .400     0.2  1.4  .000  .250  .000   0   1 
Scott Erickson           BBG     sp  28  30  70   2   0   0  .593     6.1  3.4  .000  .478  .079   0  17 
Darin Erstad*            TEW     cf  22  32 174   0   0   3  .638    16.9  3.7  .055  .537  .127   6  54 
Vaughn Eshelman*         GAR     mr  27   2   7   1   0   0  .533     0.5  2.7  .000  .500  .200   0   1 
Alvaro Espinoza          TAR     3b  34  69 287   6   2   6  .637    26.1  3.3  .090  .515  .127  16  93 
Bobby Estalella          CTW     c   21   3  19   0   0   1  .503     0.9  1.8  .000  .429  .188   0   3 
Shawn Estes              EVN     sp  23  10  23   0   0   0  .356     0.7  1.1  .045  .263  .091   1   4 
Tony Eusebio             CTW     c   29  33 152   0   1   3  .898    27.9  8.0  .135  .860  .206   9  70 
Carl Everett#            TAR     rf  26  56 215   1   1   3  .626    19.6  3.4  .080  .592  .213  11  58 
Jorge Fabregas*          GAR     c   26  55 226   2   1  10  .663    20.9  3.4  .076  .528  .133  10  74 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Sal Fasano               CIN     c   24  43 164   2   2   1  .589    12.9  2.8  .145  .551  .254   8  43 
Jeff Fassero*            EVN     sp  33  33 100   5   2   1  .354     3.6  1.2  .000  .301  .133   0  11 
Alex Fernandez           ZZY     sp  26  27  55   0   0   0  .372     1.8  1.0  .113  .298  .151   2  12 
Alex Fernandez           CTW     sp  26  10  24   2   0   2  .431     0.8  1.1 -0.00  .333  .158   0   3 
Osvaldo Fernandez        GAR     sp  27  28  48   2   0   0  .283     0.9  0.6  .065  .195  .065   1   8 
Sid Fernandez*           EVN     sp  33  11  26   4   0   1  .091     0.0  0.0  .000  .045  .000   0   1 
Mike Fetters             CEN     cl  31   0  10   0   0   0  .200     0.1  0.4  .000  .250  .250   0   0 
Cecil Fielder            TAR     1b  32  28 221   0   2   5  .720    24.6  4.4  .150  .716  .356  13  66 
Chuck Finley*            NEP     sp  33  32  75   1   0   0  .453     3.8  1.7  .069  .339  .097   4  18 
Steve Finley*            FER     cf  31 141 630   2   9  15  .951   120.9  8.0  .241  .997  .371  83 313 
John Flaherty            TEW     c   28  76 344   4   1  11  .702    36.6  4.0  .119  .590  .172  22 125 
Huck Flener#             FER     sp  27  16  29   0   0   0  .351     0.9  1.0  .036  .250  .071   1   5 
Darrin Fletcher*         FHK     c   29  40 213   1   2   9  .738    24.5  4.5  .096  .657  .203  12  71 
Cliff Floyd*             FDH     lf  23  46 227   1   2   4  .667    23.2  4.0  .103  .639  .258  14  65 
Chad Fonville#           FDH     cf  25  55 232   2   2   5  .587    19.1  3.0  .062  .518  .176  11  62 
Brook Fordyce            CTW     c   26   2   8   0   0   0  .833     1.3  8.5  .000 1.000  .333   0   2 
Andy Fox*                TEW     2b  25  51 177   0   0   4  .645    17.9  4.0  .032  .636  .205   5  46 
John Franco*             TAR     cl  35   0   7   0   0   0  .286     0.1  0.6  .000  .167  .000   0   1 
Julio Franco             CEN     1b  37  34 214   1   1  11  .670    19.9  3.5  .067  .562  .171   7  65 
Lou Frazier#             ZZY     lf  31   0   9   0   0   1  .833     1.1  4.1  .250  .857  .500   1   4 
Marvin Freeman           WIN     sp  33  17  35   1   0   1  .239     0.4  0.3  .030  .161  .061   1   4 
Steve Frey               GAR     mr  32   0   4   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jeff Frye                CEN     2b  29  98 404   3   5  10  .654    39.7  3.7  .091  .607  .207  25 124 
Travis Fryman            OKO     3b  27 143 578   0   3   9  .733    70.7  4.8  .149  .673  .230  44 215 
Mike Fyhrie              CTW     mr  26   0   1   0   0   1  .000     0.0  0.0  .000  .000  .000   0   0 
Gary Gaetti              TAR     3b  37 129 572   5   3   8  .729    68.6  4.5  .175  .666  .234  45 225 
Greg Gagne               EVN     ss  34  11  58   0   0   1  .671     5.8  4.0  .102  .641  .265   4  16 
Andres Galarraga         FHK     1b  35 123 593   0   6  10 1.001   118.7  7.9  .336 1.033  .406  84 351 
Mike Gallego             DLM     2b  35   1  35   1   0   0  .268     0.7  0.6  .000  .172  .000   0   4 
Ron Gant                 CTW     lf  31  93 452   0   7  12  .892    74.1  6.4  .287  .885  .399  50 223 
Rich Garces              GAR     mr  25   0   1   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Carlos Garcia            OKO     2b  28  10 118   2   0   0  .674    12.6  3.9  .142  .588  .168   8  45 
Karim Garcia*            WIN     lf  20   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Ramon Garcia             FDH     mr  26  10  26   3   0   0  .317     0.8  1.1  .000  .278  .150   0   2 
Nomar Garciaparra        TEW     ss  22  18  84   0   2   2  .618     6.9  2.8  .165  .531  .203   5  30 
Mark Gardner             TEW     sp  34   2  10   2   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Brent Gates#             TEW     2b  26   1   4   0   0   0  .250     0.1  0.6  .000  .333  .000   0   0 
Jason Giambi*            RMO     lf  25 117 510   2   4   9  .636    47.1  3.4  .120  .559  .218  38 158 
Brian Giles*             SCQ     dh  25  31 147   0   4   2 1.025    34.9 11.1  .202 1.136  .318  16  76 
Bernard Gilkey           EVN     lf  29 144 663   0   8  17  .912   112.6  6.8  .243  .895  .340  75 320 
Ed Giovanola*            RMO     ss  27  23  86   0   1   1  .584     7.1  3.1  .038  .483  .103   3  22 
Joe Girardi              ZZY     c   31 105 441   3   2  12  .789    61.3  5.6  .108  .733  .204  29 167 
Tom Glavine*             DLM     sp  30  27  76  13   0   1 1.016    14.7  7.8  .190 1.000  .190   9  38 
Greg Gohr                GAR     sp  28   1   7   2   0   0  .200     0.2  0.8  .000  .250  .000   0   0 
Chris Gomez              SCQ     ss  25  16  71   0   0   4  .504     3.6  1.8  .032  .400  .111   2  14 
Leo Gomez                EVN     3b  30   0   6   0   0   0  .333     0.2  0.9  .000  .200  .000   0   1 
Alex Gonzalez            CTW     ss  23  69 284   2   0   7  .578    19.9  2.4  .131  .486  .200  23  84 
Juan Gonzalez            BMB     rf  26 122 537   0   6  16  .961    95.2  6.7  .365  .939  .421  73 318 
Luis Gonzalez*           TEW     lf  28 104 509   2   3  11  .764    65.4  5.1  .153  .741  .296  43 184 
Dwight Gooden            EVN     sp  31  20  50   5   0   0  .207     0.8  0.5  .024  .179  .122   1   3 
Curtis Goodwin*          WIN     cf  23  34 157   1   2   3  .685    17.2  4.3  .030  .705  .209   2  42 
Tom Goodwin*             CIN     cf  27  22  86   1   2   0  .597     7.0  2.8  .066  .625  .211   3  23 
Tom Gordon               FER     sp  28  40  94   2   2   2  .371     3.1  1.0  .035  .267  .081   3  16 
Mark Grace*              EVN     1b  32 123 571   0   4  10  .852    92.9  6.8  .166  .824  .271  56 245 
Mike Grace               CEN     sp  26  11  31   1   0   0  .277     0.7  0.7  .000  .250  .115   0   2 
Tony Graffanino          BBG     2b  24  13  47   0   0   0  .467     2.6  2.0  .000  .382  .119   0   8 
Danny Graves             FER     mr  22   0   4   0   0   0  .500     0.3  2.3  .000  .333  .000   0   1 
Craig Grebeck            FER     2b  31  10  76   0   0   4  .592     5.3  2.4  .066  .417  .066   3  25 
Shawn Green*             ZZY     rf  23  70 302   0   1   2  .737    39.1  5.3  .122  .698  .207  24 106 
Todd Greene              FDH     c   25  17  92   0   2   2  .870    15.3  6.9  .183  .845  .256   7  41 
Willie Greene*           FDH     3b  24  72 327   0   5   3  .685    35.0  4.0  .192  .639  .295  24 118 
Mike Greenwell*          TAR     lf  32   0  11   0   0   0  .818     1.6  5.5  .273  .750  .273   3   6 
Rusty Greer*             DLM     lf  27 124 531   3   8   9  .821    80.6  6.3  .158  .821  .285  53 210 
Ken Griffey*             NEP     cf  26 125 571   1   5  11  .965   114.2  8.5  .260 1.006  .381  61 291 
Jason Grimsley           FDH     sp  28  20  36   2   0   0  .485     1.9  1.7  .063  .370  .094   2   8 
Marquis Grissom          FHK     cf  29 146 638   3   7  14  .807    94.0  5.8  .152  .775  .231  53 275 
Buddy Groom*             GAR     mr  30   1   6   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Kevin Gross              DLM     sp  35   6  17   2   0   0  .354     0.7  1.4  .077  .417  .308   1   2 
Mark Grudzielanek        FHK     ss  26  88 372   0   2  10  .667    37.4  3.8  .079  .614  .178  19 119 
Eddie Guardado           FDH     mr  25   0   4   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Mark Gubicza             DLM     sp  33  18  38   3   0   0  .385     1.3  1.1  .152  .333  .212   3   8 
Vladimir Guerrero        FDH     rf  20   6  29   0   0   0  .552     1.9  2.1  .207  .458  .207   2  11 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Wilton Guerrero          OKO     ss  21   0   2   0   0   0  .500     0.1  3.5  .000 1.000 1.000   0   0 
Ozzie Guillen*           CIN     ss  32   0   3   0   0   0  .667     0.3  4.5  .000  .500  .000   0   1 
Eric Gunderson           NEP     mr  30   3   3   0   0   1  .333     0.0  0.0  .000  .333  .500   0   0 
Mark Guthrie             OKO     mr  30   0   5   1   0   0 1.000     1.0  9.1  .000 1.000  .000   0   2 
Ricky Gutierrez          SCQ     ss  26  56 229   5   1   2  .682    25.3  4.3  .053  .603  .126   7  71 
Juan Guzman              CTW     sp  29  10  27   0   0   0  .407     1.1  1.4  .037  .273  .037   1   6 
Juan Guzman              SCQ     sp  29  14  36   3   1   1  .308     0.8  0.7  .000  .179  .000   0   5 
Tony Gwynn*              BBG     rf  36  81 385   0   1   9  .732    46.8  4.8  .089  .639  .161  25 140 
Chip Hale*               ZZY     2b  31  14  73   0   0   3  .589     5.4  2.8  .081  .528  .258   3  17 
Darren Hall              OKO     mr  31   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Darryl Hamilton*         TEW     cf  31   8  33   0   0   0  .972     7.8 11.6  .138 1.167  .345   4  15 
Joey Hamilton            OKO     sp  25  18  44   2   0   0  .500     2.6  1.9  .119  .382  .119   3  13 
Joey Hamilton            DLM     sp  25   0   7   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Chris Hammond*           DLM     mr  30  14  24   3   0   0  .095     0.2  0.2  .000  .105  .105   0   0 
Jeffrey Hammonds         GAR     lf  25  76 294   2   1   4  .651    28.5  3.6  .103  .557  .165  16  96 
Mike Hampton             OKO     sp  23  27  70   7   2   2  .489     4.0  2.0 -0.00  .400  .130   0  11 
Chris Haney*             SCQ     sp  27  10  31   2   0   0  .421     1.4  1.5  .036  .304  .071   1   6 
Greg Hansell             DLM     mr  25   1   4   1   0   0  .667     0.4  3.4  .000  .500  .000   0   1 
Dave Hansen*             WIN     3b  27  28  94   0   1   1  .759    12.6  5.4  .128  .694  .209   5  36 
Erik Hanson              TAR     sp  31   2   5   0   0   0  .800     0.8  7.2  .000  .667  .000   0   2 
Pete Harnisch            SCQ     sp  29  27  54   0   0   0  .318     1.4  0.8  .038  .217  .057   2   9 
Lenny Harris*            SCQ     3b  31   5  20   1   0   0  .728     2.0  3.6  .176  .643  .235   2   7 
Bill Haselman            TAR     c   30  73 269   0   0   9  .807    37.7  5.4  .151  .711  .198  31 120 
Scott Hatteberg*         BAR     c   26   3  13   0   1   3  .431     0.0  0.0  .100  .333  .300   1   2 
LaTroy Hawkins           WIN     sp  23   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Charlie Hayes            TEW     3b  31 111 435   2   3   8  .657    42.5  3.6  .105  .561  .177  24 143 
Jimmy Haynes             RMO     mr  23   1  15   0   0   0  .267     0.3  0.6  .000  .154  .000   0   2 
Rick Helling             ZZY     sp  25   0   8   1   0   0  .452     0.4  2.0  .000  .400  .167   0   1 
Rickey Henderson         DLM     lf  37 119 555   0   2  12  .876    89.7  7.1  .174  .967  .429  37 192 
Mike Henneman            BMB     cl  34   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Doug Henry               GAR     mr  32   0   7   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Pat Hentgen              CEN     sp  27  35 107   5   1   2  .348     3.1  0.9  .030  .244  .061   3  18 
Felix Heredia*           CIN     mr  20   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Gil Heredia              FDH     mr  30  14  25   2   0   0  .515     1.5  2.1  .053  .471  .211   1   4 
Dustin Hermanson         EVN     mr  23   1   3   1   0   0  .500     0.3  3.5  .000 1.000 1.000   0   0 
Carlos Hernandez         FHK     c   29   3  17   0   0   0 1.303     6.3 24.5  .214 1.857  .429   1  10 
Jose Hernandez           WIN     ss  26  69 311   0   2  13  .767    37.6  4.5  .167  .674  .237  26 127 
Roberto Hernandez        EVN     cl  31   0   5   1   0   0  .500     0.4  3.7  .000 1.000 1.000   0   0 
Xavier Hernandez*        FHK     mr  30   0   5   1   0   0  .500     0.3  2.1  .000  .333  .000   0   1 
Jose Herrera*            RMO     rf  23  31 137   1   0   2  .632    13.0  3.7  .041  .574  .154   5  37 
Orel Hershiser           CIN     sp  37  32  81   6   0   1  .268     1.5  0.6  .014  .167  .027   1  10 
Bobby Higginson*         NEP     lf  25  95 403   1   2   7 1.020    88.0  9.6  .290 1.090  .434  53 213 
Glenallen Hill           FER     rf  31  92 412   0   4   4  .983    88.2  9.2  .266 1.043  .368  55 222 
Ken Hill                 NEP     sp  30  31  86   5   0   0  .325     2.4  0.9  .025  .221  .051   2  13 
Sterling Hitchcock*      FER     sp  25  19  33   2   0   0  .299     0.8  0.8  .034  .231  .103   1   4 
Denny Hocking#           FDH     rf  26   8  43   0   0   2  .488     1.5  1.1  .116  .342  .093   3  13 
Trevor Hoffman           BBG     cl  28   0   6   0   0   0  .333     0.2  0.9  .000  .200  .000   0   1 
Chris Hoiles             FER     c   31 102 449   0   5   5  .820    66.9  6.1  .205  .821  .334  39 180 
Todd Hollandsworth*      ZZY     lf  23  56 328   1   2   3  .771    45.9  5.5  .166  .737  .248  28 138 
Dave Hollins#            EVN     3b  30   9  61   0   1   0  .658     6.5  4.4  .078  .641  .216   4  16 
Darren Holmes            CEN     mr  30   0   3   0   0   0  .333     0.1  1.2  .000  .500  .500   0   0 
Mike Holtz*              BMB     mr  23   2   4   0   0   0 1.000     1.0 13.5  .000 1.000  .000   0   2 
Rick Honeycutt*          BAR     mr  44   0   2   1   0   0 1.000     0.4 10.5  .000  .000  .000   0   0 
Tyler Houston*           BMB     c   25  33 158   1   0   7  .732    15.7  3.5  .176  .608  .216  14  64 
David Howard#            RMO     ss  29   0   1   0   0   0 2.000     1.0  0.0  .000  .000  .000   0   1 
Thomas Howard*           EVN     lf  31  25 115   0   1   6  .804    15.1  4.9  .170  .699  .196  10  54 
Jack Howell*             NEP     3b  34  29 118   0   1   1  .832    18.3  6.0  .259  .827  .361  12  56 
Trenidad Hubbard         GAR     cf  32  26 107   0   0   1  .570     8.0  2.7  .149  .531  .277   8  29 
Rex Hudler               FER     2b  35  40 245   0   1   7  .899    40.0  6.3  .243  .865  .300  30 127 
Michael Huff             FDH     3b  32   1   3   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Rick Huisman             CTW     mr  27   0   1   0   0   0 2.000     1.0  0.0  .000  .000  .000   0   1 
Todd Hundley#            CEN     c   27 118 521   0   3   9 1.010   109.2  8.8  .346 1.057  .474  73 294 
Brian Lee Hunter         WIN     cf  25  17 112   1   0   3  .809    16.0  5.7  .140  .800  .280   8  44 
Brian R. Hunter          BAR     1b  28  30 151   0   0   3  .758    19.6  5.3  .107  .673  .164   9  57 
Butch Huskey             BMB     1b  24  88 377   0   2   6  .686    39.9  3.9  .142  .594  .205  27 138 
Mark Hutton              EVN     mr  26   4  10   2   0   0  .393     0.5  1.6  .000  .333  .143   0   1 
Raul Ibanez*             BAR     dh  24   1   5   0   0   0  .200     0.1  0.4  .000  .250  .000   0   0 
Pete Incaviglia          NEP     lf  32  22 138   0   0   0  .852    22.5  7.0  .233  .897  .414  11  56 
Jason Isringhausen       RMO     sp  23  27  63   2   0   0  .743     7.9  4.8  .190  .674  .241   7  26 
Damian Jackson           FHK     ss  22   0   3   0   0   0  .333     0.1  1.2  .000  .500  .500   0   0 
Danny Jackson            BAR     mr  34   5  15   0   0   0  .333     0.4  0.8  .067  .231  .067   1   3 
Mike Jackson             BBG     mr  31   0   4   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Jason Jacome*            TAR     mr  25   2   6   0   0   0 1.100     1.6 14.7  .200 1.333  .400   1   3 
John Jaha                FER     1b  30 115 557   0   3  17  .916    99.2  7.7  .191  .922  .340  44 246 
Mike James               CTW     mr  28   0   5   0   0   0  .400     0.2  1.4  .000  .250  .000   0   1 
Kevin Jarvis*            GAR     sp  26  15  23   7   0   0  .375     0.9  1.2  .000  .231  .000   0   3 
Stan Javier#             CTW     cf  32  35 166   2   2   7  .743    18.6  4.2  .159  .681  .283  19  60 
Gregg Jefferies#         FDH     1b  28  91 459   0   2   7  .787    65.7  5.9  .103  .785  .248  26 166 
Reggie Jefferson*        CEN     dh  27  89 438   0   0  11  .799    62.3  5.6  .141  .705  .184  33 190 
Marcus Jensen#           OKO     c   23   2  11   0   0   0  .495     0.7  2.3  .111  .500  .333   1   2 
Derek Jeter              TAR     ss  22 146 687   5   0  13  .768    90.6  5.2  .116  .712  .195  45 263 
Doug Johns               BBG     sp  28  24  47   2   0   1  .638     4.2  3.3  .093  .515  .140   2  15 
Brian Johnson            NEP     c   28   7  39   0   0   1  .857     6.4  6.9  .139  .800  .139   5  17 
Brian Johnson            DLM     c   28   1  10   0   0   1  .400     0.2  0.6  .000  .222  .000   0   2 
Charles Johnson          CIN     c   24  29 115   0   3   2  .674    11.9  3.9  .136  .600  .223  10  39 
Charles Johnson          RMO     c   24  62 259   2   3   8  .528    15.7  2.1  .089  .422  .152  11  67 
Lance Johnson*           FHK     cf  32 157 757   3   2  10  .844   120.2  6.2  .144  .841  .224  63 346 
Randy Johnson            CTW     sp  32   0   7   0   0   0  .929     1.4  9.4  .167 1.000  .333   1   3 
John Johnstone           NEP     mr  27   0   3   0   0   0  .667     0.3  4.5  .000  .500  .000   0   1 
Andruw Jones             WIN     rf  19  18  98   0   0   0  .833    15.0  6.1  .270  .821  .360  12  46 
Bobby Jones              TEW     sp  26  32  60   6   0   1  .243     0.9  0.5  .000  .146  .019   0   6 
Chipper Jones#           CTW     3b  24 154 687   0   4  11  .858   112.7  7.1  .158  .870  .318  48 271 
Chris Jones              DLM     rf  30  30 168   3   1   3  .757    20.6  4.6  .217  .695  .283  16  70 
Doug Jones               TAR     mr  39   1   5   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Todd Jones*              RMO     cl  28   0   3   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Brian Jordan             EVN     rf  29 137 588   2   9   4  .783    85.4  5.9  .125  .755  .202  43 231 
Kevin Jordan             NEP     1b  26  11  55   1   0   1  .738     6.3  4.2  .135  .615  .154   5  22 
Ricardo Jordan*          NEP     mr  26   0   4   0   0   0  .500     0.3  2.3  .000  .333  .000   0   1 
Dave Justice*            FHK     rf  30  16 175   0   2   3  .960    35.7 10.0  .120 1.096  .331  12  69 
Scott Kamieniecki        FDH     sp  32   4   6   0   0   0  .733     0.8  5.1  .200  .750  .400   1   2 
Ron Karkovice            CIN     c   32   7  23   1   1   0 1.086     5.9 12.2  .211 1.273  .316   4  12 
Scott Karl*              CTW     sp  24  27  67   1   3   1  .221     0.9  0.4  .033  .158  .066   2   7 
Eric Karros              RMO     1b  28 116 521   0  10  16  .849    75.5  5.5  .275  .831  .397  55 241 
Greg Keagle              BBG     mr  25   3   7   0   0   0  .857     1.3  8.7  .000  .750  .000   0   3 
Mike Kelly               TEW     cf  26   6  47   0   0   1  .356     1.2  0.8  .093  .317  .163   2   8 
Roberto Kelly            OKO     rf  31  69 296   0   3   4  .849    48.5  7.1  .123  .845  .231  18 117 
Jason Kendall            EVN     c   22 109 448   2   5   5  .747    57.1  5.3  .091  .716  .174  24 144 
Jeff Kent                BBG     3b  28  95 446   1  11   9  .590    36.0  2.9  .093  .498  .154  26 132 
Jimmy Key                NEP     sp  35  25  61   1   0   1  .475     3.3  1.8  .069  .375  .121   2  15 
Brooks Kieschnick*       TEW     lf  24   0  34   0   0   0 1.270    11.2 23.2  .217 2.077  .696   3  15 
Darryl Kile              WIN     sp  27  35  68   9   0   0  .646     6.2  3.2  .143  .558  .196   5  21 
Jeff King                BMB     1b  31 154 626   2   5  21  .846    92.9  5.8  .216  .837  .356  57 268 
Mike Kingery*            FDH     cf  35  58 264   0   3   5  .764    34.7  5.3  .140  .709  .237  19  99 
Ryan Klesko*             CEN     lf  25 128 575   0   2  10  .908   101.7  7.3  .256  .928  .397  56 272 
Chuck Knoblauch          CTW     2b  27 146 704   0   4  14  .976   144.6  9.3  .214 1.062  .365  66 324 
Randy Knorr              BMB     c   27   2  13   0   0   0  .538     0.9  2.5  .077  .400  .077   1   4 
Chad Kreuter#            CTW     c   31  18 103   2   1   2  .623     9.0  3.2  .140  .583  .279   6  28 
Tom Lampkin*             FER     c   32  33 152   0   1   3  .721    17.7  4.6  .132  .706  .287  11  48 
Mark Langston            BMB     sp  35  14  30   1   0   0  .392     1.2  1.4  .037  .304  .111   1   5 
Ray Lankford*            CIN     cf  29 109 510   0   1   9  .945    99.5  7.9  .274 1.080  .485  68 258 
Mike Lansing             FHK     2b  28 162 678  16   6  22  .766    85.2  4.9  .107  .711  .217  47 237 
Barry Larkin             CIN     ss  32 127 579   0   5  14 1.018   125.0  9.3  .292 1.218  .576  71 278 
Matt Lawton*             WIN     rf  24  67 300   0   1   5  .766    39.4  5.4  .106  .721  .219  15 105 
Al Leiter*               OKO     sp  30  33  85   7   1   0  .520     5.8  2.4  .056  .421  .125   2  19 
Mark Leiter              OKO     sp  33  19  45   4   0   0  .766     6.0  5.2  .100  .667  .100   2  17 
Mark Lemke#              DLM     2b  30   0  90   0   0   0  .786    13.1  6.1  .165  .776  .291   9  34 
Patrick Lennon           FDH     lf  28   8  39   0   0   0  .610     3.5  3.9 -0.00  .625  .258   0   7 
Curt Leskanic            FER     mr  28   0  15   3   2   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jesse Levis*             BAR     c   28  10  58   0   1   0  .688     6.7  4.5  .113  .615  .189   4  20 
Darren Lewis             RMO     cf  28 101 425   6   3   3  .642    40.7  3.6  .089  .616  .213  26 121 
Mark Lewis               CEN     2b  26   5  48   0   0   2  .859     8.0  7.2  .093  .867  .256   3  19 
Richie Lewis             CTW     mr  30   0   4   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jim Leyritz              TEW     c   32  67 301   4   0   4  .625    27.4  3.4  .108  .554  .183  19  88 
Jon Lieber*              TAR     mr  26  25  53   2   0   0  .317     1.4  0.8  .020  .209  .040   1   8 
Mike Lieberthal          SCQ     c   24  35 163   0   4   1  .654    16.4  3.7  .132  .565  .166  14  57 
Jose Lima                FDH     mr  23  13  27   1   0   0  .317     0.7  0.9  .000  .238  .083   0   3 
