                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Jason Isringhausen       RMO     sp  23  .259  .295  .448  58  15   5   0   2   8   5   0   3  18   0   0 
Damian Jackson           FHK     ss  22  .000  .333  .000   2   0   0   0   0   0   1   0   1   2   0   0 
Danny Jackson            BAR     mr  34  .133  .133  .200  15   2   1   0   0   1   1   0   0   3   0   0 
Mike Jackson             BBG     mr  31  .000  .000  .000   4   0   0   0   0   0   0   0   0   2   0   0 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Jason Jacome*            TAR     mr  25  .400  .500  .600   5   2   1   0   0   3   1   0   1   1   0   0 
John Jaha                FER     1b  30  .320  .406  .510 482 154  20   0  24  91  98   0  72 116   2   2 
Mike James               CTW     mr  28  .200  .200  .200   5   1   0   0   0   0   0   0   0   1   0   0 
Kevin Jarvis*            GAR     sp  26  .188  .188  .188  16   3   0   0   0   0   1   0   0   7   0   0 
Stan Javier#             CTW     cf  32  .255  .329  .414 145  37  17   0   2  22  16   0  17  26   2   1 
Gregg Jefferies#         FDH     1b  28  .305  .379  .408 407 124  16   4   6  59  35   1  49  18  17   7 
Reggie Jefferson*        CEN     dh  27  .313  .345  .455 418 131  18   4  11  57  55   2  18  96   0   0 
Marcus Jensen#           OKO     c   23  .111  .273  .222   9   1   1   0   0   2   0   0   2   4   0   0 
Derek Jeter              TAR     ss  22  .301  .352  .416 632 190  29   4  12  88  42   8  42 111  19  11 
Doug Johns               BBG     sp  28  .256  .289  .349  43  11   1   0   1   4   2   0   2  10   0   0 
Brian Johnson            NEP     c   28  .333  .385  .472  36  12   5   0   0   6   7   3   0   7   0   0 
Brian Johnson            DLM     c   28  .200  .200  .200  10   2   0   0   0   0   0   0   0   3   0   0 
Charles Johnson          CIN     c   24  .243  .296  .379 103  25   8   0   2  11  13   0   9  27   0   0 
Charles Johnson          RMO     c   24  .194  .245  .283 237  46   6   0   5  17  28   2  15  72   0   0 
Lance Johnson*           FHK     cf  32  .336  .363  .481 720 242  31  23   9 121  70   3  29  39  56  28 
Randy Johnson            CTW     sp  32  .333  .429  .500   6   2   1   0   0   1   1   0   1   0   0   0 
John Johnstone           NEP     mr  27  .333  .333  .333   3   1   0   0   0   0   0   0   0   0   0   0 
Andruw Jones             WIN     rf  19  .247  .316  .517  89  22   6   0   6  16  16   1   8  30   0   0 
Bobby Jones              TEW     sp  26  .113  .130  .113  53   6   0   0   0   2   0   0   1  19   0   0 
Chipper Jones#           CTW     3b  24  .303  .397  .461 588 178  23   5  20 115  92   1  94  96   1   1 
Chris Jones              DLM     rf  30  .243  .297  .461 152  37   7   1   8  23  23   2  10  46   0   0 
Doug Jones               TAR     mr  39  .000  .000  .000   4   0   0   0   0   0   0   0   0   3   0   0 
Todd Jones*              RMO     cl  28  .000  .000  .000   2   0   0   0   0   0   0   0   0   0   0   0 
Brian Jordan             EVN     rf  29  .307  .352  .432 535 164  31   0  12  85  83  10  32 104  13   4 
Kevin Jordan             NEP     1b  26  .288  .315  .423  52  15   4   0   1   5   3   0   2   6   0   1 
Ricardo Jordan*          NEP     mr  26  .250  .250  .250   4   1   0   0   0   0   1   0   0   0   0   0 
Dave Justice*            FHK     rf  30  .366  .474  .486 142  52   9   1   2  30  23   3  28  23   3   1 
Scott Kamieniecki        FDH     sp  32  .200  .333  .400   5   1   1   0   0   0   2   0   1   3   0   0 
Ron Karkovice            CIN     c   32  .421  .455  .632  19   8   4   0   0   0   4   0   2   3   0   0 
Scott Karl*              CTW     sp  24  .082  .106  .115  61   5   2   0   0   5   4   0   2  16   0   0 
Eric Karros              RMO     1b  28  .251  .322  .526 458 115  19   1  35  70  98   1  52  87   5   1 
Greg Keagle              BBG     mr  25  .429  .429  .429   7   3   0   0   0   1   1   0   0   1   0   0 
Mike Kelly               TEW     cf  26  .093  .170  .186  43   4   1   0   1   4   3   1   3  13   1   1 
Roberto Kelly            OKO     rf  31  .327  .399  .450 260  85  10   2   6  36  43   6  27  45   3   2 
Jason Kendall            EVN     c   22  .284  .372  .375 384 109  18   1   5  46  58  23  34  36   3   5 
Jeff Kent                BBG     3b  28  .230  .267  .323 409  94  20   0   6  41  47   4  21  91   5   1 
Jimmy Key                NEP     sp  35  .190  .217  .259  58  11   1   0   1   5   8   0   2  11   1   0 
Brooks Kieschnick*       TEW     lf  24  .435  .618  .652  23  10   2   0   1   7   6   1  10   5   1   0 
Darryl Kile              WIN     sp  27  .232  .271  .375  56  13   3   1   1   7   4   0   3  22   0   0 
Jeff King                BMB     1b  31  .274  .356  .490 547 150  26   1  30  87  87   4  68  78  15   6 
Mike Kingery*            FDH     cf  35  .280  .345  .419 236  66  12   0   7  37  42   2  23  25   0   0 
Ryan Klesko*             CEN     lf  25  .284  .369  .540 504 143  18   3  35 102  79   1  68 118   6   3 
Chuck Knoblauch          CTW     2b  27  .332  .430  .545 594 197  28  15  23 127  87  23  83  92  13   6 
Randy Knorr              BMB     c   27  .231  .231  .308  13   3   1   0   0   1   0   0   0   1   0   0 
Chad Kreuter#            CTW     c   31  .186  .297  .326  86  16   3   0   3  11  12   2  12  21   0   0 
Tom Lampkin*             FER     c   32  .240  .349  .372 129  31   8   0   3  18  22   3  19  10   2   1 
